gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000204681.10,GABBR1,4.528691167067423,0.5932494034158198,5.935017081276864e-06,0.005860887118906061,0.0379166766239963,0.008591311099799255,NA,48,53,53,1.6940006804262299e-06,0.05142258862683153
ENSG00000185829.17,ARL17A,4.006419253637826,0.08734750702339454,6.164618618860223e-05,0.24616265877675386,0.3663434076470801,7.638524621516068e-20,NA,102,107,107,5.373005515421351e-06,0.3482869328135779
ENSG00000238083.7,LRRC37A2,3.6135176558661,0.08491607503119836,0.00030207077562499564,0.20959367881190605,0.5952407437800238,7.77280291961311e-40,NA,51,55,55,3.0009970174071804e-06,0.16006191216769575
ENSG00000182308.6,DCAF4L1,-3.5853673830657358,-0.7347691660779805,0.0003366040199808319,0.0024249671371686333,0.07709437590484443,0.00023179450576427406,NA,5,5,5,0.00031980007064850893,0.05946758853680941
ENSG00000159314.11,ARHGAP27,3.4858378571100377,0.22594732285937807,0.0004905982705928428,0.02756771487711816,0.20309355231250145,1.615124336573507e-10,NA,36,40,40,2.3759983062253677e-06,0.06492172201404274
ENSG00000197245.5,FAM110D,3.4365076564029082,0.33262194644157544,0.000589265698224029,0.011111294107617726,0.06866986854339073,0.00040372478077871935,NA,9,10,10,0.0010570002176745177,0.07736491572700535
ENSG00000225190.10,PLEKHM1,3.3721779153924683,0.25357488604463024,0.0007457625630047528,0.020018947956634583,0.2482224556600493,1.8254426912601202e-12,NA,27,31,31,2.3929984477580394e-05,0.056417164389801426
ENSG00000177082.12,WDR73,3.3336440026738274,0.29441967506825756,0.0008571628848196911,0.012533661680956112,0.07890364331851778,0.000171860010731591,NA,15,15,15,0.0005671001986446749,0.06707643889338454
ENSG00000132671.5,SSTR4,3.2280114784114557,0.34545253406330234,0.0012465397213763524,0.007442765449437943,0.102952597228487,1.232605657310443e-05,NA,11,11,11,0.00038579994645317536,0.07316859542276392
ENSG00000154889.16,MPPE1,-3.2234358451861347,-0.2519755432768764,0.0012666266775724628,0.018078358352511405,0.12978639011565934,1.168753003154402e-06,NA,4,9,9,0.001156999678039355,0.1883951028338676
