gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000130695.14,CEP85,-4.353158410154561,-0.2899280398774661,1.3419011383441973e-05,0.019687775249200633,0.10010107604635612,0.00011213898124573326,NA,93,95,95,0.0015879996495386664,0.1847811883106135
ENSG00000204681.10,GABBR1,3.98368653621013,0.25484330782413533,6.785436382869512e-05,0.02475796964046538,0.14414301780629946,8.924604141699903e-07,NA,52,57,57,1.6940006804262299e-06,0.068117854644128
ENSG00000164733.20,CTSB,3.9769740485339806,0.24435777287089513,6.979777895155455e-05,0.026033105225121565,0.2431445812775415,2.0190807288795825e-10,NA,32,32,32,6.836998172325801e-05,0.08934946584318533
ENSG00000248538.6,RP11-10A14.5,3.9423754826323076,0.694188248869233,8.067853834344353e-05,0.003535451401474341,0.05384564947680138,0.004279051268884553,NA,3,3,3,3.0440011752047486e-05,0.05734388329881455
ENSG00000157349.16,DDX19B,3.7602395563303794,0.6180935236788379,0.00016975072301283765,0.003659317147849214,0.029382853042880706,0.042361406175761486,NA,3,5,5,0.0006828998769439267,0.07786354555811659
ENSG00000161281.10,COX7A1,-3.7135605889421863,-0.28607373636973665,0.0002043635088784316,0.01497616505940393,0.08110620068151886,0.0005079936026438412,NA,21,21,21,0.0014389997187629763,0.13862243767885046
ENSG00000163938.16,GNL3,3.666538719794963,0.37363896975123884,0.0002458557070175221,0.00892498204655942,0.1289691900871899,6.395207486538898e-06,NA,27,28,28,0.0006794001560883847,0.057874483138322996
ENSG00000183379.8,SYNDIG1L,-3.5779890990253396,-0.6991990568280564,0.0003462478886466044,0.0025292992513880723,0.08728634110871533,0.00023068818196193442,NA,17,18,18,0.002080999498700679,0.04221257834174591
ENSG00000226581.1,RP11-340I6.8,3.576330068128773,0.18441093768040012,0.00034845164551320604,0.04609240344029124,0.057306868723787464,0.0033090704378667536,NA,28,28,28,0.007586997476223307,0.4012495754152085
ENSG00000120088.14,CRHR1,-3.5616905064932713,-0.24300495245374715,0.00036847459499777656,0.022772543145175815,0.04625594962246896,0.010004864246119523,NA,26,28,28,1.2729992881380552e-05,0.2366535987040305
ENSG00000238083.7,LRRC37A2,3.5328657375539376,0.09439465857034096,0.000411081183163345,0.16707790705849498,0.5310805331852991,6.299601542956778e-28,NA,46,51,51,3.0009970174071804e-06,0.16446565570496366
ENSG00000213714.1,FAM209B,3.4044697791414698,0.1131427600774429,0.0006629263527446218,0.09131990262097894,0.02466060908158563,0.04956479885792217,NA,99,113,113,0.003639000696896171,0.25387705402768257
ENSG00000185829.17,ARL17A,3.3692114350860956,0.10639302784451082,0.0007538357845014152,0.1191360018825407,0.1489733917541019,1.2602576336434723e-06,NA,49,52,52,1.1460004391512783e-05,0.2402343841983178
ENSG00000154319.14,FAM167A,3.3300412259388987,0.21172173455202062,0.0008683312656942445,0.025970755763858912,0.16828453812217,1.861652896933849e-07,NA,39,41,41,4.2079977768225125e-05,0.05851312780654432
ENSG00000141458.12,NPC1,3.329336650381514,0.3222964839788329,0.0008705311179877387,0.009648154097472831,0.0816709404985997,0.0005096920963877899,NA,66,70,70,0.0030229993244309207,0.12627080052553158
ENSG00000224848.1,RP11-535M15.1,-3.319922868116261,-0.18731019783182987,0.0009004232213149049,0.026577708701942773,0.14959658395907374,4.96645088743398e-07,NA,9,9,9,0.0005899998925377367,0.09032668365481686
ENSG00000230561.4,CCDC192,-3.2952134579024746,-0.28222829346172984,0.0009834694439540873,0.01380508790752997,0.05367551447720503,0.005769702785596877,NA,13,13,13,0.002275999205241538,0.09058311984020276
ENSG00000136213.9,CHST12,-3.182822315760784,-0.24710343076304458,0.0014584708621290566,0.014792572263580404,0.14298114771003384,3.214187651148755e-06,NA,12,15,15,0.01053999884846312,0.07622211333534055
ENSG00000164068.15,RNF123,-3.1808507437715132,-0.5660611003452515,0.0014684326318801025,0.0029603951322653256,0.0912971215785822,0.00015502438404036215,NA,18,18,18,0.001059000138400845,0.0374838032727764
ENSG00000154889.16,MPPE1,-3.166908339745743,-0.1986058766342758,0.0015406887200875923,0.028488049532823273,0.20689727634984226,6.655028767124805e-09,NA,7,7,7,0.001156999678039355,0.21859232379299612
ENSG00000100106.19,TRIOBP,-3.127727281935423,-0.2911060480291038,0.0017616355691284994,0.01060241513896297,0.18387398827616064,1.8141627284497808e-08,NA,35,35,35,0.0015029996279785028,0.04776546225263652
ENSG00000187837.3,HIST1H1C,3.1208776484055587,0.24893627830013093,0.001803129337581753,0.014795174366350868,0.1963079523148424,2.3456726966275094e-08,NA,21,21,21,0.0008923998984998268,0.02574850695490604
ENSG00000115468.11,EFHD1,-3.1203453946287474,-0.32910525480469727,0.0018063909478347657,0.009586125097717463,0.12771138203731466,1.180119095649424e-05,NA,13,15,15,0.0008525997676392034,0.06365382907870216
ENSG00000197245.5,FAM110D,3.0973388367033365,0.2908989394638002,0.0019526653996222035,0.011371492906192979,0.0499193943127715,0.00743798686943137,NA,6,6,6,0.001121000006542343,0.06883767199244037
ENSG00000064199.6,SPA17,3.048349729522085,0.4221295899074369,0.002301019630522124,0.005490818740406721,0.06423740449141531,0.0017761628690474418,NA,15,15,15,0.0017940000579959466,0.07067640829935704
ENSG00000142188.16,TMEM50B,-3.020667896875227,-0.1358980441968008,0.002522178309216907,0.04347227797952352,0.3032546158231885,3.320099809408981e-14,NA,19,19,19,0.002335999331006428,0.0747660869284204
ENSG00000124302.12,CHST8,3.0193433625511,0.21511530730241565,0.002533232487286696,0.017221677059680238,0.17748364182848672,8.070868690138115e-08,NA,12,12,12,0.0014870000709255712,0.07355462071503585
ENSG00000128928.8,IVD,3.019146437019889,0.16905345067564828,0.0025348797491310145,0.029129332784874423,0.2751348010127028,1.906630207100901e-12,NA,74,75,75,0.001210999648043976,0.10845558833776972
ENSG00000152348.15,ATG10,-3.0029756314092695,-0.10985641740399511,0.00267353838156945,0.06776907835185329,0.20599788685011167,7.267249210437435e-09,NA,29,30,30,0.00045849987162701277,0.21307118462275476
ENSG00000128944.13,KNSTRN,-2.9989923578999242,-0.07134290859844025,0.0027087410089738687,0.16262522126180343,0.5349896742139922,3.1002539526745704e-29,NA,13,13,13,0.001210999648043976,0.08550224420784484
ENSG00000143951.15,WDPCP,-2.9946274862166,-0.3366722890699117,0.0027478019961910223,0.007616307108157999,0.10733198375752873,4.7595879913228835e-05,NA,25,25,25,0.0002760000761373921,0.042767835899608114
ENSG00000177352.9,CCDC71,2.9543468919257188,0.3097136932643293,0.0031333158633926493,0.009817221545263159,0.0895927735381616,0.00028548746030518466,NA,28,28,28,0.0005495999542456727,0.04781940825003622
ENSG00000107862.4,GBF1,2.953745897912088,0.6403216294931815,0.0031394238591073856,0.0021145168397921853,0.10870847580369676,5.4421755255232e-05,NA,4,4,4,0.002850999423253129,0.06687799004009205
ENSG00000155749.12,ALS2CR12,2.948990454346238,0.09955092950226904,0.003188138231711455,0.0957976257830303,0.3599093671316703,1.0694379177852831e-16,NA,20,20,20,8.966996090521106e-05,0.12580923099521316
ENSG00000151849.14,CENPJ,2.9320301261535944,0.2096014873364712,0.003367540782765397,0.020351586571343797,0.2023237002268644,7.951602122299254e-09,NA,20,21,21,0.000380400146181866,0.07983872974983239
ENSG00000138829.11,FBN2,-2.930014695311158,-0.24623791959781316,0.003389459742752374,0.012106809719291263,0.07338916210181337,0.001044850977401406,NA,92,96,96,0.0020319995917129586,0.021050939061469737
ENSG00000140830.8,TXNL4B,2.913831723469937,0.5298745306222334,0.0035702229852314833,0.0026907763246738665,0.048145318402860085,0.009091163801976295,NA,4,4,4,0.0036600012569530252,0.07101789109497142
ENSG00000115486.11,GGCX,2.913377879060257,0.14209528533417176,0.0035754165310815204,0.039517696900770255,0.1268387483565711,3.164126664544024e-06,NA,54,54,54,0.007851002222708734,0.06264179816013747
ENSG00000188672.17,RHCE,-2.9064352981049444,-0.06997413421744768,0.0036557249410428846,0.16455344478537065,0.4709320358840322,3.031546380064211e-23,NA,18,18,18,0.0018789995933031348,0.12166688326775707
ENSG00000120696.8,KBTBD7,-2.901743227080035,-0.32024809472503646,0.003710925749048565,0.009004377189066713,0.04241417936863266,0.01432122764252662,NA,35,36,36,0.007231997999279876,0.1337020055197623
ENSG00000070759.16,TESK2,2.890622885912239,0.2405321572031318,0.003844791817770674,0.011850572840953748,0.10010365361331866,9.206021292283116e-05,NA,41,41,41,0.008158001547777221,0.20898700064673886
ENSG00000104497.13,SNX16,2.8786729058065825,0.11132867620004167,0.003993522974563559,0.06030525728291432,0.2809857313193338,3.613597418458277e-12,NA,110,110,110,0.001010999693384022,0.103625648158719
ENSG00000135108.14,FBXO21,-2.868073325394813,-0.1583949550437539,0.004129798094148386,0.03482311758474315,0.18125430654517707,8.394986117584129e-08,NA,77,78,78,0.009504001169414456,0.2223149360434716
ENSG00000184517.11,ZFP1,-2.8505237688026135,-0.19761404412614444,0.004364728799403142,0.01913073424885616,0.25170479754446545,2.463514690292289e-11,NA,14,15,15,0.01528000068086774,0.22400020245828925
ENSG00000141577.13,CEP131,-2.8334395885467525,-0.5766452546019655,0.004605001122549304,0.0029889206893171823,0.14591840098320882,1.6680192187918972e-06,NA,1,1,1,0.004605001122549293,0.09139902914558476
ENSG00000224592.5,RP5-884C9.2,2.819526872125998,0.1635656980136682,0.00480945038497,0.02131058957042849,0.04977759294771408,0.0065669499072966726,NA,51,53,53,0.0037670013606738275,0.10214225667783827
ENSG00000000938.12,FGR,-2.8140229708390088,-0.55484261303314,0.0048925732126337464,0.002993428542929609,0.0588417556015211,0.003440455063754544,NA,11,12,12,0.0055389994679490365,0.06292380924460014
ENSG00000185904.11,LINC00839,2.799701062517312,0.11225503038353735,0.005114995092268669,0.05715471237306578,0.11313331514123967,3.912172878022106e-05,NA,40,43,43,0.0024159992508644384,0.23489477870328584
ENSG00000168806.7,LCMT2,2.790278038247808,0.23286263860506842,0.005266279554420821,0.015013127061425987,0.04260771974620527,0.0129087444724698,NA,33,33,33,0.005502001837291454,0.07455883690723998
ENSG00000274605.1,RP11-12G12.7,-2.7783096664407894,-0.5892103680617284,0.005464251550269927,0.0020978773032996,0.028809558925739675,0.04326786227389809,NA,4,5,5,0.005860001338736633,0.033083674802495064
ENSG00000127311.9,HELB,-2.7739085017745895,-0.17878348687463883,0.0055387253750679745,0.025472618275995514,0.18749621902153665,2.5681085661421543e-08,NA,25,25,25,0.0019880006998510553,0.029855424340249313
ENSG00000171503.11,ETFDH,-2.770855687120053,-0.28542711907297097,0.0055909199878678185,0.008141772809071924,0.11912046114011253,9.999107523501953e-06,NA,11,12,12,0.00048120004874298565,0.09084791669967107
ENSG00000183527.11,PSMG1,-2.770157432525491,-0.14652353009328156,0.0056029203793032546,0.03206643871255077,0.2562995264362722,1.9623691172057856e-11,NA,26,27,27,0.0043140000230763465,0.057428141173009664
ENSG00000127804.12,METTL16,2.7645294297711533,0.28943135487267646,0.005700496471777846,0.008631666327208796,0.10383492064364364,8.92939157659679e-05,NA,22,23,23,0.0018719994511033802,0.055003142709871035
ENSG00000226913.1,BSN-AS2,2.7500363810021304,0.1729999026387521,0.005958864837373759,0.025456652970268397,0.09028834828737116,0.00011223351226983999,NA,30,30,30,0.0005495999542456727,0.0319462287488509
ENSG00000165060.11,FXN,2.7359927566744466,0.33765428938382747,0.00621923949482828,0.006791067576379525,0.0585446152382637,0.00337217818412391,NA,12,12,12,0.0010090000676023375,0.07432082850423252
ENSG00000166896.7,ATP23,2.7324522594732468,0.09070589368072625,0.0062864781371280215,0.08352975320519013,0.43347746642611024,7.933159922761095e-21,NA,16,16,16,0.0004502998784714656,0.09404382591958514
ENSG00000196072.11,BLOC1S2,-2.7302732107232712,-0.1116969061493971,0.006328185698385362,0.07367165925721837,0.3154370798873057,1.1671843162332922e-16,NA,65,66,66,0.004142998468882939,0.27120032665472266
ENSG00000274828.1,RP11-567M16.6,2.729259047655881,0.08491308429258247,0.0063476818355338,0.09147963683031221,0.3175323102817437,1.7417983412746142e-15,NA,36,37,37,0.013800002511477925,0.0703045172750134
ENSG00000152669.8,CCNO,-2.7238397407396118,-0.12691170470391927,0.006452780958412183,0.035410177092154924,0.4025566661690166,8.204889313399909e-19,NA,14,14,14,0.004471000535069051,0.22024433114684452
ENSG00000166923.10,GREM1,2.719952297131722,0.25237356256315185,0.006529133457581189,0.010072175287642243,0.168735801473103,2.8510638616640784e-07,NA,10,12,12,0.006561001705277949,0.060711740584230324
ENSG00000171574.17,ZNF584,2.7154259736625153,0.41684473921622667,0.006619057224129364,0.004042717603634653,0.0519359330556137,0.004940481042537129,NA,9,9,9,0.005475000641646249,0.03327043699073939
ENSG00000166788.9,SAAL1,-2.714433267647538,-0.11178144643275763,0.006638927442553859,0.05372221466597615,0.23013235214295366,4.975695683322313e-10,NA,31,31,31,0.009519002392220765,0.08738068584607729
ENSG00000267289.1,CTD-2623N2.11,2.694557140455652,0.2415468855220984,0.007048224043635674,0.011350283641609032,0.09868953603267523,5.602118455044784e-05,NA,3,3,3,0.005605001823725255,0.05851155529597999
ENSG00000172340.14,SUCLG2,-2.6904779309108235,-0.41557515318051796,0.007134975408330944,0.004294697761812493,0.056281870992292836,0.0044856534025265,NA,36,37,37,0.012429999701088582,0.038935045291777874
ENSG00000073969.18,NSF,-2.687479729090945,-1.6064475384480752,0.007199347192398412,0.0002590192388061434,0.08285192149895007,0.0004508948783711697,NA,3,3,3,0.0020319995917129586,0.03734295674540275
ENSG00000138442.9,WDR12,2.682724589036826,1.0325323051715118,0.0073025100750507286,0.0006979936054109046,0.0406749893677755,0.015030922052173287,NA,13,13,13,0.005452999965419114,0.03382560115594628
ENSG00000227888.4,FAM66A,-2.666668914396773,-0.06394127221230898,0.007660709905131249,0.1750227110779428,0.3356798293007133,5.013411104598604e-15,NA,30,32,32,0.002743998992715962,0.24935018558951466
ENSG00000143768.12,LEFTY2,2.663048447134944,0.21895924553885704,0.007743626436848015,0.019626676418976897,0.07828077961024257,0.0006616002746758365,NA,20,20,20,0.0017019995052241724,0.12611375361375626
ENSG00000172500.12,FIBP,2.6400094400834297,0.26643030633217796,0.00829037179169124,0.00857308841544316,0.1944345192389557,3.0387995532681908e-09,NA,29,29,29,0.002633999840013884,0.02227245750925758
ENSG00000176428.5,VPS37D,2.6365404637917886,0.11602148510277766,0.008375621022007828,0.05450082375407508,0.08314564704965634,0.00046046751414184666,NA,104,113,113,0.007830002530446637,0.25966745145436904
ENSG00000196653.11,ZNF502,2.622582391493018,0.246107267022318,0.008726616481844656,0.012262121997303605,0.05576667803415962,0.0038291204088130334,NA,21,24,24,0.0006435001947626326,0.11806308386366715
ENSG00000104112.8,SCG3,-2.6187618470167013,-0.17385812516177612,0.008824953374386033,0.022419219936223547,0.2483288172261085,4.6034397004969294e-11,NA,7,7,7,0.0025949991327499098,0.07579516102729063
ENSG00000271904.1,CTC-498M16.4,-2.6178889943749692,-0.09303212269291106,0.008847558158610758,0.07727823797427139,0.2733193352259679,5.042238832230054e-12,NA,35,36,36,0.00042689983023585544,0.2716209655548681
ENSG00000129347.19,KRI1,-2.6163245956362107,-0.09568787157991898,0.008888201787477032,0.08563511794525389,0.3974970053438411,9.523429590667856e-19,NA,61,63,63,0.0037419986634975476,0.22960849625076696
ENSG00000231925.11,TAPBP,2.6085018047243915,0.29038107298309584,0.009093953219391722,0.00731620730198265,0.049793396192646174,0.005062743969387345,NA,41,42,42,0.01136000320628514,0.049377552169412205
ENSG00000180884.9,ZNF792,-2.605153893042968,-0.1762194692427314,0.0091833002215077,0.01998958391447138,0.08233267398664297,0.0005362357600604927,NA,17,17,17,0.002395000361723293,0.15922988606319008
ENSG00000144231.10,POLR2D,-2.5989304644787317,-0.17355204811713165,0.009351471413390275,0.02090907684782615,0.1945403110073058,3.034029537268498e-08,NA,9,9,9,0.007027998111749154,0.12399684044953813
ENSG00000168907.13,PLA2G4F,2.598030550529916,0.3052659169361199,0.009376015170127382,0.00647063327778993,0.032452971690603016,0.029343497195120773,NA,12,12,12,2.4960023087916055e-05,0.07368664558615189
ENSG00000136425.12,CIB2,2.596215201876754,0.14542447170383005,0.009425700943537268,0.02772502057046449,0.23768962013185546,4.821682257442639e-10,NA,19,19,19,0.01482000211042192,0.12818567321831234
ENSG00000132600.16,PRMT7,-2.58733750734154,-0.19576753371270053,0.00967208025475918,0.01763706180182706,0.30983152155643673,2.955772676623953e-14,NA,26,26,26,0.007855002586867428,0.1035149703831153
ENSG00000167216.16,KATNAL2,2.5870508619988506,0.325488446154756,0.009680130217831238,0.0069209882410842735,0.039517111065185635,0.016945109764846804,NA,23,23,23,0.019390003317415395,0.056026445211826016
ENSG00000091640.7,SPAG7,2.5822073214741375,0.23275993114595075,0.00981705909887145,0.014314582302127041,0.2585173654336999,9.017085478066204e-12,NA,13,13,13,0.004055999369377721,0.07764063592324179
ENSG00000111707.11,SUDS3,2.5791299224717767,0.4761368357480075,0.00990495258108711,0.0027474011138205632,0.046319491006464535,0.007061292772404213,NA,18,18,18,0.006438002042248134,0.00907311773627375
ENSG00000271952.1,LINC01954,2.5685393037132824,0.20341860703583492,0.010212812998723812,0.01494040043647338,0.07870439900566006,0.0005901892919343713,NA,15,15,15,0.05302000566940807,0.11430359147396632
ENSG00000100577.18,GSTZ1,-2.567863063291064,-0.16205777315162723,0.010232757007005882,0.022835133445596265,0.2487759763614469,1.0934284285036251e-10,NA,35,35,35,0.0030389989199595298,0.05224529740482655
ENSG00000144369.12,FAM171B,-2.5673342724091697,-0.5919329186109912,0.010248376509577783,0.0018697185443347288,0.044276926933503116,0.007864349931022438,NA,14,14,14,0.006294000506302383,0.023958794649145236
ENSG00000204219.9,TCEA3,2.5652297904887966,0.1276309855329819,0.010310749512912892,0.037858521683349286,0.2744552863973629,7.47523753628605e-12,NA,39,39,39,0.003906998812699173,0.06710716488169786
ENSG00000186468.12,RPS23,2.555981287655605,0.08772365207309019,0.010588881298199973,0.07547671559095362,0.4566426802665387,4.951639043292861e-23,NA,24,27,27,0.006947001495117051,0.04932856143587993
ENSG00000187695.8,RP11-723O4.6,-2.553292973036428,-0.5234573890801975,0.010670969526045203,0.0030060548341935894,0.0336702738113634,0.026948257585656242,NA,16,26,26,0.03606999318345556,0.09000136098608229
