label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.377694836489347
caudalanteriorcingulate	L	cortex	6.552094238038543
caudalmiddlefrontal	L	cortex	6.370487501832528
cuneus	L	cortex	6.310118144436797
entorhinal	L	cortex	6.669494062855274
fusiform	L	cortex	6.4697004887202
inferiorparietal	L	cortex	6.361567141594088
inferiortemporal	L	cortex	6.4464084329996245
isthmuscingulate	L	cortex	6.415975525228414
lateraloccipital	L	cortex	6.336597231736442
lateralorbitofrontal	L	cortex	6.445593705647464
lingual	L	cortex	6.33461599493291
medialorbitofrontal	L	cortex	6.498228925105685
middletemporal	L	cortex	6.481578180954694
parahippocampal	L	cortex	6.497541335713048
paracentral	L	cortex	6.3786283825021
parsopercularis	L	cortex	6.421623738051626
parsorbitalis	L	cortex	6.347104505407491
parstriangularis	L	cortex	6.397407758245679
pericalcarine	L	cortex	6.2504107361724826
postcentral	L	cortex	6.366857874755885
posteriorcingulate	L	cortex	6.472853875411797
precentral	L	cortex	6.367538165871271
precuneus	L	cortex	6.364693638555199
rostralanteriorcingulate	L	cortex	6.606548295949
rostralmiddlefrontal	L	cortex	6.395111718765481
superiorfrontal	L	cortex	6.429510593423388
superiorparietal	L	cortex	6.362644642283463
superiortemporal	L	cortex	6.43014244500306
supramarginal	L	cortex	6.475305723242185
frontalpole	L	cortex	6.430468451581943
temporalpole	L	cortex	6.509787124783299
transversetemporal	L	cortex	6.334503776564518
insula	L	cortex	6.48783409732433
thalamusproper	L	subcortex/brainstem	6.220450980367453
caudate	L	subcortex/brainstem	6.255300346348679
putamen	L	subcortex/brainstem	6.240127727915349
pallidum	L	subcortex/brainstem	6.178892144799495
accumbensarea	L	subcortex/brainstem	6.154061626979805
hippocampus	L	subcortex/brainstem	6.3504843215863875
amygdala	L	subcortex/brainstem	6.523160520953466
bankssts	R	cortex	6.392687133142668
caudalanteriorcingulate	R	cortex	6.554228452700227
caudalmiddlefrontal	R	cortex	6.382201258093755
cuneus	R	cortex	6.3119887439977
entorhinal	R	cortex	6.710201273355605
fusiform	R	cortex	6.473903582304287
inferiorparietal	R	cortex	6.35589268718793
inferiortemporal	R	cortex	6.446497965744043
isthmuscingulate	R	cortex	6.4140011365103895
lateraloccipital	R	cortex	6.3415557301806
lateralorbitofrontal	R	cortex	6.44152397857339
lingual	R	cortex	6.332773039511602
medialorbitofrontal	R	cortex	6.511639700852384
middletemporal	R	cortex	6.479571562933258
parahippocampal	R	cortex	6.490078165148528
paracentral	R	cortex	6.385273651074233
parsopercularis	R	cortex	6.417282416272244
parsorbitalis	R	cortex	6.356442934273064
parstriangularis	R	cortex	6.430787517086918
pericalcarine	R	cortex	6.2269390499600386
postcentral	R	cortex	6.368521156586195
posteriorcingulate	R	cortex	6.488019517598963
precentral	R	cortex	6.367907769614223
precuneus	R	cortex	6.369968340709083
rostralanteriorcingulate	R	cortex	6.592108212011978
rostralmiddlefrontal	R	cortex	6.387177321922265
superiorfrontal	R	cortex	6.428777174449077
superiorparietal	R	cortex	6.362051061522729
superiortemporal	R	cortex	6.423340158816457
supramarginal	R	cortex	6.443803081965061
frontalpole	R	cortex	6.491104037258003
temporalpole	R	cortex	6.492304529324769
transversetemporal	R	cortex	6.3584740334739935
insula	R	cortex	6.481065661426139
thalamusproper	R	subcortex/brainstem	6.228780026597826
caudate	R	subcortex/brainstem	6.251670710422601
putamen	R	subcortex/brainstem	6.217865789177512
pallidum	R	subcortex/brainstem	6.180680127065523
accumbensarea	R	subcortex/brainstem	6.147731395584501
hippocampus	R	subcortex/brainstem	6.3408946276822205
amygdala	R	subcortex/brainstem	6.547421252684106
brainstem	B	subcortex/brainstem	6.234685587825111
