label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.424526899298441
caudalanteriorcingulate	L	cortex	6.4887873682944095
caudalmiddlefrontal	L	cortex	6.428463512551654
cuneus	L	cortex	6.381477374964485
entorhinal	L	cortex	6.495708637968239
fusiform	L	cortex	6.433261000057245
inferiorparietal	L	cortex	6.429259602328298
inferiortemporal	L	cortex	6.434125861257606
isthmuscingulate	L	cortex	6.46025111157173
lateraloccipital	L	cortex	6.449679587033073
lateralorbitofrontal	L	cortex	6.409739956062282
lingual	L	cortex	6.419226681745906
medialorbitofrontal	L	cortex	6.443056281330838
middletemporal	L	cortex	6.468829872779815
parahippocampal	L	cortex	6.425095711058807
paracentral	L	cortex	6.4300616423932615
parsopercularis	L	cortex	6.428985247466281
parsorbitalis	L	cortex	6.38199445833622
parstriangularis	L	cortex	6.429855131002931
pericalcarine	L	cortex	6.387059435794411
postcentral	L	cortex	6.437871408115001
posteriorcingulate	L	cortex	6.471846450727096
precentral	L	cortex	6.445058212702471
precuneus	L	cortex	6.438325735485525
rostralanteriorcingulate	L	cortex	6.522652242364943
rostralmiddlefrontal	L	cortex	6.413003820804206
superiorfrontal	L	cortex	6.446128065796719
superiorparietal	L	cortex	6.426781550961483
superiortemporal	L	cortex	6.4369326068523876
supramarginal	L	cortex	6.485455854444822
frontalpole	L	cortex	6.366152316656156
temporalpole	L	cortex	6.389193941942086
transversetemporal	L	cortex	6.427296898456328
insula	L	cortex	6.45583134833772
thalamusproper	L	subcortex/brainstem	6.327349597530424
caudate	L	subcortex/brainstem	6.416337412629957
putamen	L	subcortex/brainstem	6.427085592084862
pallidum	L	subcortex/brainstem	6.363431818838335
accumbensarea	L	subcortex/brainstem	6.2662104103017615
hippocampus	L	subcortex/brainstem	6.331579502689082
amygdala	L	subcortex/brainstem	6.377678890086135
bankssts	R	cortex	6.444907610394612
caudalanteriorcingulate	R	cortex	6.492258164954376
caudalmiddlefrontal	R	cortex	6.431526815547269
cuneus	R	cortex	6.381072637671762
entorhinal	R	cortex	6.51712879936293
fusiform	R	cortex	6.432280668291432
inferiorparietal	R	cortex	6.427389659887214
inferiortemporal	R	cortex	6.432821737955779
isthmuscingulate	R	cortex	6.462409187407246
lateraloccipital	R	cortex	6.460414025897748
lateralorbitofrontal	R	cortex	6.409028961498285
lingual	R	cortex	6.416061061807349
medialorbitofrontal	R	cortex	6.458880541313494
middletemporal	R	cortex	6.466699851310509
parahippocampal	R	cortex	6.4225110795866724
paracentral	R	cortex	6.430398211017295
parsopercularis	R	cortex	6.430025868924485
parsorbitalis	R	cortex	6.380475484416883
parstriangularis	R	cortex	6.456392988735394
pericalcarine	R	cortex	6.384763728405483
postcentral	R	cortex	6.437673003621404
posteriorcingulate	R	cortex	6.485989368013663
precentral	R	cortex	6.444915526918499
precuneus	R	cortex	6.439573046161401
rostralanteriorcingulate	R	cortex	6.453896729972143
rostralmiddlefrontal	R	cortex	6.410357389551979
superiorfrontal	R	cortex	6.444704218527319
superiorparietal	R	cortex	6.428133248756467
superiortemporal	R	cortex	6.433739437263903
supramarginal	R	cortex	6.463514552240752
frontalpole	R	cortex	6.398997433818585
temporalpole	R	cortex	6.379367467842696
transversetemporal	R	cortex	6.437208665845083
insula	R	cortex	6.449239120350127
thalamusproper	R	subcortex/brainstem	6.340820132885116
caudate	R	subcortex/brainstem	6.396996894757821
putamen	R	subcortex/brainstem	6.395594889926781
pallidum	R	subcortex/brainstem	6.364724062206876
accumbensarea	R	subcortex/brainstem	6.290010346275296
hippocampus	R	subcortex/brainstem	6.327994319717985
amygdala	R	subcortex/brainstem	6.418362572358659
brainstem	B	subcortex/brainstem	6.345675448711739
