label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.33138299862144
caudalanteriorcingulate	L	cortex	6.674701927779037
caudalmiddlefrontal	L	cortex	6.31013507360331
cuneus	L	cortex	6.21017783763666
entorhinal	L	cortex	6.612930709529749
fusiform	L	cortex	6.35058379933819
inferiorparietal	L	cortex	6.2850722804694295
inferiortemporal	L	cortex	6.330077680621495
isthmuscingulate	L	cortex	6.377826595508756
lateraloccipital	L	cortex	6.2030585995649234
lateralorbitofrontal	L	cortex	6.294125785563766
lingual	L	cortex	6.164755002240241
medialorbitofrontal	L	cortex	6.4243062020160755
middletemporal	L	cortex	6.408225145858897
parahippocampal	L	cortex	6.382817109478626
paracentral	L	cortex	6.391064208766075
parsopercularis	L	cortex	6.383007594191065
parsorbitalis	L	cortex	6.264158508403753
parstriangularis	L	cortex	6.295074565149498
pericalcarine	L	cortex	6.05151543643659
postcentral	L	cortex	6.356752908517015
posteriorcingulate	L	cortex	6.482962580193438
precentral	L	cortex	6.422758196904105
precuneus	L	cortex	6.328803671625123
rostralanteriorcingulate	L	cortex	6.652522932931654
rostralmiddlefrontal	L	cortex	6.28599789101358
superiorfrontal	L	cortex	6.412729485570864
superiorparietal	L	cortex	6.30027399391193
superiortemporal	L	cortex	6.347560250633467
supramarginal	L	cortex	6.479515183260459
frontalpole	L	cortex	6.118642336210634
temporalpole	L	cortex	6.519041693812679
transversetemporal	L	cortex	6.228106535429321
insula	L	cortex	6.393502039537579
thalamusproper	L	subcortex/brainstem	6.3055044522060815
caudate	L	subcortex/brainstem	6.9024296834243755
putamen	L	subcortex/brainstem	6.713983999455168
pallidum	L	subcortex/brainstem	6.7380303836831805
accumbensarea	L	subcortex/brainstem	6.252747805889611
hippocampus	L	subcortex/brainstem	6.073463728665127
amygdala	L	subcortex/brainstem	6.214586069391326
bankssts	R	cortex	6.308409076390334
caudalanteriorcingulate	R	cortex	6.693944232966102
caudalmiddlefrontal	R	cortex	6.3240982947098345
cuneus	R	cortex	6.193364460158075
entorhinal	R	cortex	6.661682161054136
fusiform	R	cortex	6.345703752646653
inferiorparietal	R	cortex	6.279885905781835
inferiortemporal	R	cortex	6.327850921107044
isthmuscingulate	R	cortex	6.369363312294691
lateraloccipital	R	cortex	6.215607520217007
lateralorbitofrontal	R	cortex	6.289096878660342
lingual	R	cortex	6.164514967402144
medialorbitofrontal	R	cortex	6.457929524025324
middletemporal	R	cortex	6.403333743039776
parahippocampal	R	cortex	6.38932409083873
paracentral	R	cortex	6.395699435686115
parsopercularis	R	cortex	6.365524132875598
parsorbitalis	R	cortex	6.257429477685213
parstriangularis	R	cortex	6.362517580339411
pericalcarine	R	cortex	6.080257363290856
postcentral	R	cortex	6.366467990953339
posteriorcingulate	R	cortex	6.499190378724163
precentral	R	cortex	6.425594165824369
precuneus	R	cortex	6.3356283793833
rostralanteriorcingulate	R	cortex	6.589197673929228
rostralmiddlefrontal	R	cortex	6.271154511125772
superiorfrontal	R	cortex	6.412856589792149
superiorparietal	R	cortex	6.300905104942591
superiortemporal	R	cortex	6.339983718289367
supramarginal	R	cortex	6.446879899433691
frontalpole	R	cortex	6.251184365970336
temporalpole	R	cortex	6.48549142633383
transversetemporal	R	cortex	6.261296118970248
insula	R	cortex	6.391047504630334
thalamusproper	R	subcortex/brainstem	6.333324221215739
caudate	R	subcortex/brainstem	6.818800318767382
putamen	R	subcortex/brainstem	6.6711758079555254
pallidum	R	subcortex/brainstem	6.735520477787825
accumbensarea	R	subcortex/brainstem	6.323946400759751
hippocampus	R	subcortex/brainstem	6.0751435328514445
amygdala	R	subcortex/brainstem	6.296211576585692
brainstem	B	subcortex/brainstem	6.342985694427591
