label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.637075902934783
caudalanteriorcingulate	L	cortex	6.745928046661977
caudalmiddlefrontal	L	cortex	6.602520803987277
cuneus	L	cortex	6.578311076246222
entorhinal	L	cortex	6.757668487101466
fusiform	L	cortex	6.639671152509955
inferiorparietal	L	cortex	6.637829345623688
inferiortemporal	L	cortex	6.641096249123007
isthmuscingulate	L	cortex	6.702507562590714
lateraloccipital	L	cortex	6.665320687774437
lateralorbitofrontal	L	cortex	6.5813012594907425
lingual	L	cortex	6.635456417536508
medialorbitofrontal	L	cortex	6.627704172896392
middletemporal	L	cortex	6.678945393505018
parahippocampal	L	cortex	6.6628838475713685
paracentral	L	cortex	6.630894018005253
parsopercularis	L	cortex	6.60560185020525
parsorbitalis	L	cortex	6.560020495831204
parstriangularis	L	cortex	6.604644581585333
pericalcarine	L	cortex	6.596985517538626
postcentral	L	cortex	6.632365210974383
posteriorcingulate	L	cortex	6.685456150009232
precentral	L	cortex	6.646869204750362
precuneus	L	cortex	6.652098617703954
rostralanteriorcingulate	L	cortex	6.7388076700821316
rostralmiddlefrontal	L	cortex	6.591956593944256
superiorfrontal	L	cortex	6.646742113795989
superiorparietal	L	cortex	6.623473828714031
superiortemporal	L	cortex	6.641855912041008
supramarginal	L	cortex	6.696317177680481
frontalpole	L	cortex	6.557154706214022
temporalpole	L	cortex	6.634799373462639
transversetemporal	L	cortex	6.628108703545538
insula	L	cortex	6.662669205186296
thalamusproper	L	subcortex/brainstem	6.545087292480233
caudate	L	subcortex/brainstem	6.806621792916871
putamen	L	subcortex/brainstem	6.804011149586241
pallidum	L	subcortex/brainstem	6.680468779156033
accumbensarea	L	subcortex/brainstem	6.52670300463054
hippocampus	L	subcortex/brainstem	6.571953931538422
amygdala	L	subcortex/brainstem	6.652704252057464
bankssts	R	cortex	6.656352735688253
caudalanteriorcingulate	R	cortex	6.751825957045853
caudalmiddlefrontal	R	cortex	6.6048979442443985
cuneus	R	cortex	6.573939549751767
entorhinal	R	cortex	6.783982710416561
fusiform	R	cortex	6.633892475036726
inferiorparietal	R	cortex	6.636859323618847
inferiortemporal	R	cortex	6.640748631109679
isthmuscingulate	R	cortex	6.699980307090105
lateraloccipital	R	cortex	6.677501370135604
lateralorbitofrontal	R	cortex	6.581034694338192
lingual	R	cortex	6.631824423556633
medialorbitofrontal	R	cortex	6.648588928542343
middletemporal	R	cortex	6.675564896753467
parahippocampal	R	cortex	6.666832720887186
paracentral	R	cortex	6.628142339074024
parsopercularis	R	cortex	6.59646375123616
parsorbitalis	R	cortex	6.551752294436306
parstriangularis	R	cortex	6.632034494949334
pericalcarine	R	cortex	6.611184423218903
postcentral	R	cortex	6.633178344107185
posteriorcingulate	R	cortex	6.699720280111751
precentral	R	cortex	6.646834580497649
precuneus	R	cortex	6.652839745031958
rostralanteriorcingulate	R	cortex	6.67256662996673
rostralmiddlefrontal	R	cortex	6.590919017728266
superiorfrontal	R	cortex	6.645339552758037
superiorparietal	R	cortex	6.625119348664483
superiortemporal	R	cortex	6.639060852582003
supramarginal	R	cortex	6.668784850629062
frontalpole	R	cortex	6.589274473232402
temporalpole	R	cortex	6.6268468874330875
transversetemporal	R	cortex	6.637563872992534
insula	R	cortex	6.653818814629519
thalamusproper	R	subcortex/brainstem	6.561977138430883
caudate	R	subcortex/brainstem	6.762276865011503
putamen	R	subcortex/brainstem	6.772747349481871
pallidum	R	subcortex/brainstem	6.680723703309828
accumbensarea	R	subcortex/brainstem	6.573177531716517
hippocampus	R	subcortex/brainstem	6.571286891656769
amygdala	R	subcortex/brainstem	6.685466665884042
brainstem	B	subcortex/brainstem	6.607135883488755
