label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.619852108667332
caudalanteriorcingulate	L	cortex	6.838731592102277
caudalmiddlefrontal	L	cortex	6.624879975582181
cuneus	L	cortex	6.503993807174743
entorhinal	L	cortex	7.056418480239889
fusiform	L	cortex	6.752332588416731
inferiorparietal	L	cortex	6.607762277345346
inferiortemporal	L	cortex	6.726948154902365
isthmuscingulate	L	cortex	6.684916086509197
lateraloccipital	L	cortex	6.565141788660613
lateralorbitofrontal	L	cortex	6.738386340434264
lingual	L	cortex	6.567157958230324
medialorbitofrontal	L	cortex	6.78037784153687
middletemporal	L	cortex	6.743559407799706
parahippocampal	L	cortex	6.840552681663973
paracentral	L	cortex	6.6465447507819295
parsopercularis	L	cortex	6.686653585888593
parsorbitalis	L	cortex	6.591602352284518
parstriangularis	L	cortex	6.647191465152565
pericalcarine	L	cortex	6.466348648566128
postcentral	L	cortex	6.558166745941949
posteriorcingulate	L	cortex	6.758423711764438
precentral	L	cortex	6.5865624239768
precuneus	L	cortex	6.5873218060248
rostralanteriorcingulate	L	cortex	6.8817241234412085
rostralmiddlefrontal	L	cortex	6.659484091505494
superiorfrontal	L	cortex	6.69043489194929
superiorparietal	L	cortex	6.584359458708967
superiortemporal	L	cortex	6.673563474384661
supramarginal	L	cortex	6.68679547200201
frontalpole	L	cortex	6.784118547470967
temporalpole	L	cortex	6.8152809865024935
transversetemporal	L	cortex	6.527071844381881
insula	L	cortex	6.820870211991913
thalamusproper	L	subcortex/brainstem	6.409169629217335
caudate	L	subcortex/brainstem	6.415423312061023
putamen	L	subcortex/brainstem	6.489482111475158
pallidum	L	subcortex/brainstem	6.292477786161753
accumbensarea	L	subcortex/brainstem	6.524047607165779
hippocampus	L	subcortex/brainstem	6.788911422853713
amygdala	L	subcortex/brainstem	7.153397967564188
bankssts	R	cortex	6.655121003554582
caudalanteriorcingulate	R	cortex	6.833164321146958
caudalmiddlefrontal	R	cortex	6.640336998033359
cuneus	R	cortex	6.516228230046182
entorhinal	R	cortex	7.092436211227762
fusiform	R	cortex	6.753251351910984
inferiorparietal	R	cortex	6.600281100614653
inferiortemporal	R	cortex	6.726805735800654
isthmuscingulate	R	cortex	6.693047572733292
lateraloccipital	R	cortex	6.561277141028882
lateralorbitofrontal	R	cortex	6.732825195664651
lingual	R	cortex	6.563468385170257
medialorbitofrontal	R	cortex	6.783559829313797
middletemporal	R	cortex	6.745991954756183
parahippocampal	R	cortex	6.837512371972882
paracentral	R	cortex	6.6558658184272685
parsopercularis	R	cortex	6.683317549410639
parsorbitalis	R	cortex	6.621644731925901
parstriangularis	R	cortex	6.660769026982301
pericalcarine	R	cortex	6.432689434889803
postcentral	R	cortex	6.556712631190384
posteriorcingulate	R	cortex	6.771361011836569
precentral	R	cortex	6.587381957095794
precuneus	R	cortex	6.590085611771627
rostralanteriorcingulate	R	cortex	6.942339965269589
rostralmiddlefrontal	R	cortex	6.653588042069043
superiorfrontal	R	cortex	6.68929716366543
superiorparietal	R	cortex	6.584022192379303
superiortemporal	R	cortex	6.665802658088735
supramarginal	R	cortex	6.653289058340518
frontalpole	R	cortex	6.886288351634197
temporalpole	R	cortex	6.823861510332132
transversetemporal	R	cortex	6.544306659009121
insula	R	cortex	6.812818994470234
thalamusproper	R	subcortex/brainstem	6.421761722358142
caudate	R	subcortex/brainstem	6.429926413318665
putamen	R	subcortex/brainstem	6.4675894231783335
pallidum	R	subcortex/brainstem	6.301930333146484
accumbensarea	R	subcortex/brainstem	6.464328106672102
hippocampus	R	subcortex/brainstem	6.77434945633647
amygdala	R	subcortex/brainstem	7.129585858792387
brainstem	B	subcortex/brainstem	6.700148265330689
