label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.269120602089755
caudalanteriorcingulate	L	cortex	6.327767278129459
caudalmiddlefrontal	L	cortex	6.309548873937618
cuneus	L	cortex	6.230193917039443
entorhinal	L	cortex	6.344564022329637
fusiform	L	cortex	6.28153236210095
inferiorparietal	L	cortex	6.274840143535925
inferiortemporal	L	cortex	6.280046590502854
isthmuscingulate	L	cortex	6.277324729841524
lateraloccipital	L	cortex	6.278553057908399
lateralorbitofrontal	L	cortex	6.291376034637101
lingual	L	cortex	6.255006749800604
medialorbitofrontal	L	cortex	6.315230735096704
middletemporal	L	cortex	6.315530961720242
parahippocampal	L	cortex	6.261863407042552
paracentral	L	cortex	6.29118085563466
parsopercularis	L	cortex	6.306111652772108
parsorbitalis	L	cortex	6.253462882665909
parstriangularis	L	cortex	6.302143373463662
pericalcarine	L	cortex	6.227093400358969
postcentral	L	cortex	6.297465632492556
posteriorcingulate	L	cortex	6.32376152621968
precentral	L	cortex	6.3102943231887965
precuneus	L	cortex	6.27999038365055
rostralanteriorcingulate	L	cortex	6.375712428978912
rostralmiddlefrontal	L	cortex	6.284887425388528
superiorfrontal	L	cortex	6.309431630292734
superiorparietal	L	cortex	6.277258980568477
superiortemporal	L	cortex	6.293030602223501
supramarginal	L	cortex	6.329617291298832
frontalpole	L	cortex	6.2357771993633815
temporalpole	L	cortex	6.217309181949465
transversetemporal	L	cortex	6.279508335415384
insula	L	cortex	6.313654154618738
thalamusproper	L	subcortex/brainstem	6.2013590009024675
caudate	L	subcortex/brainstem	6.157454616731193
putamen	L	subcortex/brainstem	6.1760338272884
pallidum	L	subcortex/brainstem	6.16555587429822
accumbensarea	L	subcortex/brainstem	6.100359674091418
hippocampus	L	subcortex/brainstem	6.1762841229454555
amygdala	L	subcortex/brainstem	6.197677839121469
bankssts	R	cortex	6.290768840079178
caudalanteriorcingulate	R	cortex	6.329188893675229
caudalmiddlefrontal	R	cortex	6.313854262815416
cuneus	R	cortex	6.232343989598685
entorhinal	R	cortex	6.366494976420207
fusiform	R	cortex	6.283726876001035
inferiorparietal	R	cortex	6.273066370987112
inferiortemporal	R	cortex	6.278069296205138
isthmuscingulate	R	cortex	6.2838004939974494
lateraloccipital	R	cortex	6.287093923878152
lateralorbitofrontal	R	cortex	6.290012635714281
lingual	R	cortex	6.252658980673998
medialorbitofrontal	R	cortex	6.32761930919641
middletemporal	R	cortex	6.312885559490761
parahippocampal	R	cortex	6.253596317507592
paracentral	R	cortex	6.293097742650955
parsopercularis	R	cortex	6.31304719480112
parsorbitalis	R	cortex	6.2568079782734864
parstriangularis	R	cortex	6.329211333608305
pericalcarine	R	cortex	6.216143130628783
postcentral	R	cortex	6.2973369211995704
posteriorcingulate	R	cortex	6.337739251091851
precentral	R	cortex	6.3094829950957605
precuneus	R	cortex	6.2814706843234145
rostralanteriorcingulate	R	cortex	6.31663291246039
rostralmiddlefrontal	R	cortex	6.280365215222157
superiorfrontal	R	cortex	6.308294701039472
superiorparietal	R	cortex	6.278567242317997
superiortemporal	R	cortex	6.289243213308951
supramarginal	R	cortex	6.312209018531734
frontalpole	R	cortex	6.287256225509739
temporalpole	R	cortex	6.206480627758367
transversetemporal	R	cortex	6.288428021267014
insula	R	cortex	6.308220365516041
thalamusproper	R	subcortex/brainstem	6.213888779070461
caudate	R	subcortex/brainstem	6.157844767198932
putamen	R	subcortex/brainstem	6.141558812714058
pallidum	R	subcortex/brainstem	6.169858728695764
accumbensarea	R	subcortex/brainstem	6.107834474646701
hippocampus	R	subcortex/brainstem	6.170338653317952
amygdala	R	subcortex/brainstem	6.244538892265403
brainstem	B	subcortex/brainstem	6.177756272134203
