label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.038442586368706
caudalanteriorcingulate	L	cortex	6.219325128980808
caudalmiddlefrontal	L	cortex	6.1042974575678866
cuneus	L	cortex	6.012183908478422
entorhinal	L	cortex	6.416583796073755
fusiform	L	cortex	6.1892340908013175
inferiorparietal	L	cortex	6.040310405084931
inferiortemporal	L	cortex	6.1552510923849715
isthmuscingulate	L	cortex	6.114906883401913
lateraloccipital	L	cortex	6.0506765035379795
lateralorbitofrontal	L	cortex	6.2272880656543705
lingual	L	cortex	6.1017353840420325
medialorbitofrontal	L	cortex	6.214324070453773
middletemporal	L	cortex	6.155733680295564
parahippocampal	L	cortex	6.340875394220696
paracentral	L	cortex	6.043093575799041
parsopercularis	L	cortex	6.098061375766757
parsorbitalis	L	cortex	6.047303243246202
parstriangularis	L	cortex	6.089762801171299
pericalcarine	L	cortex	6.0325822427085365
postcentral	L	cortex	5.988327824724426
posteriorcingulate	L	cortex	6.16485479350778
precentral	L	cortex	5.994844807547349
precuneus	L	cortex	6.036856379413578
rostralanteriorcingulate	L	cortex	6.297561492326164
rostralmiddlefrontal	L	cortex	6.129456460043143
superiorfrontal	L	cortex	6.126464841068577
superiorparietal	L	cortex	6.028364325111486
superiortemporal	L	cortex	6.129394683350463
supramarginal	L	cortex	6.0764899390507585
frontalpole	L	cortex	6.338706045045809
temporalpole	L	cortex	6.147141844134239
transversetemporal	L	cortex	6.079062687156762
insula	L	cortex	6.29627980635394
thalamusproper	L	subcortex/brainstem	5.972138901917432
caudate	L	subcortex/brainstem	5.725822430750003
putamen	L	subcortex/brainstem	5.844759257745883
pallidum	L	subcortex/brainstem	5.716275292784408
accumbensarea	L	subcortex/brainstem	6.148296957028407
hippocampus	L	subcortex/brainstem	6.359445353397782
amygdala	L	subcortex/brainstem	6.662457733231847
bankssts	R	cortex	6.095308844930497
caudalanteriorcingulate	R	cortex	6.2022765648719105
caudalmiddlefrontal	R	cortex	6.1108432674720685
cuneus	R	cortex	6.032840004870539
entorhinal	R	cortex	6.448302148304878
fusiform	R	cortex	6.193471011893447
inferiorparietal	R	cortex	6.0419167952389214
inferiortemporal	R	cortex	6.154863983161044
isthmuscingulate	R	cortex	6.109374741944535
lateraloccipital	R	cortex	6.037005817613353
lateralorbitofrontal	R	cortex	6.221261991751299
lingual	R	cortex	6.100753053051114
medialorbitofrontal	R	cortex	6.2213580035235205
middletemporal	R	cortex	6.154811710111442
parahippocampal	R	cortex	6.329450900995185
paracentral	R	cortex	6.05529268200886
parsopercularis	R	cortex	6.076994800170062
parsorbitalis	R	cortex	6.076524111946326
parstriangularis	R	cortex	6.089113022218069
pericalcarine	R	cortex	5.981122557766661
postcentral	R	cortex	5.980211815601194
posteriorcingulate	R	cortex	6.174427837338298
precentral	R	cortex	5.992120490762243
precuneus	R	cortex	6.040057015684759
rostralanteriorcingulate	R	cortex	6.358624359448347
rostralmiddlefrontal	R	cortex	6.12638583205373
superiorfrontal	R	cortex	6.1244597740696465
superiorparietal	R	cortex	6.028212119209473
superiortemporal	R	cortex	6.124658131883093
supramarginal	R	cortex	6.053406824203715
frontalpole	R	cortex	6.376890624577774
temporalpole	R	cortex	6.155780728446163
transversetemporal	R	cortex	6.095865233507687
insula	R	cortex	6.287154539569119
thalamusproper	R	subcortex/brainstem	5.976500431819979
caudate	R	subcortex/brainstem	5.782134577237684
putamen	R	subcortex/brainstem	5.85518509755071
pallidum	R	subcortex/brainstem	5.7155047976381645
accumbensarea	R	subcortex/brainstem	6.073043419420126
hippocampus	R	subcortex/brainstem	6.344011223626761
amygdala	R	subcortex/brainstem	6.611258491631161
brainstem	B	subcortex/brainstem	6.21095473159466
