label	hemisphere	structure	weighted_avg
bankssts	L	cortex	16.009200635053638
caudalanteriorcingulate	L	cortex	15.52219720978628
caudalmiddlefrontal	L	cortex	14.424392386834068
cuneus	L	cortex	17.055646302506926
entorhinal	L	cortex	14.710578465183879
fusiform	L	cortex	15.895778623333118
inferiorparietal	L	cortex	16.041785459896268
inferiortemporal	L	cortex	15.592048594227634
isthmuscingulate	L	cortex	17.417862385764316
lateraloccipital	L	cortex	17.702943015326436
lateralorbitofrontal	L	cortex	13.959582386070794
lingual	L	cortex	17.86139880584615
medialorbitofrontal	L	cortex	13.959583403864805
middletemporal	L	cortex	15.904317908441332
parahippocampal	L	cortex	15.666353214136118
paracentral	L	cortex	15.511047648934154
parsopercularis	L	cortex	14.157826116270664
parsorbitalis	L	cortex	14.512453970349377
parstriangularis	L	cortex	14.277939285225903
pericalcarine	L	cortex	17.66929057330222
postcentral	L	cortex	15.953566915509724
posteriorcingulate	L	cortex	15.222692354711896
precentral	L	cortex	15.391147621432998
precuneus	L	cortex	16.684603525707306
rostralanteriorcingulate	L	cortex	15.083199980934229
rostralmiddlefrontal	L	cortex	14.700623808378952
superiorfrontal	L	cortex	14.973672263326726
superiorparietal	L	cortex	16.18032829491942
superiortemporal	L	cortex	15.373377822108807
supramarginal	L	cortex	16.041142486695538
frontalpole	L	cortex	15.066380328772642
temporalpole	L	cortex	14.344212779689526
transversetemporal	L	cortex	16.64541704606976
insula	L	cortex	14.715117158652651
thalamusproper	L	subcortex/brainstem	17.11023008311644
caudate	L	subcortex/brainstem	16.3042711990068
putamen	L	subcortex/brainstem	18.080401530887737
pallidum	L	subcortex/brainstem	18.082128860220536
accumbensarea	L	subcortex/brainstem	10.870672476646995
hippocampus	L	subcortex/brainstem	12.578189328970542
amygdala	L	subcortex/brainstem	12.32990195744574
bankssts	R	cortex	15.959795501224358
caudalanteriorcingulate	R	cortex	15.630307548564168
caudalmiddlefrontal	R	cortex	14.341704189266009
cuneus	R	cortex	16.99607600436599
entorhinal	R	cortex	14.678279844988875
fusiform	R	cortex	15.696472494312738
inferiorparietal	R	cortex	16.13832365613641
inferiortemporal	R	cortex	15.664875531040263
isthmuscingulate	R	cortex	17.121893790358488
lateraloccipital	R	cortex	17.90360678757438
lateralorbitofrontal	R	cortex	14.06719599907943
lingual	R	cortex	17.803640607967917
medialorbitofrontal	R	cortex	14.281842852552812
middletemporal	R	cortex	15.840092256066104
parahippocampal	R	cortex	15.864817673274857
paracentral	R	cortex	15.335438630844415
parsopercularis	R	cortex	13.583274501230711
parsorbitalis	R	cortex	14.040321868643685
parstriangularis	R	cortex	14.382673474866028
pericalcarine	R	cortex	18.105571980506223
postcentral	R	cortex	15.979779984592074
posteriorcingulate	R	cortex	15.251273933814339
precentral	R	cortex	15.378604100099889
precuneus	R	cortex	16.673124261182405
rostralanteriorcingulate	R	cortex	13.600927190964311
rostralmiddlefrontal	R	cortex	14.766613321754827
superiorfrontal	R	cortex	14.989756242596203
superiorparietal	R	cortex	16.136570924402033
superiortemporal	R	cortex	15.441671144885605
supramarginal	R	cortex	15.883247566024867
frontalpole	R	cortex	18.094125736506125
temporalpole	R	cortex	14.221634724266284
transversetemporal	R	cortex	16.60779453752787
insula	R	cortex	14.618058059692292
thalamusproper	R	subcortex/brainstem	17.264273519837044
caudate	R	subcortex/brainstem	15.358968026385153
putamen	R	subcortex/brainstem	17.57065095159412
pallidum	R	subcortex/brainstem	17.5826496482936
accumbensarea	R	subcortex/brainstem	12.597439515252148
hippocampus	R	subcortex/brainstem	12.69781316134806
amygdala	R	subcortex/brainstem	12.779948739491063
brainstem	B	subcortex/brainstem	17.962524676459108
