gene_name	z_mean	pvalue
KCNG1	5.134983648919598	2.8216855521173816e-7
UCN	5.050512390445699	4.406265276731804e-7
CTSF	-3.520922144474278	5.915201463345701e-7
MYH7B	2.2525334313814422	3.808025912605447e-6
ASB16	4.6519482580860405	4.411344829446273e-6
SPRED1	-2.8674837094367764	4.6602764655871655e-6
CYP11A1	-2.2108295157650337	6.867226244014402e-6
GLYCTK	3.961429613225416	3.087834834275348e-5
PPP1R13B	1.4315431657543554	4.2322813242410126e-5
ASPHD1	-1.9461935428120705	7.102490504166725e-5
IGLON5	0.8988101077638534	1.2637918697465e-4
LRFN4	3.813750896331378	1.3687343376004e-4
ZNF132	3.742791726750867	1.4980233126572e-4
HSPA6	1.983962008672059	1.5957138803379e-4
