gene_name	z_mean	pvalue	upregulated
CTSF	-3.520922144474278	5.915201463345701e-7	DOWN
SPRED1	-2.8674837094367764	4.6602764655871655e-6	DOWN
CYP11A1	-2.2108295157650337	6.867226244014402e-6	DOWN
ASPHD1	-1.9461935428120705	7.102490504166725e-5	DOWN
CDHR1	-3.577649915351212	1.6508441758577e-4	DOWN
CYP2J2	-0.9418797828993928	1.9573573931154e-4	DOWN
FTCD	-2.840077427544644	2.0735848009186e-4	DOWN
FAM178B	-1.1820615770716418	2.2162848278497e-4	DOWN
PRSS35	-2.307847827537423	3.2690854640032e-4	DOWN
ZNF391	-0.9697394256151134	3.5654954684962e-4	DOWN
EFR3B	-3.532852378718049	4.1110195494458e-4	DOWN
ALMS1	-2.982747520333382	4.7465696601568e-4	DOWN
RHOD	-2.5797221753984965	4.964564582486e-4	DOWN
