gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000160161.9	CILP2	7.614085782235249e-08	3.0	1.0	4.7354454779427966e-08	Brain_Nucleus_accumbens_basal_ganglia	2.4720888018521494e-07	Brain_Caudate_basal_ganglia	2.901205112533396	0.029959246534980118	2.901205112533396	5.159803718861615	5.460968322370043	5.286754735518735	0.1560459628046091	1.0000000000000002	0
ENSG00000026559.13	KCNG1	2.8216855521173816e-07	1.0	1.0	2.821685552117368e-07	Brain_Caudate_basal_ganglia	2.821685552117368e-07	Brain_Caudate_basal_ganglia	1.0	1.0	1.0	5.134983648919598	5.134983648919598	5.134983648919598	NA	1.0	0
ENSG00000163794.6	UCN	4.406265276731804e-07	1.0	1.0	4.4062652767318107e-07	Brain_Substantia_nigra	4.4062652767318107e-07	Brain_Substantia_nigra	1.0	1.0	1.0	5.050512390445699	5.050512390445699	5.050512390445699	NA	1.0	0
ENSG00000174080.10	CTSF	5.915201463345701e-07	10.0	3.0	5.7714266846121337e-08	Brain_Substantia_nigra	0.014306402412018832	Brain_Cerebellar_Hemisphere	7.901168873048994	0.020937909206188706	0.5273962664316059	-5.425742024324528	-2.4494765526782034	-3.520922144474278	0.9545660863880442	3.000000000000001	0
ENSG00000187664.8	HAPLN4	6.028338053252204e-07	4.0	4.0	9.975773931562739e-09	Brain_Cerebellum	0.007016861903950416	Brain_Caudate_basal_ganglia	2.8153139488384378	0.20889231970063	0.20889231970063	2.6960429474925904	5.731140247381885	3.9192983778852204	1.3070173221678272	3.9999999999999996	0
ENSG00000163938.16	GNL3	6.0418669860624e-07	8.0	4.0	7.960366340957276e-09	Brain_Putamen_basal_ganglia	0.001298344262738654	Brain_Anterior_cingulate_cortex_BA24	6.202275686540827	0.042061368129047705	0.34039136586286345	3.2163454883534275	5.769295392152688	4.888946979124502	0.8507473642385316	3.9999999999999982	0
ENSG00000158158.11	CNNM4	9.782592489311467e-07	5.0	3.0	7.453983927214028e-08	Brain_Nucleus_accumbens_basal_ganglia	0.3049390644394834	Brain_Amygdala	3.7311917667961456	0.000534257476021042	0.2054259158837507	-5.379869532502744	-1.0258992749904658	-4.007575131330845	1.8138242071231383	3.0000000000000013	0
ENSG00000226476.3	LINC01748	1.20926218450847e-06	3.0	2.0	1.7201038545662054e-07	Brain_Putamen_basal_ganglia	1.311744315343424e-05	Brain_Cerebellum	2.7427158764142914	0.06313863223435734	0.1941454913513514	4.358136724727642	5.227292373981845	4.77504141559974	0.4356545703051791	2.0	0
ENSG00000105726.16	ATP13A1	1.3748544512709415e-06	2.0	2.0	1.2958013985168596e-06	Brain_Cerebellar_Hemisphere	0.9682179328261319	Brain_Cortex	1.356246221164339	0.6437537788356611	0.6437537788356611	-0.039843453511270714	4.840396791322352	2.4002766689055406	3.4508509709413513	1.9999999999999996	0
ENSG00000148700.14	ADD3	1.5010528744672836e-06	4.0	2.0	4.658931637667833e-07	Brain_Cerebellar_Hemisphere	0.0008206708532818019	Brain_Putamen_basal_ganglia	3.6444988508191654	0.0318407098863434	0.28087631478872255	3.3457272289770588	5.039851517940015	4.55832120970319	0.8131759434590599	1.9999999999999984	0
ENSG00000279727.1	LINC02033	1.8431165944941847e-06	1.0	1.0	1.8431165944941807e-06	Brain_Cerebellum	1.8431165944941807e-06	Brain_Cerebellum	1.0	1.0	1.0	-4.769906270374245	-4.769906270374245	-4.769906270374245	NA	1.0	0
ENSG00000149485.18	FADS1	2.533808430659421e-06	9.0	2.0	1.336070133932365e-07	Brain_Hypothalamus	2.3820705575462872e-05	Brain_Putamen_basal_ganglia	8.27917221763716	0.008640786490868831	0.32252918758091953	-5.273828165080091	-4.225692533598946	-4.852616078944266	0.37314540939702173	2.0000000000000004	0
ENSG00000114988.11	LMAN2L	2.844733407477123e-06	7.0	5.0	2.3834651143694533e-08	Brain_Substantia_nigra	0.000746322255191901	Brain_Hippocampus	4.930056732198924	0.06713025433655304	0.2010475795059587	-5.581577713733804	-3.371971298441764	-4.626697660631082	0.8186741027390905	4.999999999999999	0
ENSG00000078814.15	MYH7B	3.8080259126054475e-06	3.0	3.0	4.885409729116595e-07	Brain_Cerebellar_Hemisphere	0.0052027467112908685	Brain_Nucleus_accumbens_basal_ganglia	2.01993337963091	0.11923782758823986	0.11923782758823986	-2.7942051145423563	5.030759376137552	2.2525334313814422	4.378028024846667	3.0	0
ENSG00000180979.9	LRRC57	3.914693125735086e-06	3.0	3.0	1.9479122565078462e-06	Brain_Nucleus_accumbens_basal_ganglia	3.965488632775255e-06	Brain_Caudate_basal_ganglia	2.3868331287569537	0.15860961268326515	0.15860961268326515	4.6131830030690955	4.75875445129641	4.6652285115307714	0.08116792020633189	3.0000000000000018	0
ENSG00000090097.21	PCBP4	3.961984541950243e-06	2.0	2.0	2.4669571843420314e-06	Brain_Hypothalamus	0.06038636205159507	Brain_Hippocampus	1.0512359829406472	0.9487640170593529	0.9487640170593529	1.877962011921188	4.710841770211651	3.2944018910664195	2.003148487373294	2.0	0
ENSG00000161664.6	ASB16	4.411344829446273e-06	2.0	2.0	1.1216452061073725e-06	Brain_Cerebellum	9.211644174504456e-06	Brain_Cerebellar_Hemisphere	1.7869788481004807	0.21302115189951984	0.21302115189951984	4.4348967149678105	4.86899980120427	4.6519482580860405	0.3069572360118089	1.9999999999999998	0
ENSG00000137960.5	GIPC2	4.522298824615402e-06	1.0	1.0	4.522298824615404e-06	Brain_Amygdala	4.522298824615404e-06	Brain_Amygdala	1.0	1.0	1.0	-4.585809926563044	-4.585809926563044	-4.585809926563044	NA	1.0	0
ENSG00000166068.12	SPRED1	4.6602764655871655e-06	2.0	2.0	1.023724706146594e-06	Brain_Frontal_Cortex_BA9	0.3964685694936053	Brain_Hippocampus	1.0060354833418628	0.9939645166581372	0.9939645166581372	-4.887022360956453	-0.8479450579170995	-2.8674837094367764	2.856058950715799	1.9999999999999996	0
ENSG00000114904.12	NEK4	5.687492210706215e-06	3.0	3.0	4.307637430149453e-07	Brain_Cerebellum	2.3514337331339057e-06	Brain_Cortex	2.628947572485387	0.1430024460528463	0.1430024460528463	4.720605701946321	5.054834679669335	4.847106906520467	0.18131621264867848	3.0000000000000004	0
ENSG00000128285.4	MCHR1	6.81359260205232e-06	5.0	4.0	7.154068026951329e-08	Brain_Cortex	0.19994904599759578	Brain_Cerebellum	3.1765224204164832	0.03960560285130928	0.13096049057022877	-5.387258061343448	3.184560132019808	-1.5748125201657523	3.7548725184696528	4.000000000000002	0
ENSG00000140459.17	CYP11A1	6.867226244014402e-06	5.0	5.0	0.00027352137203839644	Brain_Putamen_basal_ganglia	0.7823570093479055	Brain_Nucleus_accumbens_basal_ganglia	2.685921216598354	0.2808427185128931	0.2808427185128931	-3.6391670114287265	0.276248759086412	-2.2108295157650337	1.6092597754922886	5.000000000000001	0
ENSG00000177733.6	HNRNPA0	7.462885517659328e-06	1.0	1.0	7.4628855176593245e-06	Brain_Nucleus_accumbens_basal_ganglia	7.4628855176593245e-06	Brain_Nucleus_accumbens_basal_ganglia	1.0	1.0	1.0	4.480040563099959	4.480040563099959	4.480040563099959	NA	1.0	0
ENSG00000088298.12	EDEM2	7.95795367543407e-06	8.0	4.0	1.228525515526006e-06	Brain_Cortex	0.02966277903010671	Brain_Nucleus_accumbens_basal_ganglia	6.487880325953007	0.03168579909873448	0.22836226310053181	-4.850980619665237	-2.174564339995332	-3.810173871637722	0.8388653650727322	4.0000000000000036	0
ENSG00000120733.13	KDM3B	8.482455209744795e-06	2.0	2.0	6.403601561130015e-06	Brain_Cortex	0.015325498711566252	Brain_Caudate_basal_ganglia	1.158887333855172	0.841112666144828	0.841112666144828	-4.512605659619705	-2.4245943910624947	-3.4686000253411002	1.476446927190729	2.000000000000001	0
