gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000171574.17,ZNF584,4.770286493516394,0.3157540449683741,1.8396408364153344e-06,0.019780269509707852,0.05973322253019786,0.010213782903928836,NA,34,34,34,4.205997276037616e-05,0.039465118281893495
ENSG00000137960.5,GIPC2,-4.585809926563044,-0.7801772216309464,4.522298824615404e-06,0.0035703906669758744,0.035254629325991146,0.04745850989754307,NA,7,7,7,1.4230002593440982e-06,0.028614268002802982
ENSG00000213533.11,TMEM110,-4.439080706550326,-0.31756628624808664,9.034393647107546e-06,0.016972676484629405,0.05583829296633663,0.01296723468061059,NA,18,18,18,1.9259980275076978e-07,0.14078597402997015
ENSG00000143603.18,KCNN3,-3.9146342360825135,-0.4654115076354266,9.05413551690052e-05,0.006115078464470798,0.0485656949108759,0.021152715544166187,NA,16,16,16,1.1870002424658359e-05,0.029531813798012643
ENSG00000099326.8,MZF1,3.772190174898696,0.4491006188685377,0.00016182084054654168,0.00626870397713982,0.06555754193094103,0.007007382345924163,NA,16,16,16,4.205997276037616e-05,0.02885945414779736
ENSG00000127445.13,PIN1,3.5597128374458897,1.643036644980886,0.0003712605383261328,0.0003615683214007175,0.05158511343977787,0.01588581713084879,NA,5,6,6,0.000972699902855688,0.028371768069187626
ENSG00000055955.15,ITIH4,-3.5523497188840594,-0.09777060657373747,0.0003818070437725876,0.12351779003465758,0.3090655277710808,2.1203469057459e-11,NA,49,49,49,1.7750011817856585e-06,0.3210979080882298
ENSG00000120451.10,SNX19,3.48485354058785,0.08128041866829344,0.0004924064840025746,0.14804685316628696,0.3974849829152049,3.846322767770578e-15,NA,64,64,64,0.00016329996733116766,0.28901992135743304
ENSG00000183060.15,LYSMD4,-3.484796898492931,-0.22116370704353644,0.0004925107257772657,0.026990210964429197,0.21862728904343487,6.268564794037874e-08,NA,4,4,4,9.787999564260984e-05,0.0977046999180222
ENSG00000173540.12,GMPPB,3.4405581977791773,0.10195168331098926,0.0005805155772534527,0.09787601174204412,0.28404840901817235,1.0899190139567254e-09,NA,39,39,39,0.0010350004212333964,0.20532200471491655
ENSG00000260088.1,RP11-92G12.3,3.356635639340149,0.07898459459609948,0.000788970106739147,0.18156922156321093,0.4682110349887678,5.37527640591728e-18,NA,33,33,33,0.0013309994614532266,0.08642473572899016
