gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000149485.18,FADS1,-5.254108572153439,-0.670100112485325,1.4874312118391474e-07,0.00536340645814201,0.08038054810435286,0.0008768369436413242,NA,9,9,9,8.32999060666787e-08,0.02736683494028749
ENSG00000088298.12,EDEM2,-4.760687170369402,-0.3751119903962213,1.9293490897649546e-06,0.014812039979717771,0.08364423182206884,0.0006486644347371955,NA,12,12,12,2.0809980995155643e-05,0.14142746742676848
ENSG00000226791.6,AC109826.1,-4.496130955524136,-0.2180227440555897,6.920112532463531e-06,0.036132134868973084,0.044752613690068166,0.015979156647887002,NA,44,44,44,3.587997778417886e-05,0.09294761329114924
ENSG00000111237.18,VPS29,4.387089496456571,0.5624952203207716,1.1487752958046216e-05,0.005657901509167663,0.05441875002601888,0.00842699516402429,NA,21,21,21,6.7140049125797225e-06,0.0501861896965823
ENSG00000168237.17,GLYCTK,4.351062941123478,0.139124773970081,1.3547915162947447e-05,0.08350215022499512,0.1518686564167675,5.793183249838681e-06,NA,38,38,38,9.092003001472323e-09,0.19564700011675148
ENSG00000240423.1,LINC00636,4.271529740005437,0.4753564508373623,1.941366305734255e-05,0.006754699935715764,0.03303904198392338,0.03648845484050718,NA,7,7,7,7.253999687970344e-05,0.05340314889806146
ENSG00000086967.9,MYBPC2,-4.207528616735588,-0.2539768647051615,2.581787172109527e-05,0.024739258690444674,0.11188726144638768,6.158778052851074e-05,NA,4,4,4,0.00010590002857619856,0.1924299636435786
ENSG00000167523.13,SPATA33,-4.190859865096007,-0.3596946145628046,2.7789926727368402e-05,0.013726324056788008,0.15415936508737235,4.347945164023888e-06,NA,19,19,19,0.00010989996057356829,0.06042129788538921
ENSG00000182541.17,LIMK2,-4.0885746533475835,-0.4673759958071552,4.34031869548916e-05,0.0053796796336619355,0.13291343974085185,2.002278780228628e-05,NA,30,30,30,1.9020015962001036e-05,0.0054229460580644435
ENSG00000132612.15,VPS4A,4.084587204504367,0.4425779264066042,4.415524191075131e-05,0.006597352390648743,0.06972541082762561,0.002804917855626224,NA,15,15,15,1.6029986607366007e-05,0.05183811062422535
ENSG00000143603.18,KCNN3,-3.9833021269054747,-0.4572324089390409,6.796426245431168e-05,0.007280009688320497,0.05342011035247096,0.007086542088014423,NA,4,4,4,1.1870002424658359e-05,0.0755097402414565
ENSG00000008838.19,MED24,3.9816945156206076,0.16370174377458965,6.842568941176159e-05,0.05651544230416731,0.2144871748297112,2.1883863803806492e-08,NA,76,76,76,7.868001369331065e-07,0.11810406316189798
ENSG00000272092.1,RP11-350N15.5,3.836402794281856,0.6280294955685597,0.00012484957943193173,0.003118337027299054,0.03557200314127934,0.03424166785922261,NA,4,4,4,4.942999057762383e-06,0.06624887843533303
ENSG00000243678.11,NME2,3.829718595037391,0.2571608503831598,0.00012828987948009863,0.021957415323369055,0.3031689649939318,5.6424485503158594e-12,NA,23,23,23,4.810004516450986e-06,0.03722804271909178
ENSG00000103494.12,RPGRIP1L,3.6751325128741845,0.7070536407451837,0.0002377259953233994,0.0022523909986065342,0.0848733529360795,0.0007153995073657208,NA,5,5,5,4.4050024335144414e-05,0.03318923785362075
ENSG00000055955.15,ITIH4,-3.6381317669748365,-0.0998837370335908,0.0002746229210375581,0.10281602691985095,0.3276018819636605,1.6510835843779104e-13,NA,24,25,25,1.9200017671129035e-05,0.3837640005697796
ENSG00000136631.12,VPS45,-3.6292650326795637,-0.31619016940019157,0.00028422931031430164,0.011063005235307236,0.08479412319190603,0.0005343420055101259,NA,16,16,16,3.0359986769048978e-05,0.0967506655279122
ENSG00000132600.16,PRMT7,3.59962974831648,0.23825690841616567,0.00031867059785862503,0.019858593225084764,0.113013612767041,0.00010686921665617932,NA,39,40,40,0.0025169991482397545,0.17784489882506976
ENSG00000154079.5,SDHAF4,3.5873540132643917,0.283497949418172,0.00033405064965174577,0.014500335050086442,0.14634591076412373,5.9158037217564085e-06,NA,59,59,59,0.00014709996265817614,0.07380285502600385
ENSG00000154479.12,CCDC173,-3.536964273377421,-0.21960062645843606,0.0004047544139181014,0.02171290330838151,0.14826705337540394,7.025162414444217e-06,NA,5,5,5,0.0004459999141320553,0.11220761372318336
ENSG00000171574.17,ZNF584,3.4709485305804266,0.23143578593951114,0.0005186233964230175,0.019983375454977782,0.11984543250905146,7.219165672322162e-05,NA,26,26,26,0.0004989998257249312,0.11018222772448474
ENSG00000160282.13,FTCD,-3.46997545062506,-0.10461055831854833,0.0005205059367864321,0.09643967904857695,0.2817892935166939,1.4313370852608778e-11,NA,48,48,48,7.107003281901908e-05,0.10493330453401896
ENSG00000163576.17,EFHB,3.4450723240234136,0.06700072514658231,0.0005709066140873772,0.24318878574694797,0.5843437708627244,2.2230599736272227e-28,NA,44,45,45,0.00013140005280335982,0.260521934209284
ENSG00000148600.14,CDHR1,-3.4051471709680565,-0.14697122875325871,0.0006612840516770176,0.04771513777074769,0.07330661769502955,0.0016915826831591686,NA,67,67,67,4.201004295190772e-05,0.2360753863022399
ENSG00000173531.15,MST1,3.3884201400960423,0.20889129237405113,0.0007029649604405181,0.02460155504906447,0.09086485349659673,0.0005500894527337754,NA,72,73,73,4.231003211832391e-05,0.04994010073782628
ENSG00000215866.7,LINC01356,-3.369839119402872,-0.07326720983470655,0.0007521208140000182,0.22441035628652983,0.08781130674237496,0.0007097214757413171,NA,121,121,121,0.002180000465971886,0.4597173091171749
ENSG00000140386.12,SCAPER,3.3595522817739454,0.3997753340238135,0.0007806887803438713,0.007321973875163741,0.0989207060679238,0.0003422396643029749,NA,9,9,9,1.3070012553764664e-05,0.07677178073710833
ENSG00000160917.14,CPSF4,-3.3522739939724473,-0.2190511326083294,0.0008015065248661172,0.021250626013244258,0.10219848886732842,0.00018476873864399984,NA,39,39,39,0.001094999755057428,0.0713302983329946
ENSG00000093167.17,LRRFIP2,3.3514736485202286,1.291444162751489,0.0008038268871109029,0.0005321532166801288,0.03604294030861962,0.03054013968493097,NA,5,5,5,0.0008398002704103759,0.02748567098359739
ENSG00000162384.13,C1orf123,3.3226675412222004,0.2392993440147485,0.0008916111005150206,0.013938962857164153,0.21806524404434832,1.5064935773121844e-08,NA,11,11,11,0.0009420000020017409,0.04034713663154278
ENSG00000122687.17,MRM2,-3.246550352665033,-0.15591458594505658,0.001168127825192646,0.042045464323306664,0.14891167630280386,3.8037972905136865e-06,NA,27,28,28,0.0007137002785818655,0.07883647678020195
ENSG00000163938.16,GNL3,3.2163454883534275,0.2043313249824652,0.001298344262738654,0.020576477393820743,0.05820335168536561,0.005030044164924412,NA,49,49,49,1.8390010809014013e-08,0.1555350137390776
ENSG00000173540.12,GMPPB,3.2096232184080513,0.14592575702040797,0.0013290906696865421,0.04242236238147683,0.2003847842882692,4.8596190427469326e-08,NA,26,26,26,0.0026690004503547964,0.0970767197990876
ENSG00000117280.12,RAB29,3.188569143082438,0.23281024906007425,0.001429788114682052,0.01777929572452946,0.04842251207778795,0.01221020079136676,NA,64,66,66,0.0012549997193017795,0.062081145530077625
ENSG00000100325.14,ASCC2,-3.18720728413211,-1.876297452060916,0.0014365378253829487,0.0004949297764016576,0.05175729835327002,0.010192232457230437,NA,24,24,24,0.000426700185687457,0.034534885418995034
ENSG00000123454.10,DBH,3.17091298619871,0.16934744277108335,0.0015196065455750807,0.035093327108853455,0.18441272622111274,4.674278746262471e-07,NA,30,30,30,0.00046879985096886736,0.21331705703233467
ENSG00000183513.8,COA5,3.1609650430687535,0.19199063597149912,0.0015724736879627525,0.02618978654366908,0.14570087389613215,8.992246049400423e-06,NA,49,49,49,1.485000217390966e-05,0.1077402653557932
ENSG00000188643.10,S100A16,-3.154577539746137,-0.5262558906345587,0.0016073066070070713,0.003343308368324095,0.06100736562301926,0.004569417654227322,NA,50,51,51,0.00772899902474226,0.053465454700402607
ENSG00000101460.12,MAP1LC3A,3.150763228442982,0.4134281712516481,0.0016284444342357714,0.0051678923124759135,0.058678646684702886,0.005680171941936893,NA,25,25,25,5.7650035562763e-05,0.042764515843263684
ENSG00000177000.10,MTHFR,-3.1507423986827767,-0.24170190320232338,0.0016285605659510647,0.012871868018277404,0.12224051309234095,2.4687943998844378e-05,NA,14,14,14,0.0012530001892233375,0.11515257016848965
ENSG00000272755.1,RP11-326G21.1,-3.125895269122784,-0.47174929925134207,0.0017726466931598846,0.004660274852148927,0.19764395539931706,1.066231518837351e-07,NA,11,21,21,5.77700464919207e-07,0.0557098754944139
ENSG00000204653.9,ASPDH,-3.1230878478192485,-0.1787337468788271,0.0017896432269894566,0.026971973000897057,0.06649098064350932,0.002470003062850845,NA,26,27,27,0.00010590002857619856,0.19500512884836596
ENSG00000241878.11,PISD,-3.1196771709900943,-0.18644994075424173,0.0018104934477090647,0.025070716775553968,0.20286689955106424,3.110432210217489e-08,NA,44,44,44,0.0002707999076606209,0.09898996147125036
ENSG00000171680.21,PLEKHG5,-3.1170616561937132,-0.3592765508423625,0.0018266336541639362,0.006667895537322772,0.14168119485691896,9.243983452753022e-06,NA,14,14,14,0.0022910004368581352,0.18612362947639952
ENSG00000142675.17,CNKSR1,-3.10713396136022,-0.1301514956233226,0.0018891077195233976,0.055837635235276295,0.4980917035658156,5.346141683098035e-22,NA,28,29,29,0.001349999908503813,0.13165317194786036
ENSG00000260088.1,RP11-92G12.3,3.105450948649575,0.08641914740222266,0.0018998912930514897,0.12329107587971269,0.3628516568848375,7.408921240731255e-16,NA,39,39,39,0.0013309994614532266,0.27917353716094084
ENSG00000146540.14,C7orf50,-3.085332168389599,-0.16567021800340168,0.0020332493831498174,0.03272319918458737,0.3143976925208963,3.1329043884138357e-12,NA,13,13,13,4.234001836190998e-06,0.2462927117833089
ENSG00000099282.9,TSPAN15,-3.0825319356047722,-0.362348672925037,0.002052477061225842,0.006305978851924249,0.0675071265378586,0.002790520828966111,NA,19,19,19,0.0008401001908177063,0.049248771017560686
ENSG00000109270.12,LAMTOR3,3.081069624564096,0.4919973366900759,0.0020625841268721414,0.0038823803436476563,0.1136511077852495,6.937517049558195e-05,NA,21,21,21,0.000908699876335123,0.06881462138423826
ENSG00000135749.18,PCNX2,3.0744706469193877,0.887771073683139,0.002108764714559967,0.0017965739512910126,0.054461818663238834,0.007698118867496109,NA,12,12,12,0.005399999114963856,0.1342446707890076
ENSG00000006016.10,CRLF1,3.0658698741371566,0.21496295987276148,0.0021703774898450094,0.021456900669793555,0.03769528503275275,0.027315354050916483,NA,24,24,24,0.0010079999207724154,0.08422169529390086
ENSG00000090316.15,MAEA,-3.0653399745532393,-0.6117385123123277,0.002174226936814959,0.002341327489147756,0.08049347067267007,0.0012912841402933676,NA,14,14,14,0.003973999468883903,0.06392358641156975
ENSG00000178015.4,GPR150,3.0544714647165225,0.3003212598814943,0.0022545746139950424,0.010478561205624355,0.06979544312843952,0.002985181460071417,NA,28,28,28,5.363996337454355e-05,0.14322244679775206
ENSG00000152404.15,CWF19L2,-3.0424194690770787,-0.15050865106267217,0.0023468460378469704,0.03711603122596847,0.09555888496143802,0.00033798373869388935,NA,70,70,70,0.002388999587346611,0.11569319237898157
ENSG00000046889.18,PREX2,3.041119470329155,0.42501687412653427,0.0023570028746497233,0.004487103046414638,0.05398399384910876,0.008633880527099432,NA,27,27,27,0.000744399747207082,0.05284470214377866
ENSG00000102967.11,DHODH,-3.034959980691373,-0.12023166936816658,0.0024056760552491566,0.053979135052075064,0.21510478303272745,3.222302045227186e-08,NA,45,46,46,0.0006887002514289919,0.1607971188188535
ENSG00000183060.15,LYSMD4,-3.0344018416701726,-0.08770018819513122,0.0024101317041668674,0.12811483295444265,0.3910783801122169,1.6955906229173311e-16,NA,40,40,40,9.787999564260984e-05,0.14865137374294807
ENSG00000160299.16,PCNT,-3.0331977904581704,-0.40272947319552654,0.0024197694345242395,0.005264542793736941,0.09320030207748806,0.00032016389760843635,NA,11,11,11,0.003214998994779656,0.02323652770844976
ENSG00000223496.2,EXOSC6,-3.0294212608009556,-0.090785296707544,0.0024502276445306143,0.09645169150049446,0.5618962145173053,3.1824492258096578e-27,NA,19,19,19,0.00040780004561039273,0.08645322820433456
ENSG00000091536.16,MYO15A,3.028686706922678,0.3330910145918157,0.0024561925198850598,0.00790610394094271,0.10939053522839684,0.00013317816926652502,NA,9,9,9,0.005280998368726486,0.060238422192284515
ENSG00000141504.11,SAT2,3.0235808793577883,0.20656780937784838,0.002498022464750106,0.017979863395720292,0.17497371492829386,8.788228646710725e-07,NA,31,31,31,0.00015310003352332274,0.06929579759319518
ENSG00000105287.12,PRKD2,3.0069889194513904,0.1036525201259012,0.0026384938023375952,0.08047922511659988,0.3823468228541857,4.847929776660201e-16,NA,44,44,44,0.0007563999718994841,0.17071364833917088
ENSG00000153157.12,SYCP2L,-3.0039491566411956,-0.30194496085460704,0.002664998564977809,0.011445846006177816,0.0938574523394514,0.0005435215887839456,NA,12,12,12,7.623999504180079e-05,0.2215741668424373
ENSG00000106392.10,C1GALT1,2.9992719370218395,0.12534205324281672,0.002706256444975616,0.05429460957850499,0.2895920115038019,4.8175310147600935e-11,NA,18,18,18,0.0005283001304367838,0.1903554815823816
ENSG00000124523.15,SIRT5,2.993806427306265,0.2220353167952418,0.002755206853220665,0.017168572497590826,0.17193948268487286,3.1589902708522145e-07,NA,34,34,34,0.001302999984166996,0.0309961263417876
ENSG00000196166.3,C8orf86,2.9812609363749365,0.1781095394148894,0.0028706407982196525,0.025904539384356752,0.04045363106472157,0.02137327829732812,NA,35,35,35,4.073998691758823e-06,0.07052374426363925
ENSG00000090861.15,AARS,2.980738072340049,0.7887178039236172,0.0028755462695167207,0.00122017868675596,0.04593117040042876,0.017203091890492003,NA,10,10,10,0.0010069998387853536,0.013330984337073262
ENSG00000241852.9,C8orf58,2.949652093176433,0.2052490298382897,0.0031813194512821594,0.018391784676518093,0.1752968296419069,7.956712804204238e-07,NA,14,14,14,0.00029089996482030894,0.06161853437762885
ENSG00000144485.10,HES6,-2.9442132640399414,-0.1342470497531158,0.003237768085566464,0.04560239693906189,0.2357596811270592,5.020532336901626e-09,NA,33,33,33,0.0009352002155512551,0.15465492043265944
ENSG00000031691.6,CENPQ,-2.9435758567125854,-0.14137322222950774,0.003244443024685128,0.04081346752529848,0.2534804281724759,7.061986129772249e-10,NA,75,75,75,0.00837599898507265,0.03866729868268105
ENSG00000272849.1,RP11-347I19.8,-2.940310488604746,-0.29172927853468134,0.0032788350601941634,0.007486366825979552,0.05799303140672525,0.0064030483979320655,NA,11,11,11,0.0009360001679013935,0.05705817168463286
ENSG00000072609.17,CHFR,-2.921445532055678,-0.16541007099590108,0.0034841119122606496,0.035148098815734656,0.23248018628507705,7.823086622954435e-09,NA,11,13,13,0.011720000681669049,0.055644034562284006
ENSG00000248150.1,LINC02150,-2.916414161026709,-0.15277992353113587,0.0035408013920134357,0.030852805614311397,0.11182905069253694,0.00014208156554112102,NA,10,10,10,0.0015720005201676946,0.14916087338443404
ENSG00000263603.1,CTD-2349P21.5,2.915913278670681,0.12854149178729393,0.003546490620003264,0.04430470063440141,0.16036665732963076,3.1833268343719515e-06,NA,19,19,19,0.008059001243360269,0.27381054791409365
ENSG00000141013.16,GAS8,-2.904151423663504,-0.1345366014411824,0.003682500087982637,0.04574680383021108,0.16196822779500966,1.232287053366908e-06,NA,27,27,27,0.0011609997352005801,0.154332509695139
ENSG00000124214.19,STAU1,2.8934744354763757,0.5209851885708288,0.0038100530515121954,0.002718093520282831,0.037195454418104686,0.028150809690692075,NA,4,5,5,0.0027020010262117605,0.02525833408922859
ENSG00000173156.6,RHOD,-2.8903942429568885,-0.16470094194641607,0.0038475896654138675,0.024112519583983423,0.20716442611854774,2.296147903259053e-09,NA,17,18,18,0.009282002363059146,0.2684771701351509
ENSG00000075131.9,TIPIN,2.884866092639808,0.08688377925300639,0.003915801805472523,0.10127953597776623,0.4026294936036117,3.2100445382046736e-17,NA,26,26,26,0.0015929994257262528,0.03481807792978806
ENSG00000238217.5,LINC01877,-2.8609687432550883,-0.15591795855904242,0.0042234868939845585,0.03613390415604131,0.11199646523626428,0.00010099413732789358,NA,40,40,40,1.367998709645598e-05,0.19365722039931735
ENSG00000214226.8,C17orf67,-2.856915000653491,-0.37772043916714915,0.004277803775821964,0.004879241391519445,0.056679725586767024,0.006638008770808773,NA,14,14,14,0.0051250006819274045,0.09402832065270404
ENSG00000260259.1,LINC02166,2.839134819195887,0.11713565097898351,0.004523603994387357,0.059333011378769555,0.2406009264745905,1.2566114759875787e-09,NA,10,10,10,0.000643100079009103,0.14615558590755753
ENSG00000164898.12,FMC1,2.829004397026086,0.2847218053675976,0.004669305743179881,0.01073828523317583,0.11024132190559864,0.0001552878432320404,NA,14,14,14,0.0015579993743535202,0.03584214631689977
ENSG00000213676.10,ATF6B,2.8196022078884444,0.6320193435293863,0.0048083215438981365,0.0018825767085301327,0.08435189621064829,0.000956057457027076,NA,12,43,43,0.0010840004081367311,0.037864807012477936
ENSG00000187134.13,AKR1C1,-2.8150907304308657,-0.14477158410610944,0.004876346452551297,0.03440358897778381,0.16398866874634985,1.92156330420573e-06,NA,43,43,43,0.00609499817329337,0.12481272596383157
ENSG00000197580.11,BCO2,-2.8149407933860067,-0.08430878265718672,0.004878622106108417,0.0984912049816574,0.1421052093378309,1.122227017683269e-05,NA,115,117,117,0.00043040001987362103,0.1805248795188966
ENSG00000108587.15,GOSR1,-2.8073688394738037,-0.13166382374278437,0.004994801542552581,0.04229578244329725,0.10817125527115704,0.0001353706336029729,NA,22,22,22,0.0017240005139743666,0.08873845185221822
ENSG00000163945.15,UVSSA,2.8003625153702445,0.15842079788674057,0.005104524626912167,0.026067589797615087,0.1779219369155573,7.441998510161493e-07,NA,36,36,36,0.0011750004533327442,0.052326096945552514
ENSG00000197568.13,HHLA3,-2.800061331923744,-0.14528854161222476,0.005109289804475368,0.03541316941515312,0.09347831021141567,0.00043135312944421635,NA,60,60,60,0.00626899888122922,0.1413939629394538
ENSG00000139734.17,DIAPH3,-2.799154627532726,-0.20695450575767488,0.005123659520511299,0.0160858690471173,0.06742215380233282,0.002652124611285895,NA,47,47,47,0.0003392999329454894,0.10709479951915228
ENSG00000088926.13,F11,-2.7969293462120657,-0.12785097931061412,0.005159081382473901,0.05078484409595893,0.08137872136302995,0.0009653169008954156,NA,48,48,48,0.002654999876700126,0.07910773866587853
ENSG00000089486.16,CDIP1,2.7888767895058537,0.12796866128581103,0.0052891182713051075,0.052515112125535356,0.16516123324998966,8.861572285438446e-07,NA,73,74,74,0.00922799930792367,0.4279727945464721
ENSG00000148824.18,MTG1,-2.788494221529861,-0.08928805123361094,0.0052953692098323246,0.11020733924465852,0.3127062794009335,1.6407647611420267e-13,NA,21,21,21,0.006131001256134033,0.10656735500734413
ENSG00000010282.14,HHATL,-2.785434182641709,-0.18615322535419807,0.005345609106188779,0.02155306105299168,0.1147692765367446,0.00010641092510471085,NA,50,52,52,0.0021190006598125395,0.2895341445095022
ENSG00000138100.13,TRIM54,-2.7769184337715074,-0.2730905844822311,0.005487694850012683,0.010187048681385976,0.08187197373847112,0.0009841144307688122,NA,18,18,18,5.079004114107469e-05,0.0952409889544635
ENSG00000119185.12,ITGB1BP1,-2.7745995799441534,-0.17722678158910937,0.005526971076824629,0.02387011413429458,0.03930162596819305,0.026092986159137757,NA,53,53,53,0.03842001077441699,0.1088524728270616
ENSG00000157093.8,LYZL4,-2.7706086487806805,-0.1141556977330419,0.005595163001740632,0.05626672481219005,0.17794560742746482,7.163675989958795e-07,NA,38,38,38,4.359999096394002e-05,0.1761419127392978
ENSG00000197363.9,ZNF517,2.7689899794531136,0.2617554240034016,0.005623036460676204,0.010937967188690043,0.06336743537037008,0.004379249357699167,NA,13,13,13,0.0011950001572574628,0.050549621703791216
ENSG00000241058.3,NSUN6,-2.758005471952056,-0.13569166412869005,0.005815522441450484,0.035956596207824376,0.07254681220531098,0.0021435719570117263,NA,45,46,46,0.0022460002687998,0.06675730446784417
ENSG00000064835.10,POU1F1,2.7542538923549484,0.12293785173431508,0.005882611392021303,0.04550337288075258,0.04348911034932642,0.020144013026907947,NA,30,30,30,0.0016460004367875106,0.1555005439686142
ENSG00000204961.6,PCDHA9,-2.7488240586975485,-0.10248485981725312,0.005980948074977832,0.07575806996452356,0.3422830360097702,2.6356460897452308e-14,NA,23,24,24,0.016259994884251176,0.20485152592003525
ENSG00000146707.14,POMZP3,-2.7480377542329544,-0.04704275935453095,0.0059953105179038155,0.34742992323127075,0.5797764039767981,2.8292017949274383e-28,NA,31,32,32,0.0005058998131145008,0.3961179036600351
ENSG00000213462.4,ERV3-1,-2.732111961019664,-0.056111121784411924,0.006292975191825761,0.22842056553510187,0.6272065926667998,2.2725447946365262e-32,NA,34,34,34,0.0008325997267667109,0.15298592463784233
ENSG00000275764.1,RP11-582E3.6,2.708754496933339,0.259652694047147,0.006753629338878405,0.00968791800787841,0.08056240556623008,0.00130211334022045,NA,10,10,10,0.003050000293740427,0.035880364047964464
ENSG00000129422.14,MTUS1,2.7048201354167523,0.1788537408271213,0.006834138246380474,0.01925892341539758,0.11991377451311695,4.2605807770413596e-05,NA,40,40,40,0.0013800002814439536,0.07898375308639005
ENSG00000261587.2,TMEM249,2.7033079872894037,0.2886042184644047,0.006865310068343888,0.007868791807299559,0.06949131663058583,0.003049835628648168,NA,20,21,21,0.006414000886284417,0.16349788634628618
ENSG00000148660.20,CAMK2G,-2.7032380405797394,-0.3557039611630343,0.006866755054608878,0.004936915090790556,0.05573372768836287,0.0070349500250117426,NA,11,12,12,0.00040570009369361807,0.04995350695818883
ENSG00000156017.12,CARNMT1,2.691766209130273,0.2353101559806055,0.007107474969188372,0.011895674921958362,0.08176279683146155,0.0009392322103833193,NA,36,36,36,0.007299998639118678,0.14342093810292902
ENSG00000137185.11,ZSCAN9,-2.6867856906009067,-0.26670004685299636,0.00721432238629841,0.010191576019572251,0.07013491548627968,0.002989816887928041,NA,25,29,29,0.0002458999348505185,0.15529764503566285
ENSG00000134490.13,TMEM241,2.6855537481807503,0.9228949117364099,0.007240972743816445,0.00107153991980505,0.03807095874514288,0.02874444153740948,NA,6,6,6,0.005133999119947734,0.04529381687846442
ENSG00000081237.18,PTPRC,2.667916703285769,0.360339329305086,0.007632317776237124,0.004323867250700073,0.030890116359795355,0.04085515342027778,NA,36,36,36,0.022140000323677952,0.030103757428010764
ENSG00000223768.1,LINC00205,-2.666382619234316,-0.05626328193387778,0.007667237588747748,0.20091405507511384,0.6488536531651159,7.108359069166475e-35,NA,17,17,17,0.004931999744135995,0.11651422305512675
ENSG00000257086.1,RP11-783K16.13,2.6656478490783386,0.09612558220925918,0.0076840135654983035,0.09052956844009949,0.2297965470701065,6.339953692427648e-09,NA,27,27,27,0.002678998968388613,0.10143419526861024
ENSG00000163634.11,THOC7,-2.664130469532377,-0.1603884172114104,0.007718761921450917,0.027572279763609202,0.2208625494160007,1.2778048784881743e-08,NA,41,41,41,0.0011100000401559843,0.10449457414985128
ENSG00000157315.4,TMED6,2.6636241632250424,0.15052095511946087,0.00773038775172922,0.03252894328143223,0.05949500126024303,0.005917856934203164,NA,15,16,16,0.0008783997210845237,0.2326945776398981
ENSG00000255455.2,RP11-890B15.3,2.6510080193806584,0.2146600585233026,0.008025193591964975,0.014764838271673153,0.05206256892755926,0.010760118408717776,NA,37,39,39,0.0002938001266944208,0.06249847690239745
ENSG00000159352.15,PSMD4,-2.6449695459370544,-0.1942142966574537,0.008169826953977069,0.018255590937596492,0.11032754527539664,0.00013679043048912392,NA,29,29,29,0.0005412998750236625,0.07960864341529914
ENSG00000278662.4,GOLGA6L10,2.641284861800527,0.08306983012520275,0.008259224337149948,0.08900200228352337,0.23296887755302495,5.278595819028466e-09,NA,11,11,11,0.003233000708438339,0.13052406237069406
ENSG00000259905.5,PWRN1,-2.633273614829802,-0.08470518182705544,0.008456619058713883,0.09260908496048662,0.21309516231868844,1.6983232225633055e-08,NA,33,33,33,0.00846499993692002,0.25853674242337266
ENSG00000134697.12,GNL2,2.633059182417799,0.14868773785031425,0.00846196009988837,0.029654171022528493,0.054344624122256914,0.009089220152704596,NA,37,37,37,0.007725997937398687,0.11046536537516828
ENSG00000215045.8,GRID2IP,-2.619579749107619,-0.11935592655013631,0.008803818518565333,0.06013153499981698,0.08521385230273243,0.00092966904834855,NA,43,43,43,0.00020200008182910366,0.5102069010183782
ENSG00000137806.8,NDUFAF1,2.6162333522390906,0.06790893951804985,0.008890577462088683,0.1432350664074301,0.3419772844386276,3.6483420241317034e-14,NA,52,52,52,0.011030002725992333,0.17261656366000072
ENSG00000137338.5,PGBD1,-2.610123738209044,-0.15520505167304424,0.00905094776560206,0.027374393776089242,0.06165509910413827,0.003843905195741589,NA,43,63,63,0.0002458999348505185,0.3691731424113901
ENSG00000168291.12,PDHB,2.605477515517339,0.19028395705245116,0.009174629505715966,0.016495267835520695,0.1053583728764621,0.00023873061510867885,NA,40,40,40,0.002319999788741271,0.027442827575279497
ENSG00000275358.1,RP5-1025A1.3,2.6032787819939562,0.057963198877565604,0.009233683598087761,0.2776667146545112,0.23069585613464996,2.2731163623135977e-09,NA,196,197,197,0.0015630004444065029,0.4532413560404352
ENSG00000116819.6,TFAP2E,2.600526827949571,0.4282178206579922,0.009308074069760556,0.004525147953030183,0.042564702939843393,0.020572996348005825,NA,5,5,5,0.004032998528273981,0.05347052112481456
ENSG00000237419.1,RP11-885N19.6,-2.5949861775959087,-0.10779442749140619,0.009459472313604406,0.07139840073218434,0.10192295956447786,0.0002121327301074364,NA,44,45,45,0.0007431001667191407,0.22149207410276847
ENSG00000186792.16,HYAL3,-2.5891227713092295,-0.10923700514082867,0.00962207823791748,0.055878868711428116,0.366977462526436,1.1827043130275168e-14,NA,4,4,4,0.00046400012963990325,0.16329679011746975
ENSG00000186960.10,LINC01551,-2.5788989971385528,-0.1590416731710815,0.009911576222581825,0.026547050110859255,0.10024572858923507,0.00023811626116137865,NA,40,40,40,0.000675600173769057,0.09681713362451208
ENSG00000214435.7,AS3MT,2.5657218668075763,0.08293932841651057,0.010296135082662443,0.0729589215677908,0.35306698203123804,9.311323425444306e-15,NA,38,38,38,1.3309993180207807e-05,0.11503628222331555
ENSG00000189306.10,RRP7A,2.5640737013820956,0.1570238673194201,0.010345157468240851,0.028756051625474677,0.1558060116899471,6.566834576562475e-07,NA,8,8,8,0.012149996243536174,0.2339679753384644
ENSG00000232859.9,LYRM9,-2.562549251814204,-0.12837910273406997,0.010390684898562949,0.03312120182104443,0.25935150699469595,4.3096136074904093e-10,NA,38,38,38,0.00219499972600916,0.14725286342729582
ENSG00000100564.8,PIGH,-2.55982602713655,-0.109536096435057,0.01047245742326326,0.04408720693625002,0.1394652081464971,8.925902521752786e-06,NA,21,22,22,0.004419999310844798,0.6188120992694325
ENSG00000145868.16,FBXO38,-2.5560407648240226,-0.20663095260002312,0.01058707151876291,0.014765078818458299,0.05053878799304188,0.010938419612398848,NA,31,31,31,0.0017240005139743666,0.060414992494059336
ENSG00000214279.13,SCART1,2.5553475695142485,0.1405686961549776,0.010608181251722333,0.0326292315530306,0.1903440295143817,2.5768565529953466e-07,NA,16,16,16,0.006131001256134033,0.1534290765533792
ENSG00000262874.1,C19orf84,2.548703795529782,0.16867940548245694,0.01081240918626895,0.022629885293557056,0.09164547702838638,0.0003989688607717847,NA,17,17,17,0.006047000330937776,0.09410949979036663
