gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000187664.8,HAPLN4,5.731140247381885,0.9116431684173887,9.975773931562739e-09,0.002990142993867624,0.07838985994258119,0.00014244118836584892,NA,13,13,13,1.10999838985325e-09,0.026553811083143686
ENSG00000163938.16,GNL3,5.60911407128313,0.20758065469802012,2.033649531960354e-08,0.05882321436959402,0.3089796554277596,7.733754903730772e-17,NA,62,62,62,4.0120029898057475e-08,0.05923548969963328
ENSG00000149485.18,FADS1,-5.153605029997928,-0.11163919474347424,2.5552584988936706e-07,0.1868389642030816,0.43747690730330496,3.0606334375556207e-27,NA,31,31,31,1.6170004293844082e-07,0.12083068087193945
ENSG00000148600.14,CDHR1,-5.078289461544609,-0.4244766118625119,3.808481521791574e-07,0.013880038994129602,0.032001404218504684,0.017220725026803354,NA,23,23,23,4.201004295190772e-05,0.07078442809943476
ENSG00000114904.12,NEK4,5.054834679669335,0.526941934919424,4.307637430149453e-07,0.008122044064332444,0.08783357624803789,4.966123110132368e-05,NA,11,11,11,1.6730012842264667e-06,0.0825543077628795
ENSG00000196236.12,XPNPEP3,4.9010047533903585,0.2888865097058303,9.534774908626484e-07,0.026583917162206257,0.14585347515448888,9.397423770697227e-08,NA,21,22,22,9.652990006220902e-08,0.21307245112650952
ENSG00000161664.6,ASB16,4.86899980120427,0.49870680474790363,1.1216452061073725e-06,0.008501297834710925,0.04214512673595685,0.0060620883869696865,NA,16,16,16,2.2169983520866892e-06,0.05249637017805293
ENSG00000148700.14,ADD3,4.8393465414617305,0.13573006591243572,1.302667314516517e-06,0.11835760304375009,0.4362489426064513,6.741851960011193e-27,NA,42,42,42,2.726000170893979e-07,0.052951150926039976
ENSG00000279727.1,LINC02033,-4.769906270374245,-0.6847640705914296,1.8431165944941807e-06,0.004271746346507499,0.03129319615449443,0.017343202299428564,NA,7,7,7,2.609000319180948e-08,0.09363102428262328
ENSG00000168237.17,GLYCTK,4.75488556357656,0.22937356458782576,1.9855885643254166e-06,0.035963216538002885,0.21836972829160814,1.1965435642513106e-11,NA,18,18,18,3.094996843037702e-07,0.04121998263063004
ENSG00000158158.11,CNNM4,-4.742257075963027,-0.7237712642106158,2.113501876478477e-06,0.004216631358224662,0.06673820322907799,0.0004618172241602763,NA,11,11,11,2.2159985183308074e-07,0.01582776045415086
ENSG00000163125.15,RPRD2,-4.635754167312871,-0.51745939348636,3.556384299313842e-06,0.006358964925125952,0.057733975336228836,0.0009757151010709783,NA,44,46,46,5.77700464919207e-07,0.01817551128879551
ENSG00000078814.15,MYH7B,4.521046032549131,0.18866821190405006,6.153480404553455e-06,0.05852919630459308,0.23350284728898354,1.4856992648622475e-12,NA,55,55,55,1.2829986037162942e-06,0.14220472776939574
