gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000128285.4,MCHR1,-5.387258061343448,-0.8952797137491338,7.154068026951329e-08,0.003432647970985474,0.15190606401649914,4.358821471819586e-08,NA,8,8,8,3.228003955510453e-08,0.03377048872187362
ENSG00000163938.16,GNL3,5.152924044043885,0.8639887602167136,2.5645585835163823e-07,0.003200364211834878,0.0800892065213643,8.254770955253128e-05,NA,12,12,12,9.848011342338654e-09,0.0436358282887932
ENSG00000138688.15,KIAA1109,-4.913804317340067,-0.6550149476419902,8.932590740468013e-07,0.0042073168003811555,0.07275867752782937,0.00030421966583302624,NA,4,4,4,1.1009994793087681e-06,0.03663109055260077
ENSG00000088298.12,EDEM2,-4.850980619665237,-0.3682380420371963,1.228525515526006e-06,0.01840206298356141,0.14857816884275146,1.4072887004268106e-07,NA,30,30,30,1.2829986037162942e-06,0.03512151671585615
ENSG00000168237.17,GLYCTK,4.756182901010075,0.2104593258629095,1.97287738535703e-06,0.050663334892859166,0.07975775359275354,0.00013723580904369593,NA,54,54,54,8.238990746587926e-08,0.19475255721475407
ENSG00000149485.18,FADS1,-4.74827765763065,-0.3320629389521812,2.051562606458859e-06,0.018868966548235517,0.1699334394848361,3.404599530441501e-09,NA,19,19,19,7.918003247226152e-06,0.06948400516769487
ENSG00000114904.12,NEK4,4.72060570194632,0.6611531600465423,2.3514337331339146e-06,0.0041516192254306425,0.04569387372939528,0.004811037275603168,NA,11,11,11,9.848011342338654e-09,0.12699839007119448
ENSG00000114902.13,SPCS1,-4.687079162487171,-0.4874810376915707,2.7713179166212163e-06,0.00838667617397848,0.06617608201019183,0.000557412306519795,NA,14,14,14,9.092003001472323e-09,0.07240490868730214
ENSG00000008838.19,MED24,4.609303240066443,0.5404481561716518,4.040206886390345e-06,0.007188385814860077,0.15393676036953938,3.2713684380195684e-08,NA,14,14,14,2.5319995565313566e-06,0.03627742304907382
ENSG00000120733.13,KDM3B,-4.512605659619705,-0.4033613279160188,6.403601561130015e-06,0.009857109920409952,0.0986958576952099,1.9570236255815883e-05,NA,31,31,31,0.0003701998613873204,0.1320173620867857
ENSG00000167550.10,RHEBL1,4.461193416497243,0.5045016328907866,8.150448605194985e-06,0.006664243243087683,0.08229541577883727,0.00011560974600020652,NA,19,19,19,4.5940052398690735e-07,0.057233841272950815
ENSG00000075399.13,VPS9D1,-4.458127295223045,-0.33675862489928426,8.267880047502793e-06,0.01700511972192377,0.19837093852773896,5.107231770437367e-10,NA,28,28,28,7.861002926598061e-05,0.1042660682511555
ENSG00000147535.16,PLPP5,-4.4025225135492505,-0.685563397322739,1.0699948255294731e-05,0.0036327422849914423,0.11822785565584845,1.953386670264241e-06,NA,16,16,16,9.025991239989127e-06,0.022928221524142502
ENSG00000148600.14,CDHR1,-4.375186819284887,-0.1279683198965638,1.2132852202908597e-05,0.10170060786982074,0.3333526333180077,1.839891925896264e-18,NA,83,83,83,4.201004295190772e-05,0.2652319504914725
ENSG00000133328.3,HRASLS2,-4.355938088034446,-0.22028719905816896,1.3249822657794867e-05,0.03830000664314828,0.036452418955157266,0.010634745926772871,NA,31,31,31,1.3899999951028702e-06,0.2067968523553949
ENSG00000140326.12,CDAN1,4.250763974488825,0.47505010903843997,2.1304258155118665e-05,0.006959341699291376,0.0779829870553119,0.0002074944532633947,NA,9,9,9,1.815000962424936e-05,0.07402082264565972
ENSG00000167264.17,DUS2,4.215739413781808,0.18245738227688554,2.4896110985451166e-05,0.04429511852233271,0.22208779372381693,4.103038182230835e-12,NA,35,35,35,4.5700022696560566e-05,0.3461522521919099
ENSG00000085788.13,DDHD2,-4.212495956597213,-0.7297001397156094,2.5256423738277475e-05,0.003096105278741776,0.10527997442233986,1.2032535374549307e-05,NA,28,29,29,4.942999057762383e-06,0.032141329485221595
ENSG00000144214.9,LYG1,4.202069403905607,0.4585168450257885,2.6448601273532515e-05,0.006152985712217084,0.06686054774717677,0.0005006170171719372,NA,47,47,47,7.107999576209693e-05,0.032088324385031425
ENSG00000144199.11,FAHD2B,-4.077060868573122,-0.20764965046508374,4.560855638146662e-05,0.03788862963512126,0.3628668554145377,1.5170625995214098e-20,NA,24,27,27,0.00010459995736891419,0.08834794354347836
ENSG00000160294.10,MCM3AP,-4.002553551514324,-0.601095044788271,6.266247842470334e-05,0.0039596476037004405,0.14497699314286192,1.2273404259713249e-07,NA,15,15,15,3.462996140889381e-06,0.05386720535998155
ENSG00000132612.15,VPS4A,3.9898005274000816,0.45813545355596524,6.61288844498706e-05,0.006591550452860193,0.17036592587566285,3.6967558773218735e-09,NA,13,13,13,3.944001185197237e-05,0.035026236628195366
ENSG00000171574.17,ZNF584,3.973557789147937,0.19462671115072372,7.080696868789905e-05,0.03732233930434033,0.13558065004188766,4.590169714985421e-07,NA,50,50,50,0.0011789997549571994,0.15361621842033546
ENSG00000204033.9,LRIT2,-3.972998438894925,-0.13004058552988176,7.09735145102794e-05,0.08419381851414995,0.201572551601974,2.0112524750510167e-10,NA,13,13,13,4.201004295190772e-05,0.13645798682916954
ENSG00000141013.16,GAS8,-3.9593108580412815,-0.10134729568048524,7.516634683662247e-05,0.1376749996067637,0.3720816619023562,1.2432789011289362e-20,NA,49,49,49,0.00028979992113736835,0.8924004279945993
ENSG00000226791.6,AC109826.1,-3.9336609507437776,-0.21435932312045347,8.366177268067847e-05,0.027925559006575378,0.08380729844475572,8.900660573585796e-05,NA,28,28,28,7.654003002627975e-06,0.11264960613048873
ENSG00000115073.7,ACTR1B,-3.9328557441845837,-0.4305683411561773,8.394261757602503e-05,0.007396674359796047,0.08234328594735196,7.521295385257632e-05,NA,25,25,25,5.493005020636107e-05,0.13157955051072598
ENSG00000101460.12,MAP1LC3A,3.92346379436088,0.258114066229525,8.72848878432032e-05,0.02932202706500938,0.32790510251003274,3.815802716954556e-17,NA,69,69,69,0.00020880008105595072,0.19651284355659396
ENSG00000175115.11,PACS1,3.9068257090119363,0.2745442670158076,9.351655775166781e-05,0.020996915236092366,0.11874151882410265,2.442575989155174e-06,NA,44,45,45,4.715002946606468e-07,0.09699050065505974
ENSG00000174483.19,BBS1,3.904439731967835,0.35834576811879987,9.444392329320225e-05,0.011212021133729213,0.1638734381331606,1.23089130825806e-08,NA,24,24,24,4.4850021717191096e-06,0.02625076253588844
ENSG00000267100.1,ILF3-AS1,3.8757720138932354,0.16088864695373659,0.00010628716812706496,0.05083483129925037,0.1188898059572104,1.1461616196378985e-06,NA,62,62,62,1.602000584546438e-07,0.1916031502381816
ENSG00000163125.15,RPRD2,-3.8516656983923743,-0.39978799354179484,0.00011731710711568308,0.008260669654492424,0.10164475140705473,1.6843865979594502e-05,NA,45,45,45,2.158998552954261e-05,0.022364596858494658
ENSG00000103494.12,RPGRIP1L,3.8131577996618495,0.29174633790356685,0.000137202449139639,0.01404936068711576,0.1894993610630412,2.943639208875632e-10,NA,12,12,12,4.4050024335144414e-05,0.022122368184674324
ENSG00000189091.12,SF3B3,3.8126734670011397,0.22775879628227522,0.00013747168107769295,0.022667156028735414,0.17029511734260672,3.21771872313128e-09,NA,38,40,40,0.00010830000140289426,0.10369902436152448
ENSG00000117362.12,APH1A,-3.776814988135023,-0.7860643510444126,0.00015884663532216532,0.0019820705120894666,0.029684638034468955,0.021523766530484587,NA,21,21,21,5.77700464919207e-07,0.011920932291529204
ENSG00000260259.1,LINC02166,3.7577185498812247,0.19903927681764555,0.0001714695874276217,0.031515075488520436,0.06819015033645366,0.0003133643772568754,NA,12,12,12,0.00030030007191073126,0.07577525228881232
ENSG00000197977.3,ELOVL2,3.755399355812743,0.9613594124438068,0.00017306529781778,0.0014629558856373102,0.08107140760265763,0.0001239618468236033,NA,10,12,12,0.00028589986978455346,0.012440233706521569
ENSG00000093167.17,LRRFIP2,3.710653779896345,0.36866842445470294,0.00020672467232412848,0.00852457884537776,0.14717830426051098,3.3946877536103143e-08,NA,52,52,52,2.013997621204453e-08,0.021869842515718958
ENSG00000141504.11,SAT2,3.702465111334546,0.1987487001023712,0.00021351472955745486,0.031787891565434746,0.3151917602578446,5.2581421622466265e-17,NA,11,11,11,0.0001388999662422501,0.06761036172633837
ENSG00000183060.15,LYSMD4,-3.6960882239943214,-0.1461549039589396,0.00021894691531854673,0.0638266045946389,0.3890120446594593,9.083145615261746e-22,NA,11,11,11,9.787999564260984e-05,0.2031838837716855
ENSG00000160282.13,FTCD,-3.685946140912905,-0.09264271972888316,0.00022785453912644235,0.15646814999632627,0.3715019500602295,1.244211473604654e-20,NA,60,60,60,0.0002618998900801774,0.17660258708640944
ENSG00000120451.10,SNX19,3.6356471575485725,0.11729824193076646,0.0002772836498254211,0.083203208018526,0.4869953740244197,1.1444126103214066e-29,NA,24,24,24,0.00025719993248384876,0.2670848355281161
ENSG00000143811.18,PYCR2,3.634075957878904,0.8203401705629888,0.0002789786712133571,0.0019438735770921766,0.025955036779417216,0.033032296603596314,NA,16,16,16,0.002151000791870761,0.03406854971918764
ENSG00000148798.10,INA,-3.6316382398424176,-1.5993240614405229,0.0002816277288472243,0.0004304586105476058,0.02937631851037658,0.023593955281350668,NA,20,20,20,4.821996930283084e-05,0.012740542062102721
ENSG00000104381.12,GDAP1,3.6013204711176754,0.3885381658863591,0.000316605018033632,0.006714345036815964,0.07700728607217057,0.000130383408332478,NA,91,91,91,0.00060129983464239,0.1090195407787295
ENSG00000132821.11,VSTM2L,3.58909627121138,0.36983769515711495,0.0003318262934298628,0.008508899399515478,0.07535680861769388,0.00022076257606945743,NA,93,93,93,8.544001619916795e-05,0.18248997988101584
ENSG00000127325.18,BEST3,3.569404732987592,0.263092641855755,0.0003577932979143908,0.017566769735738882,0.12906512409295687,8.129666329074575e-07,NA,32,32,32,0.002069999851684564,0.09017382111045814
ENSG00000146856.14,AGBL3,-3.5425810181409902,-0.17015441648240237,0.0003962316885971199,0.040570767351070215,0.14385700397981882,1.5633403707557424e-07,NA,22,22,22,0.00020939996230059845,0.07447237905568949
ENSG00000243364.7,EFNA4,3.5091390571914514,0.31763119222945546,0.0004495597921386066,0.010159473464214534,0.045928695912499866,0.004589150686342313,NA,36,36,36,0.00015720001970704852,0.08184073249209158
ENSG00000270964.1,RP11-502I4.3,-3.487160270825647,-0.18742531192398873,0.0004881787110490509,0.02922407983255483,0.09191932860005284,4.496529795322374e-05,NA,22,23,23,0.0024680003444561196,0.08597175132759872
ENSG00000253649.3,PRSS51,3.481283977987379,0.4279471252614627,0.0004990161221734557,0.005537865641991505,0.07697613696369783,0.0001848100055612379,NA,12,13,13,8.5350033254001e-05,0.03934026376879186
ENSG00000263033.2,RP11-396B14.2,3.477787184056294,0.10873222881775477,0.0005055711488341253,0.0935050347596833,0.07005460569570085,0.0004529614431619661,NA,110,110,110,0.0010599996222695894,0.2783145945355649
ENSG00000132563.15,REEP2,3.476764900749844,0.8333324276423112,0.000507502613738878,0.0016234307185666681,0.038872335693650915,0.00814633241299655,NA,9,10,10,7.404001788390306e-05,0.019077285192523986
