gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000008838.19,MED24,5.2288206501407855,0.3951503650562934,1.705947553627547e-07,0.01668543254230343,0.12104960395645573,1.3465718348589907e-05,NA,16,16,16,7.868001369331065e-07,0.052979960327819015
ENSG00000148700.14,ADD3,5.008359550433957,1.2849622603806408,5.489591234604238e-07,0.0016055690153012627,0.09023659825911667,0.000153923432859757,NA,16,16,16,1.9190008253039099e-07,0.012935730578783087
ENSG00000167550.10,RHEBL1,4.946013296230022,0.48376962664348355,7.574878732490985e-07,0.009301044682615818,0.19542292725161292,1.2486790944623582e-08,NA,13,13,13,3.248001480385974e-07,0.03557411197553917
ENSG00000166068.12,SPRED1,-4.887022360956453,-2.885508760539639,1.023724706146594e-06,0.00026557617491847034,0.04993548408976473,0.006540240120582583,NA,3,3,3,5.149003909844954e-07,0.01597772817397031
ENSG00000128285.4,MCHR1,-4.858050185750086,-1.1064520351361726,1.1854736568706578e-06,0.0016127469827700621,0.08124801195970056,0.00046936402735777756,NA,11,11,11,7.026994244289419e-07,0.018689757348696837
ENSG00000243678.11,NME2,4.79362707172355,0.34598960054363964,1.6379262874360521e-06,0.017426043071184234,0.2383860540011171,4.0888010174522775e-11,NA,24,24,24,2.6150025636935294e-06,0.028376017592611043
ENSG00000198646.13,NCOA6,-4.69007564333011,-0.6364242730272968,2.7310406755554656e-06,0.004883711998093031,0.063521532427377,0.0020636747935930673,NA,20,20,20,2.709000423543826e-06,0.008870938665196764
ENSG00000136631.12,VPS45,-4.685085741089163,-0.8076195082698217,2.7984275939472744e-06,0.003042594138616319,0.045783447045121085,0.006207659458855237,NA,22,22,22,5.027997379615541e-07,0.030678140569157786
ENSG00000163938.16,GNL3,4.400019303683209,0.287498857971574,1.0824124893173367e-05,0.01838085555652054,0.19152325897920747,2.2792311543181966e-08,NA,30,30,30,4.0120029898057475e-08,0.09730210861040274
ENSG00000149485.18,FADS1,-4.3848873925499,-0.5947054539824943,1.160457932589709e-05,0.004607676873397099,0.08671607588441503,0.00021221369862267975,NA,6,6,6,1.3380015605129448e-06,0.0412977782166884
