gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000196236.12,XPNPEP3,5.211403785879394,0.49613970110631994,1.8741703407425097e-07,0.010522431945992571,0.1444639445699263,1.3124108119588509e-06,NA,15,15,15,3.228003955510453e-08,0.045776286332052364
ENSG00000175115.11,PACS1,5.022128348857647,1.476748090257525,5.1102014294244e-07,0.0011654296152666904,0.09415576825795953,0.00015442979247363018,NA,7,7,7,4.715002946606468e-07,0.013516854797768268
ENSG00000177082.12,WDR73,4.745252721031188,0.4053108542770402,2.082461725255701e-06,0.012453044746247283,0.09350535517614493,0.00021555388466464382,NA,19,19,19,9.490011301155163e-08,0.05451466402500499
ENSG00000149485.18,FADS1,-4.7066758667712145,-0.419350705274513,2.5178877310096648e-06,0.011024817992905625,0.13921215505920048,2.2773671205968454e-06,NA,16,16,16,9.50099293663148e-08,0.038014460171411066
ENSG00000085788.13,DDHD2,-4.628417775920333,-0.5281891950954922,3.6847010653817938e-06,0.007546624034748196,0.0388939077996222,0.018900993176728453,NA,26,26,26,1.1290013334582207e-06,0.10195614591675314
ENSG00000008838.19,MED24,4.493051031270891,0.6449800733740433,7.0209951561385754e-06,0.004410996797775922,0.119407358408905,6.851743490559107e-06,NA,11,11,11,1.2690009354693293e-06,0.035551282798699776
ENSG00000137185.11,ZSCAN9,-4.449063835324561,-0.6472900893093293,8.624538238582756e-06,0.004169972456511318,0.07872124994394364,0.0004886628157309991,NA,34,36,36,4.2410013920140115e-05,0.03523791840591363
ENSG00000171574.17,ZNF584,4.391116230808467,0.3992441865338849,1.127702346575888e-05,0.010795892868742989,0.09512888564268447,0.00013604792595380339,NA,28,28,28,4.205997276037616e-05,0.028754323585193888
ENSG00000168237.17,GLYCTK,4.31450490452119,0.21150241063731762,1.599609829524128e-05,0.03436562073688949,0.16740424977874768,2.6611821794791287e-07,NA,34,34,34,1.9259980275076978e-07,0.1245366659185312
ENSG00000243678.11,NME2,4.097095874408307,0.4834557335571666,4.183656609746166e-05,0.006603551421119926,0.2248937380813336,8.161511109346605e-10,NA,16,16,16,4.810004516450986e-06,0.04155645853952962
