gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000158158.11,CNNM4,-5.300478217776515,-0.9611994680924355,1.154997457614603e-07,0.002954062317581432,0.04071035423196085,0.014309891012539013,NA,11,12,12,6.946004902166557e-09,0.017318372545588472
ENSG00000149485.18,FADS1,-5.273828165080091,-0.44445798525438507,1.336070133932365e-07,0.011645856312712912,0.1316482380616568,3.875354596871863e-06,NA,10,10,10,8.32999060666787e-08,0.02369471956279971
ENSG00000090097.21,PCBP4,4.710841770211651,1.4921496754499781,2.4669571843420314e-06,0.000809987870003931,0.032342824659397515,0.030235470929020663,NA,5,5,5,1.3980012900167454e-05,0.034321911132601815
ENSG00000174080.10,CTSF,-4.632428167691866,-0.46690500312230915,3.614017478832385e-06,0.009497110143916165,0.11947387999056056,1.799348515253528e-05,NA,24,24,24,3.8800042077161586e-06,0.10558785591020443
ENSG00000101460.12,MAP1LC3A,4.624589805756127,0.7937983944605987,3.7534043960604356e-06,0.0029747974218921726,0.037500435149857736,0.01915811463624266,NA,73,73,73,2.0809980995155643e-05,0.035136104416908134
ENSG00000180979.9,LRRC57,4.623748080226808,0.7081405599193278,3.7686752998969006e-06,0.02114990581772378,0.047631342372326316,0.007578490854343285,NA,41,41,41,8.318008129292883e-07,0.2881276670478032
ENSG00000008838.19,MED24,4.590145671556598,0.5575021430870706,4.429367737636085e-06,0.00670578379848456,0.12214649786115744,8.902223184855803e-06,NA,8,8,8,2.5319995565313566e-06,0.021543727640431
ENSG00000198646.13,NCOA6,-4.564613469583102,-0.4677120710198668,5.004154826244342e-06,0.007651000210335785,0.1229269304741508,8.678485981253658e-06,NA,27,27,27,3.821998541757476e-06,0.03021976290170046
ENSG00000243678.11,NME2,4.368809953338679,0.20199942260812773,1.2492541896632449e-05,0.04410838292273202,0.28200632090288635,4.994543213222595e-13,NA,60,60,60,2.6150025636935294e-06,0.07382397686655698
ENSG00000163938.16,GNL3,4.3557376592542045,0.34473660440175186,1.3261953621144379e-05,0.013641028724885346,0.12590648088376474,7.086868123296086e-06,NA,29,29,29,4.0120029898057475e-08,0.17021462696068046
ENSG00000147535.16,PLPP5,-4.308789094694091,-0.5922256483138209,1.641508082121744e-05,0.004524756203699376,0.08222413612804969,0.00034122084194694135,NA,22,22,22,1.0699992818409167e-05,0.037569470464315836
ENSG00000135976.17,ANKRD36,-4.103904741918727,-0.4255576247453255,4.062347843828634e-05,0.008715835850389382,0.08854543849014222,0.00021703806514710732,NA,15,16,16,5.9199972399493405e-09,0.0556952663648533
ENSG00000164088.17,PPM1M,4.102296482309236,0.41835749837642305,4.090696258501183e-05,0.009076447282915453,0.06989967339180925,0.0010676791529422947,NA,34,34,34,1.8390010809014013e-08,0.0417530505515943
ENSG00000175115.11,PACS1,4.050409901537933,0.5295174968401618,5.1127993011449077e-05,0.005918012407249773,0.06624678170823227,0.0017492511360621644,NA,16,16,16,8.002002599634389e-06,0.0860252424201192
ENSG00000146250.6,PRSS35,-3.9989126446046845,-0.2885094148242895,6.363415949566881e-05,0.021496386042288304,0.08487823605766616,0.00021198829744535305,NA,19,19,19,2.0540013904700382e-05,0.2630876692947095
ENSG00000187741.14,FANCA,-3.9628089750048825,-0.41318637938511427,7.40730492932766e-05,0.008575807428467601,0.048168689197169635,0.007902328876912152,NA,9,9,9,0.00010739997204346728,0.06628394247058242
ENSG00000130165.10,ELOF1,3.9166182868659662,0.9943042618480399,8.979976433729819e-05,0.0015131681486130139,0.02796602351241809,0.03813976559857684,NA,4,4,4,0.00012079997985172105,0.03342299747975598
ENSG00000114988.11,LMAN2L,-3.899637470920455,-1.3635262125069767,9.633682667459323e-05,0.0008218927923508055,0.038513019252429205,0.013536244243566366,NA,3,3,3,2.081001973314581e-08,0.038730531313368434
ENSG00000143442.21,POGZ,-3.846411445554971,-0.6055773701291126,0.00011986042292500839,0.0040500873547180145,0.06582570046666794,0.0016488752166657196,NA,96,98,98,0.001407000578081855,0.023031667469866658
ENSG00000196653.11,ZNF502,-3.845919631635784,-0.35535878706529345,0.00012010112737254444,0.009785650212399825,0.08419353150814853,0.0002868082693933992,NA,43,44,44,0.0007318999126820967,0.06260148596682512
ENSG00000115073.7,ACTR1B,-3.8074624538421626,-0.5513815719453098,0.00014040004708038156,0.004092041034647737,0.07191657039020685,0.0005882515089119022,NA,1,1,1,0.00014040004708038112,0.1737368499946322
ENSG00000055955.15,ITIH4,-3.7913041470073336,-0.15753366287453271,0.00014985829939038035,0.050793638131607935,0.3418400208428056,2.0198011011880938e-17,NA,21,22,22,1.0879997033979163e-05,0.04357914759969511
ENSG00000120451.10,SNX19,3.780352714606405,0.12212803056866701,0.0001566063411803673,0.08693806249617256,0.3283626441370575,7.238284174083472e-16,NA,61,61,61,0.00025719993248384876,0.1711015110856454
ENSG00000126456.15,IRF3,-3.7788401193040424,-0.3980516054944084,0.00015756054076049704,0.00833761621408374,0.12640771536659876,7.553952628443002e-06,NA,12,12,12,0.001378999793848859,0.0684037372195154
ENSG00000214435.7,AS3MT,3.755860528026478,0.10890048722880963,0.00017274688221675295,0.10462266509814837,0.2997217648653581,6.489100397471583e-14,NA,68,68,68,1.3309993180207807e-05,0.10871024316819393
ENSG00000075131.9,TIPIN,3.7371098949384622,0.08884592289154095,0.000186147578731463,0.17891523360393288,0.3739987048711223,4.861847943044681e-18,NA,61,61,61,0.0015929994257262528,0.18654080463293174
ENSG00000172992.11,DCAKD,3.700086800523008,0.3458845597820604,0.00021552573649591674,0.010385187202980393,0.026770962765697463,0.045670237812907036,NA,14,17,17,3.3069997244753787e-06,0.11305797338279468
ENSG00000088298.12,EDEM2,-3.6934209386672507,-0.27047511569976573,0.00022125732114650827,0.01684938758400285,0.12674230204214587,8.123196649952444e-06,NA,31,31,31,1.634998166861452e-06,0.057146962310125025
ENSG00000122687.17,MRM2,-3.6931691375421054,-0.16271071204896445,0.00022147660991316925,0.04949347237126929,0.25672311622308397,1.4902863564888988e-11,NA,20,20,20,0.0007137002785818655,0.21996965611424715
