gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000163938.16,GNL3,5.769295392152688,0.5493058629738921,7.960366340957276e-09,0.009498209964495111,0.1289691900871899,6.395207486538898e-06,NA,28,28,28,1.8390010809014013e-08,0.057874483138322996
ENSG00000160161.9,CILP2,5.23949216532455,0.24762906229128998,1.6101908195169347e-07,0.03841647395027801,0.24390198437658714,1.236565495153474e-10,NA,45,45,45,1.0739986986400717e-09,0.13538472055062215
ENSG00000226476.3,LINC01748,5.227292373981845,0.6189664750566035,1.7201038545662054e-07,0.006289870742139458,0.046309411254285164,0.009049398260559751,NA,7,7,7,1.2990006864244643e-07,0.025427428856667874
ENSG00000114988.11,LMAN2L,-4.8708240929819775,-0.4727065563993851,1.1113374872953631e-06,0.011483140689173521,0.08162019586516506,0.0002769090244128815,NA,13,13,13,5.9199972399493405e-09,0.17658432079306002
ENSG00000163536.12,SERPINI1,-4.334729143290129,-0.551169007712491,1.4593970108584681e-05,0.0056917191683716565,0.07602271504749393,0.0006479808948877063,NA,14,14,14,2.6169997849108615e-05,0.05784065183502846
ENSG00000204033.9,LRIT2,-4.232282753887904,-0.6268106607171307,2.3133132380251445e-05,0.004414057991017885,0.1280400518946971,1.0369964165508056e-05,NA,8,8,8,4.201004295190772e-05,0.033006346133415784
ENSG00000149485.18,FADS1,-4.225692533598946,-0.436979401720172,2.3820705575462872e-05,0.008416460566419077,0.0938214818812956,0.00019118776364004676,NA,8,8,8,2.2499990714825132e-05,0.046396004848490165
ENSG00000160310.17,PRMT2,-4.142822588927117,-0.6736529776130883,3.430573250003757e-05,0.0036532737478160715,0.07821962557765502,0.0005689606674919419,NA,15,15,15,0.0002618998900801774,0.031421935169950566
ENSG00000008838.19,MED24,4.106475610653387,0.7072963376924467,4.017418588133443e-05,0.003137461392794286,0.041286408117028515,0.015632411348019667,NA,27,27,27,1.2690009354693293e-06,0.03288189191652228
ENSG00000148600.14,CDHR1,-4.06441377208958,-0.28569708394172727,4.8153336356769034e-05,0.017882966519966584,0.3412562179354846,9.31701681438092e-16,NA,48,48,48,4.201004295190772e-05,0.06719300876353547
