gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000114988.11,LMAN2L,-5.581577713733805,-0.5389071386811347,2.3834651143694437e-08,0.009970134107349827,0.21874798861422048,2.10771535220706e-06,NA,9,10,10,5.9199972399493405e-09,0.13088135311563015
ENSG00000174080.10,CTSF,-5.425742024324529,-0.38951208407123206,5.771426684612108e-08,0.018373679015557053,0.05094877559439128,0.029301183012869114,NA,21,22,22,2.226001707420149e-07,0.09761430446818233
ENSG00000163794.6,UCN,5.050512390445699,0.49517512034511085,4.4062652767318107e-07,0.010200312274372552,0.10281686459775843,0.0016185950446649653,NA,21,21,21,9.286998682602599e-06,0.14560647959720804
ENSG00000164088.17,PPM1M,4.164097266005249,0.42049267568306886,3.1258684689506024e-05,0.009031020263378584,0.16005537211521298,5.428880422681786e-05,NA,6,6,6,7.74100420335208e-07,0.06810855600265482
ENSG00000244005.12,NFS1,3.7634043634013485,0.3504745385364312,0.0001676158454815465,0.011614689783066078,0.18539040673825735,1.8639100505394384e-05,NA,40,40,40,1.2829986037162942e-06,0.07845054337279826
ENSG00000105701.15,FKBP8,-3.7265089857234637,-0.3923847510266803,0.00019415015381801987,0.006586508195980625,0.16074887176014066,4.9057913146803446e-05,NA,18,18,18,9.688012687235314e-10,0.13274096253706494
ENSG00000141013.16,GAS8,-3.654381647515868,-0.21449007964622177,0.00025780254908885794,0.02948024068704396,0.21916578457510028,2.0446091380929655e-06,NA,16,16,16,7.372001926418655e-05,0.16189848246736915
ENSG00000225399.4,RP11-3B7.1,-3.579891459938583,-0.30068593382146,0.00034373695502278127,0.011424774222202208,0.08089847858213665,0.0042537490847113545,NA,2,2,2,0.0010350004212333964,0.3361114077114289
ENSG00000131748.15,STARD3,3.555106617443071,0.44972781105828713,0.00037782584887456036,0.006252028895537016,0.0476074003183473,0.0381961991394961,NA,9,9,9,1.6389998890346243e-05,0.06899144637407001
ENSG00000110514.19,MADD,-3.5484463648628775,-0.40093599652292683,0.0003875109107103417,0.009870623195708639,0.1443940120954335,0.0001682326365635517,NA,35,35,35,0.0037449989753827622,0.10815771994583832
ENSG00000120451.10,SNX19,3.5327000473129386,0.08952179773588621,0.00041133888583477334,0.14793675994392602,0.40414094035230347,8.869492526273842e-13,NA,61,61,61,0.0002938001266944208,0.34138277259397004
ENSG00000122687.17,MRM2,-3.5188266411478395,-0.2420927263540203,0.00043345985077343285,0.020761039282747945,0.10206927664671038,0.0011918166331299405,NA,18,18,18,0.0007137002785818655,0.05886966971727312
ENSG00000093167.17,LRRFIP2,3.5167590255831795,0.6780616680023648,0.0004368501859391911,0.002230066484009079,0.07841212793090306,0.005914458395611294,NA,15,15,15,0.0001292999890921703,0.03685777946694699
ENSG00000100196.10,KDELR3,-3.457433562653244,-0.24706934348512555,0.0005453466911923091,0.01982786344311319,0.10577184203029301,0.0010795828171174234,NA,34,34,34,0.0005026999234942006,0.10848199408147308
ENSG00000204540.10,PSORS1C1,3.452359179819994,0.287274857707622,0.0005557074564438275,0.01200713624864529,0.06588168287021108,0.014755814860106409,NA,12,25,25,0.00020920001916761125,0.02840532696736102
ENSG00000174939.10,ASPHD1,-3.450890743688161,-0.5459992868163738,0.0005587397080478293,0.0038631017960533785,0.04762138721146415,0.03430294931328408,NA,18,18,18,0.00017450006388577778,0.017612294442715136
ENSG00000169783.12,LINGO1,-3.3803807664467347,-0.1946842917474311,0.0007238547403690668,0.02704014441448981,0.14724618139550347,3.8480930914302855e-05,NA,40,40,40,1.891998147188144e-05,0.1266971213313281
ENSG00000183250.11,LINC01547,3.354054756528094,0.1114093593223271,0.0007963660200354496,0.08672440779611724,0.22776802904985516,4.3639776360509424e-07,NA,69,69,69,0.003037000637889136,0.2583697961889312
ENSG00000138433.15,CIR1,3.3491724629413753,0.17135596961046112,0.0008105332606764537,0.03984562195683479,0.059786517006625566,0.019112269519124703,NA,40,40,40,0.001541999485858122,0.17328988649101482
ENSG00000160310.17,PRMT2,-3.3060072704843124,-0.33055905367074767,0.00094635632089876,0.010087853178283595,0.05741605336048305,0.022419584690928317,NA,8,8,8,0.0033420006518315045,0.08884046487402059
ENSG00000197958.12,RPL12,3.2930498715263257,0.1750196276948956,0.000991068935473464,0.03578383345540047,0.34073647865691986,5.267994460533851e-10,NA,59,60,60,0.005270001389808366,0.11150710970100476
ENSG00000178209.14,PLEC,-3.289954081628785,-0.2869456846298361,0.0010020373343983088,0.012164278509696503,0.05905940905971485,0.019194636446039973,NA,15,15,15,7.750004138941452e-07,0.06041625809997923
ENSG00000223865.10,HLA-DPB1,3.2848076605991205,0.28581943003900234,0.001020520119805758,0.011138110221087575,0.11620902101985943,0.0005418770959633648,NA,33,81,81,0.0002534000468119601,0.1344571381378065
ENSG00000137338.5,PGBD1,-3.2336646508555305,-0.42750907444295866,0.0012221286670347459,0.0047571203444781735,0.08579286561100975,0.0044824664313404304,NA,35,71,71,0.0007928997555639541,0.10955266149205896
ENSG00000243678.11,NME2,3.2242449014634187,0.36471313647981385,0.0012630533258761601,0.007419085407207296,0.17612922068779793,2.2989629764337216e-05,NA,20,20,20,4.810004516450986e-06,0.06392533357814909
ENSG00000240045.1,RP11-451G4.2,3.216054659771373,0.1924304294303344,0.0012996607555645788,0.026251574718772826,0.10107514908448756,0.001967334628745349,NA,16,16,16,0.004935001437946797,0.10069649602129108
ENSG00000260088.1,RP11-92G12.3,3.194588691261143,0.07561927761479124,0.0014003025147481373,0.14708856617181976,0.5192370217122426,2.394686148331109e-20,NA,25,25,25,0.0013309994614532266,0.06789911599647455
ENSG00000248150.1,LINC02150,-3.185897680040476,-0.1820377159631935,0.0014430562393604497,0.027243381734611893,0.16205257371264534,1.7140735023308106e-05,NA,17,17,17,0.0010810001566846736,0.05850555009934764
ENSG00000242247.10,ARFGAP3,3.1732896870576965,0.37000112465294926,0.0015072205561758004,0.00576456271000936,0.0876696714424768,0.004502461151525637,NA,30,30,30,8.491998335100317e-05,0.04899130930641312
ENSG00000090263.15,MRPS33,3.1298717979695025,0.36864785292828917,0.0017488260800341837,0.007086818915156418,0.1351463478999179,0.0002679425193330248,NA,2,2,2,4.841002346628888e-06,0.21175601688431386
ENSG00000259362.2,RP11-307C19.1,-3.1032420572744743,-0.19269024128357418,0.001914130124286839,0.02277435699779678,0.08293840448513519,0.0054586641654441725,NA,21,21,21,0.00040570009369361807,0.13267944140068685
ENSG00000136444.9,RSAD1,-3.0742483718374025,-0.20193931026426376,0.0021103366084490606,0.025211594340699715,0.13125181352638793,0.0002301051584488288,NA,16,16,16,0.0001418000548491166,0.06272942434154816
ENSG00000204815.9,TTC25,-3.071697790890888,-0.3565234627416088,0.002128450979264298,0.007236556640355642,0.0676156054467409,0.011667608748216157,NA,6,6,6,0.0006437997295647657,0.02554559786012806
ENSG00000214435.7,AS3MT,3.0347134112824805,0.10351693027343843,0.0024076434993979302,0.06109875609648272,0.2478180767294439,4.924822318947577e-08,NA,47,47,47,1.3309993180207807e-05,0.06261846905897503
ENSG00000163354.14,DCST2,-3.021398818250002,-0.10755331985214607,0.0025160971614840103,0.07564874618431378,0.2445159753780637,4.954851294017607e-07,NA,37,37,37,0.0020109995711286594,0.2957405425151585
ENSG00000090861.15,AARS,2.988800049437315,0.5379041005362457,0.0028007535165422287,0.002472532257912785,0.04349419910979024,0.045459168206935116,NA,4,4,4,0.0008783997210845237,0.025487851219204397
ENSG00000164300.16,SERINC5,-2.970483042981164,-0.706984874972253,0.002973318197555033,0.0015307871006357504,0.05443548636429365,0.021363091208034573,NA,5,5,5,0.0009495997763105039,0.03406064421454345
ENSG00000235979.8,AC004448.5,-2.964911543478621,-0.1679063678082248,0.0030276997311504557,0.028010345885265867,0.16036524717373565,5.423828624912058e-05,NA,8,8,8,0.0071909996777720295,0.08063858085888018
ENSG00000106392.10,C1GALT1,2.9491125539821446,0.13800164689323474,0.0031868788842939087,0.03995385936775207,0.2879007160551408,2.2842310434725747e-08,NA,14,14,14,0.0014870000709255712,0.14649987332782494
ENSG00000166140.17,ZFYVE19,2.9456107486587677,0.2861004890030228,0.0032231773743544626,0.01002907086124168,0.08880636761485351,0.001855609571436779,NA,7,7,7,0.0015240000216539375,0.0348271838781359
ENSG00000180357.9,ZNF609,2.9204657154754456,0.3196808578345359,0.0034950865117112082,0.008255814549507341,0.0514416014714483,0.023447295498793343,NA,16,16,16,0.0016830006799970626,0.05323796472123444
ENSG00000260778.5,RP11-304L19.13,-2.90876576777995,-0.17807322835024916,0.003628586125577541,0.028826712814068664,0.0967975217073663,0.002136266253175456,NA,20,20,20,0.011850003953759979,0.12345896747814834
ENSG00000123739.10,PLA2G12A,2.8945920083492997,0.2404568838045855,0.003796516285101456,0.013711818363068513,0.1285820166621277,0.0002687376299674942,NA,20,20,20,0.0003076000441086182,0.1112002397189048
ENSG00000167553.15,TUBA1C,2.8727225931096965,0.2758069180255586,0.0040695128147847206,0.00898584620647083,0.08713055437500758,0.002508493270936305,NA,9,9,9,0.0039049987641554223,0.05426440119598327
ENSG00000184206.11,GOLGA6L4,2.859851127741005,0.09237977038349961,0.004238399236265066,0.08231276916465007,0.14279106109054884,0.00016686109548225275,NA,32,32,32,0.002742999654118919,0.13226180154985304
ENSG00000170502.12,NUDT9,2.836178824536004,0.31967067621765677,0.0045656874031194256,0.008683140497615026,0.07459596402472386,0.0062682845887513,NA,15,15,15,0.0032370010718789756,0.08326479522703029
ENSG00000055955.15,ITIH4,-2.8348374524088427,-0.2099799314181401,0.004584900733293127,0.01261790630412548,0.09973771943257308,0.00043390914133516363,NA,21,22,22,1.4540001308919656e-05,0.014486608445606576
ENSG00000142233.11,NTN5,2.8192065166019886,0.21329250739331815,0.004814253313249007,0.016972476942629943,0.1633545409333145,3.58061110130903e-05,NA,8,8,8,0.003189999247871161,0.05599712424954895
ENSG00000104529.17,EEF1D,-2.8143295575752245,-0.4320302428959224,0.004887909017175309,0.004202773895735169,0.07434299250314573,0.008091200122446568,NA,15,16,16,0.002648999733260259,0.060052157686181315
ENSG00000175161.13,CADM2,2.797749050365253,0.3267129268652174,0.005146007728871941,0.045333488813939046,0.15777264044611586,3.435992456150412e-05,NA,56,56,56,0.008461001769144844,0.22076386399854636
ENSG00000142675.17,CNKSR1,-2.797569874550576,-0.13895747304412193,0.005148862886209992,0.040673755523312725,0.4089888798111907,3.1525962482074313e-13,NA,17,18,18,0.001349999908503813,0.10077346665319734
ENSG00000129422.14,MTUS1,2.7974336737682077,0.18191127729578535,0.00515103419627586,0.022796519983935816,0.2581772564733929,1.5648166249121116e-07,NA,19,19,19,0.00631400152467455,0.07579385705140199
ENSG00000166750.9,SLFN5,-2.7793115673275746,-0.19735866789257697,0.0054474248139736135,0.018154785924801957,0.10020989331296032,0.0014510066385683956,NA,9,9,9,0.004070998953885226,0.05087460810484983
ENSG00000158023.9,WDR66,-2.759420201821771,-0.11303125403667233,0.005790402680443854,0.05423559943231747,0.13079250186385025,0.00038683685393083283,NA,23,23,23,0.004994000612225285,0.15819823992413914
ENSG00000075131.9,TIPIN,2.7507418776693444,0.15596113720939833,0.005946047603658233,0.027130819809686,0.20491695025373566,5.448372561203594e-06,NA,30,30,30,0.0015929994257262528,0.017667038017683198
ENSG00000109270.12,LAMTOR3,2.740885031750378,0.24900187523245065,0.006127394339488925,0.011831370245579415,0.1399686544579966,0.00016008971382999208,NA,20,20,20,0.0010350004212333964,0.03677875926885134
ENSG00000131127.13,ZNF141,-2.7281420505044585,-0.2387088391439258,0.006369217381873615,0.01388123997374478,0.11454651025798886,0.0006267654860286954,NA,8,8,8,0.0021049999592314323,0.20981417095339056
ENSG00000141294.9,LRRC46,2.720818661777005,0.07418676612678861,0.006512047342373669,0.12047088893617591,0.25126069769417186,1.274390013305267e-07,NA,47,47,47,0.0009076000370758807,0.1923197844081613
ENSG00000173540.12,GMPPB,2.6910947672758154,0.07848679767182669,0.0071217961146677585,0.10143045180010282,0.3129361728984565,6.437799353742599e-10,NA,67,68,68,0.002730000045997476,0.2555500418955121
ENSG00000134222.16,PSRC1,-2.6867371771234434,-0.2060255369783311,0.00721537020103467,0.01481934021368998,0.15094813401453105,0.00011244978762731045,NA,24,25,25,0.005521998585999769,0.06746711055393187
ENSG00000186792.16,HYAL3,-2.6704103187382304,-0.17217456183938215,0.0075758606097623615,0.024071447890238237,0.2091056133051987,1.6476645942936394e-06,NA,8,8,8,0.00046400012963990325,0.12126218817656395
ENSG00000223496.2,EXOSC6,-2.668706849337488,-0.08870241902963609,0.00761438764256659,0.07152305291634292,0.4407966316237667,1.048842628848545e-13,NA,15,15,15,0.0031500001135151795,0.07851394112459001
ENSG00000105875.13,WDR91,-2.6635529449539694,-0.30747318864520473,0.007732024327407038,0.007361023474031624,0.12326364695421126,0.0003700747991612048,NA,14,14,14,0.0054109983075799764,0.0764491872056048
ENSG00000129933.20,MAU2,2.657489959647181,0.5343773265725762,0.007872493540501568,0.002573491197738341,0.05263291235745774,0.0275093867786476,NA,7,7,7,0.02395999865075235,0.06998625462842048
ENSG00000143575.14,HAX1,2.653888940811157,0.5664616323045403,0.00795700108243528,0.0023193858028922967,0.10161580165667962,0.0014219127713461632,NA,1,1,1,0.007957001082435263,0.07026368532853874
