label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.703185655607788
caudalanteriorcingulate	L	cortex	7.5789390114611495
caudalmiddlefrontal	L	cortex	7.613639719898644
cuneus	L	cortex	7.859474307053779
entorhinal	L	cortex	7.5209579927937025
fusiform	L	cortex	7.635605146861508
inferiorparietal	L	cortex	7.72599086238442
inferiortemporal	L	cortex	7.613328606616068
isthmuscingulate	L	cortex	7.723516336306743
lateraloccipital	L	cortex	7.89108858892643
lateralorbitofrontal	L	cortex	7.570893229402342
lingual	L	cortex	7.888683777969087
medialorbitofrontal	L	cortex	7.58938853244765
middletemporal	L	cortex	7.676589781372548
parahippocampal	L	cortex	7.524222756004318
paracentral	L	cortex	7.655231867696019
parsopercularis	L	cortex	7.61800531276171
parsorbitalis	L	cortex	7.6100439688527635
parstriangularis	L	cortex	7.642545998046281
pericalcarine	L	cortex	7.9760236149705594
postcentral	L	cortex	7.8014664886838405
posteriorcingulate	L	cortex	7.639240727608395
precentral	L	cortex	7.685332858852878
precuneus	L	cortex	7.752648736418662
rostralanteriorcingulate	L	cortex	7.680676769782388
rostralmiddlefrontal	L	cortex	7.633486147951762
superiorfrontal	L	cortex	7.606439670231132
superiorparietal	L	cortex	7.727888196892068
superiortemporal	L	cortex	7.663605628508589
supramarginal	L	cortex	7.709602076734017
frontalpole	L	cortex	7.432831397496831
temporalpole	L	cortex	7.4062144406684
transversetemporal	L	cortex	7.815484478611614
insula	L	cortex	7.61313264991132
thalamusproper	L	subcortex/brainstem	7.591892792262836
caudate	L	subcortex/brainstem	7.6821020499548185
putamen	L	subcortex/brainstem	7.602053593700051
pallidum	L	subcortex/brainstem	7.625955410806527
accumbensarea	L	subcortex/brainstem	7.469404173334192
hippocampus	L	subcortex/brainstem	7.404152052901668
amygdala	L	subcortex/brainstem	7.3997790673844115
bankssts	R	cortex	7.705992250971266
caudalanteriorcingulate	R	cortex	7.581065342397729
caudalmiddlefrontal	R	cortex	7.611460086874479
cuneus	R	cortex	7.8685179792850475
entorhinal	R	cortex	7.540590757901237
fusiform	R	cortex	7.626436134576318
inferiorparietal	R	cortex	7.732900730240373
inferiortemporal	R	cortex	7.609171363901461
isthmuscingulate	R	cortex	7.71159551249572
lateraloccipital	R	cortex	7.9166748630575885
lateralorbitofrontal	R	cortex	7.575221021936831
lingual	R	cortex	7.881919647692673
medialorbitofrontal	R	cortex	7.6186034254771196
middletemporal	R	cortex	7.673120681820141
parahippocampal	R	cortex	7.55715310556353
paracentral	R	cortex	7.638935350126008
parsopercularis	R	cortex	7.591619545179562
parsorbitalis	R	cortex	7.576215107799174
parstriangularis	R	cortex	7.677597480893464
pericalcarine	R	cortex	7.986770698840243
postcentral	R	cortex	7.802251504950522
posteriorcingulate	R	cortex	7.655911581903384
precentral	R	cortex	7.679251588203734
precuneus	R	cortex	7.753279793025427
rostralanteriorcingulate	R	cortex	7.494151368823249
rostralmiddlefrontal	R	cortex	7.633397047179428
superiorfrontal	R	cortex	7.608902463077836
superiorparietal	R	cortex	7.72471514248272
superiortemporal	R	cortex	7.665200007186555
supramarginal	R	cortex	7.699248114882036
frontalpole	R	cortex	7.580246165610312
temporalpole	R	cortex	7.399211093735536
transversetemporal	R	cortex	7.823988231321487
insula	R	cortex	7.601746346572749
thalamusproper	R	subcortex/brainstem	7.606023171053849
caudate	R	subcortex/brainstem	7.634427377286829
putamen	R	subcortex/brainstem	7.563830670612952
pallidum	R	subcortex/brainstem	7.6257919257261175
accumbensarea	R	subcortex/brainstem	7.482195799244145
hippocampus	R	subcortex/brainstem	7.408373310300166
amygdala	R	subcortex/brainstem	7.456930827356006
brainstem	B	subcortex/brainstem	7.615176485210081
