label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.975769514595124
caudalanteriorcingulate	L	cortex	6.907251779136498
caudalmiddlefrontal	L	cortex	6.930139683109502
cuneus	L	cortex	7.035049898858801
entorhinal	L	cortex	6.920106635131627
fusiform	L	cortex	6.949378284930316
inferiorparietal	L	cortex	7.002134885580048
inferiortemporal	L	cortex	6.945551078308315
isthmuscingulate	L	cortex	6.988185214423906
lateraloccipital	L	cortex	7.078523311747276
lateralorbitofrontal	L	cortex	6.9007454518344655
lingual	L	cortex	7.063716053899048
medialorbitofrontal	L	cortex	6.926376342367664
middletemporal	L	cortex	6.984421811299677
parahippocampal	L	cortex	6.896729996759598
paracentral	L	cortex	6.909025347029689
parsopercularis	L	cortex	6.924057505464807
parsorbitalis	L	cortex	6.911465840462284
parstriangularis	L	cortex	6.946943544830763
pericalcarine	L	cortex	7.086343865066631
postcentral	L	cortex	7.019121394431348
posteriorcingulate	L	cortex	6.946043859305296
precentral	L	cortex	6.935472162410985
precuneus	L	cortex	6.996915219930901
rostralanteriorcingulate	L	cortex	6.984397437493466
rostralmiddlefrontal	L	cortex	6.935597116639947
superiorfrontal	L	cortex	6.921602039428763
superiorparietal	L	cortex	6.994320371357832
superiortemporal	L	cortex	6.9568023859036305
supramarginal	L	cortex	7.002245191485076
frontalpole	L	cortex	6.821277598458489
temporalpole	L	cortex	6.808296808891433
transversetemporal	L	cortex	7.020553034518308
insula	L	cortex	6.946727841072985
thalamusproper	L	subcortex/brainstem	6.974337854504169
caudate	L	subcortex/brainstem	6.9481719454694835
putamen	L	subcortex/brainstem	6.878581569695516
pallidum	L	subcortex/brainstem	6.893647841553867
accumbensarea	L	subcortex/brainstem	6.786643928117811
hippocampus	L	subcortex/brainstem	6.745605972818182
amygdala	L	subcortex/brainstem	6.698358361176376
bankssts	R	cortex	6.99475983349161
caudalanteriorcingulate	R	cortex	6.909203490137996
caudalmiddlefrontal	R	cortex	6.929879099448893
cuneus	R	cortex	7.040350595263866
entorhinal	R	cortex	6.936139338908901
fusiform	R	cortex	6.940097209947816
inferiorparietal	R	cortex	7.003813860974619
inferiortemporal	R	cortex	6.940169990924975
isthmuscingulate	R	cortex	6.987884183283778
lateraloccipital	R	cortex	7.0982309675833
lateralorbitofrontal	R	cortex	6.903234620777341
lingual	R	cortex	7.056626455435756
medialorbitofrontal	R	cortex	6.945326690690499
middletemporal	R	cortex	6.9843124933494085
parahippocampal	R	cortex	6.910714134986953
paracentral	R	cortex	6.904545315071926
parsopercularis	R	cortex	6.9111718009024745
parsorbitalis	R	cortex	6.901322818739706
parstriangularis	R	cortex	6.9785278326312605
pericalcarine	R	cortex	7.100578570316495
postcentral	R	cortex	7.017872694014902
posteriorcingulate	R	cortex	6.962672094643351
precentral	R	cortex	6.931560925596572
precuneus	R	cortex	6.99747565965758
rostralanteriorcingulate	R	cortex	6.857947749202201
rostralmiddlefrontal	R	cortex	6.93335186170843
superiorfrontal	R	cortex	6.9245378866807314
superiorparietal	R	cortex	6.9915352468647995
superiortemporal	R	cortex	6.955949046817699
supramarginal	R	cortex	6.986913339942187
frontalpole	R	cortex	6.871404465462947
temporalpole	R	cortex	6.803663446457977
transversetemporal	R	cortex	7.025160004847878
insula	R	cortex	6.940440668118436
thalamusproper	R	subcortex/brainstem	6.987881754780386
caudate	R	subcortex/brainstem	6.921944536030864
putamen	R	subcortex/brainstem	6.845336349475407
pallidum	R	subcortex/brainstem	6.8900723792480445
accumbensarea	R	subcortex/brainstem	6.805471643785563
hippocampus	R	subcortex/brainstem	6.744043422153109
amygdala	R	subcortex/brainstem	6.76507716672981
brainstem	B	subcortex/brainstem	6.844693176320454
