label	hemisphere	structure	weighted_avg
bankssts	L	cortex	3.7862077639995513
caudalanteriorcingulate	L	cortex	4.058076386708172
caudalmiddlefrontal	L	cortex	3.8455932234178256
cuneus	L	cortex	4.159320451166989
entorhinal	L	cortex	3.8336039430899023
fusiform	L	cortex	3.7546536733250613
inferiorparietal	L	cortex	3.7699997016554985
inferiortemporal	L	cortex	3.6258323755722865
isthmuscingulate	L	cortex	3.9182037438505497
lateraloccipital	L	cortex	4.067250968291995
lateralorbitofrontal	L	cortex	3.447725267572084
lingual	L	cortex	4.186708552690547
medialorbitofrontal	L	cortex	3.5688106088844855
middletemporal	L	cortex	3.6166845913208086
parahippocampal	L	cortex	3.727435317009942
paracentral	L	cortex	4.183355748637269
parsopercularis	L	cortex	3.642448585157013
parsorbitalis	L	cortex	3.4160322304344923
parstriangularis	L	cortex	3.589045061268776
pericalcarine	L	cortex	4.586484560174632
postcentral	L	cortex	4.205307776514611
posteriorcingulate	L	cortex	4.007593545788333
precentral	L	cortex	4.071014846234941
precuneus	L	cortex	3.8171541014838186
rostralanteriorcingulate	L	cortex	4.081377961744056
rostralmiddlefrontal	L	cortex	3.6753831632580938
superiorfrontal	L	cortex	3.708836118080723
superiorparietal	L	cortex	3.822937579845574
superiortemporal	L	cortex	3.585095766434296
supramarginal	L	cortex	3.8383318698196063
frontalpole	L	cortex	2.8861544487812405
temporalpole	L	cortex	4.001134725776755
transversetemporal	L	cortex	3.801345888356655
insula	L	cortex	3.735252252203111
thalamusproper	L	subcortex/brainstem	2.9667498307175877
caudate	L	subcortex/brainstem	3.8766054985922698
putamen	L	subcortex/brainstem	3.3394597734158604
pallidum	L	subcortex/brainstem	3.0991177216395056
accumbensarea	L	subcortex/brainstem	2.850896573606223
hippocampus	L	subcortex/brainstem	3.4107253538080315
amygdala	L	subcortex/brainstem	3.030736197386005
bankssts	R	cortex	3.7773449141323083
caudalanteriorcingulate	R	cortex	4.0951196636955185
caudalmiddlefrontal	R	cortex	3.8824120069737122
cuneus	R	cortex	4.152331329328004
entorhinal	R	cortex	3.904061459259577
fusiform	R	cortex	3.756542262224542
inferiorparietal	R	cortex	3.770366725091302
inferiortemporal	R	cortex	3.6267797793337784
isthmuscingulate	R	cortex	4.00619082682839
lateraloccipital	R	cortex	4.125109479713106
lateralorbitofrontal	R	cortex	3.4775244907365255
lingual	R	cortex	4.1809644187931765
medialorbitofrontal	R	cortex	3.6509390575029417
middletemporal	R	cortex	3.612285071761803
parahippocampal	R	cortex	3.707023174313892
paracentral	R	cortex	4.15028580009988
parsopercularis	R	cortex	3.649032241971044
parsorbitalis	R	cortex	3.406551088671923
parstriangularis	R	cortex	3.670457339358708
pericalcarine	R	cortex	4.533387750818981
postcentral	R	cortex	4.191016173767706
posteriorcingulate	R	cortex	3.961398670978564
precentral	R	cortex	4.0685412959156215
precuneus	R	cortex	3.823174466121913
rostralanteriorcingulate	R	cortex	4.044283990895418
rostralmiddlefrontal	R	cortex	3.6527537893858035
superiorfrontal	R	cortex	3.697978032258303
superiorparietal	R	cortex	3.829352424336554
superiortemporal	R	cortex	3.5734539425136216
supramarginal	R	cortex	3.866642656877199
frontalpole	R	cortex	3.14616511408782
temporalpole	R	cortex	3.8737697219368497
transversetemporal	R	cortex	3.878884563654965
insula	R	cortex	3.723980586749142
thalamusproper	R	subcortex/brainstem	2.9241369066033944
caudate	R	subcortex/brainstem	3.778952918461435
putamen	R	subcortex/brainstem	3.3100659032592383
pallidum	R	subcortex/brainstem	3.115832282492912
accumbensarea	R	subcortex/brainstem	3.113423371490285
hippocampus	R	subcortex/brainstem	3.4374147101396595
amygdala	R	subcortex/brainstem	3.138655949352252
brainstem	B	subcortex/brainstem	2.780426371435654
