label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.351822551361605
caudalanteriorcingulate	L	cortex	6.4555882318811975
caudalmiddlefrontal	L	cortex	6.332004025503909
cuneus	L	cortex	6.303266965868201
entorhinal	L	cortex	6.495850198033997
fusiform	L	cortex	6.375435589600782
inferiorparietal	L	cortex	6.3450264713469915
inferiortemporal	L	cortex	6.37131568362514
isthmuscingulate	L	cortex	6.4052894001991305
lateraloccipital	L	cortex	6.3950067019367935
lateralorbitofrontal	L	cortex	6.337275718785138
lingual	L	cortex	6.369538102014124
medialorbitofrontal	L	cortex	6.369693535992539
middletemporal	L	cortex	6.406242862241178
parahippocampal	L	cortex	6.368921180223971
paracentral	L	cortex	6.329525322600674
parsopercularis	L	cortex	6.344130902631989
parsorbitalis	L	cortex	6.331692852946813
parstriangularis	L	cortex	6.360196495561412
pericalcarine	L	cortex	6.37089291307832
postcentral	L	cortex	6.368429520723995
posteriorcingulate	L	cortex	6.402708567423777
precentral	L	cortex	6.349710852981634
precuneus	L	cortex	6.360811246432199
rostralanteriorcingulate	L	cortex	6.477319811273912
rostralmiddlefrontal	L	cortex	6.330588449994299
superiorfrontal	L	cortex	6.35057687354243
superiorparietal	L	cortex	6.324749021042096
superiortemporal	L	cortex	6.380530395146458
supramarginal	L	cortex	6.404474787141754
frontalpole	L	cortex	6.237127906120294
temporalpole	L	cortex	6.375623072139123
transversetemporal	L	cortex	6.377273820555542
insula	L	cortex	6.398528866301769
thalamusproper	L	subcortex/brainstem	6.411647702621034
caudate	L	subcortex/brainstem	6.295120722294655
putamen	L	subcortex/brainstem	6.348167477309504
pallidum	L	subcortex/brainstem	6.36424729701896
accumbensarea	L	subcortex/brainstem	6.212772919721584
hippocampus	L	subcortex/brainstem	6.29731163243364
amygdala	L	subcortex/brainstem	6.32804410312977
bankssts	R	cortex	6.385240803700267
caudalanteriorcingulate	R	cortex	6.458854047909048
caudalmiddlefrontal	R	cortex	6.333970180396931
cuneus	R	cortex	6.307829780643259
entorhinal	R	cortex	6.514936486194969
fusiform	R	cortex	6.369667731808015
inferiorparietal	R	cortex	6.345265383608847
inferiortemporal	R	cortex	6.371652211084772
isthmuscingulate	R	cortex	6.407568482018106
lateraloccipital	R	cortex	6.406756118788789
lateralorbitofrontal	R	cortex	6.338374100655698
lingual	R	cortex	6.3645801655506755
medialorbitofrontal	R	cortex	6.389788225696818
middletemporal	R	cortex	6.403229144769198
parahippocampal	R	cortex	6.3715776114543665
paracentral	R	cortex	6.32694709139726
parsopercularis	R	cortex	6.339051317960828
parsorbitalis	R	cortex	6.322530622352377
parstriangularis	R	cortex	6.3901509990752565
pericalcarine	R	cortex	6.367277623403708
postcentral	R	cortex	6.369888772994384
posteriorcingulate	R	cortex	6.417699670643241
precentral	R	cortex	6.347633788598799
precuneus	R	cortex	6.361276352620669
rostralanteriorcingulate	R	cortex	6.404912771014555
rostralmiddlefrontal	R	cortex	6.327658281466665
superiorfrontal	R	cortex	6.349524177648707
superiorparietal	R	cortex	6.325080068943529
superiortemporal	R	cortex	6.3754059200415005
supramarginal	R	cortex	6.3854474808755235
frontalpole	R	cortex	6.3063538545433975
temporalpole	R	cortex	6.373246371854257
transversetemporal	R	cortex	6.384598512387776
insula	R	cortex	6.391332284983881
thalamusproper	R	subcortex/brainstem	6.424769250919845
caudate	R	subcortex/brainstem	6.285512028250101
putamen	R	subcortex/brainstem	6.315023496397719
pallidum	R	subcortex/brainstem	6.365797646283568
accumbensarea	R	subcortex/brainstem	6.240693229338177
hippocampus	R	subcortex/brainstem	6.296361477112314
amygdala	R	subcortex/brainstem	6.380217459489776
brainstem	B	subcortex/brainstem	6.333682451021299
