label	hemisphere	structure	weighted_avg
bankssts	L	cortex	8.405720794651701
caudalanteriorcingulate	L	cortex	8.182866311901412
caudalmiddlefrontal	L	cortex	8.323782859790512
cuneus	L	cortex	8.739689807168213
entorhinal	L	cortex	7.932323830714924
fusiform	L	cortex	8.469518541717393
inferiorparietal	L	cortex	8.510991241009732
inferiortemporal	L	cortex	8.373415312996755
isthmuscingulate	L	cortex	8.330551673723221
lateraloccipital	L	cortex	8.714150518268475
lateralorbitofrontal	L	cortex	8.53085493252099
lingual	L	cortex	8.833998484141107
medialorbitofrontal	L	cortex	8.583676071493217
middletemporal	L	cortex	8.41090123983741
parahippocampal	L	cortex	8.285500333594428
paracentral	L	cortex	8.26653856390149
parsopercularis	L	cortex	8.408320806885472
parsorbitalis	L	cortex	8.417798006366676
parstriangularis	L	cortex	8.529429530835918
pericalcarine	L	cortex	9.00980408936588
postcentral	L	cortex	8.586207082082836
posteriorcingulate	L	cortex	8.349143809870908
precentral	L	cortex	8.254732835630806
precuneus	L	cortex	8.540551460202558
rostralanteriorcingulate	L	cortex	8.546806299689857
rostralmiddlefrontal	L	cortex	8.429123310810612
superiorfrontal	L	cortex	8.354393043630326
superiorparietal	L	cortex	8.491728286007044
superiortemporal	L	cortex	8.57084729771673
supramarginal	L	cortex	8.462236049098792
frontalpole	L	cortex	8.18152100829401
temporalpole	L	cortex	8.172774713552249
transversetemporal	L	cortex	8.720489931752269
insula	L	cortex	8.538186823345791
thalamusproper	L	subcortex/brainstem	6.490729020985792
caudate	L	subcortex/brainstem	7.419740026632398
putamen	L	subcortex/brainstem	7.194343095699644
pallidum	L	subcortex/brainstem	6.973291466068081
accumbensarea	L	subcortex/brainstem	7.632778871182155
hippocampus	L	subcortex/brainstem	7.719827637214869
amygdala	L	subcortex/brainstem	8.027295289050953
bankssts	R	cortex	8.285302512848977
caudalanteriorcingulate	R	cortex	8.180404968180051
caudalmiddlefrontal	R	cortex	8.313129408421112
cuneus	R	cortex	8.75813616033362
entorhinal	R	cortex	7.910449409104356
fusiform	R	cortex	8.491514968613075
inferiorparietal	R	cortex	8.51034848700386
inferiortemporal	R	cortex	8.37780032634966
isthmuscingulate	R	cortex	8.311151446996424
lateraloccipital	R	cortex	8.747842049180381
lateralorbitofrontal	R	cortex	8.524807321653856
lingual	R	cortex	8.826946368170843
medialorbitofrontal	R	cortex	8.601037127210263
middletemporal	R	cortex	8.409023599387721
parahippocampal	R	cortex	8.31146516053847
paracentral	R	cortex	8.262767837422379
parsopercularis	R	cortex	8.4984435720344
parsorbitalis	R	cortex	8.430406992826958
parstriangularis	R	cortex	8.536807150097852
pericalcarine	R	cortex	9.004310941212767
postcentral	R	cortex	8.573444663225745
posteriorcingulate	R	cortex	8.368720069633182
precentral	R	cortex	8.24332808173328
precuneus	R	cortex	8.546562926988871
rostralanteriorcingulate	R	cortex	8.158674919930732
rostralmiddlefrontal	R	cortex	8.429590207455952
superiorfrontal	R	cortex	8.366459971171757
superiorparietal	R	cortex	8.491282546554874
superiortemporal	R	cortex	8.58024186709344
supramarginal	R	cortex	8.483506860511989
frontalpole	R	cortex	7.932009327847462
temporalpole	R	cortex	8.18488256940844
transversetemporal	R	cortex	8.715528727062518
insula	R	cortex	8.505668900433092
thalamusproper	R	subcortex/brainstem	6.4766638406057755
caudate	R	subcortex/brainstem	7.401765841417462
putamen	R	subcortex/brainstem	7.228733694570153
pallidum	R	subcortex/brainstem	7.001450122548561
accumbensarea	R	subcortex/brainstem	7.504747851470957
hippocampus	R	subcortex/brainstem	7.733179873500197
amygdala	R	subcortex/brainstem	8.020951863510913
brainstem	B	subcortex/brainstem	7.083341831533019
