label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.720656295015037
caudalanteriorcingulate	L	cortex	7.5806273643076905
caudalmiddlefrontal	L	cortex	7.738374257072338
cuneus	L	cortex	7.921234984090071
entorhinal	L	cortex	7.603653735991651
fusiform	L	cortex	7.70610497636968
inferiorparietal	L	cortex	7.800003921934277
inferiortemporal	L	cortex	7.691808446033732
isthmuscingulate	L	cortex	7.74729864564547
lateraloccipital	L	cortex	7.932073533382253
lateralorbitofrontal	L	cortex	7.690008287495333
lingual	L	cortex	7.910593917616229
medialorbitofrontal	L	cortex	7.7124261003041585
middletemporal	L	cortex	7.71048691534415
parahippocampal	L	cortex	7.65228436179878
paracentral	L	cortex	7.6898795003084786
parsopercularis	L	cortex	7.701732028613632
parsorbitalis	L	cortex	7.6560740851992515
parstriangularis	L	cortex	7.71156435244423
pericalcarine	L	cortex	7.956313023327271
postcentral	L	cortex	7.8039557976714375
posteriorcingulate	L	cortex	7.707465818058888
precentral	L	cortex	7.723545106870998
precuneus	L	cortex	7.827293211959093
rostralanteriorcingulate	L	cortex	7.725988252927928
rostralmiddlefrontal	L	cortex	7.727800027436463
superiorfrontal	L	cortex	7.709921217049258
superiorparietal	L	cortex	7.80375926956237
superiortemporal	L	cortex	7.712729854760213
supramarginal	L	cortex	7.7713383879096085
frontalpole	L	cortex	7.585668063077156
temporalpole	L	cortex	7.537497229962537
transversetemporal	L	cortex	7.795950884464245
insula	L	cortex	7.728711235074791
thalamusproper	L	subcortex/brainstem	7.525619425776673
caudate	L	subcortex/brainstem	7.74070169830666
putamen	L	subcortex/brainstem	7.590048686602435
pallidum	L	subcortex/brainstem	7.434227385604505
accumbensarea	L	subcortex/brainstem	7.5696834772583355
hippocampus	L	subcortex/brainstem	7.708760794139335
amygdala	L	subcortex/brainstem	7.5946233039495326
bankssts	R	cortex	7.72571621578884
caudalanteriorcingulate	R	cortex	7.5786286735874295
caudalmiddlefrontal	R	cortex	7.734075322076609
cuneus	R	cortex	7.9154964778846875
entorhinal	R	cortex	7.602911988118208
fusiform	R	cortex	7.703015964650026
inferiorparietal	R	cortex	7.798075722638576
inferiortemporal	R	cortex	7.685863964428498
isthmuscingulate	R	cortex	7.761842856483246
lateraloccipital	R	cortex	7.953841357651092
lateralorbitofrontal	R	cortex	7.692300781070352
lingual	R	cortex	7.9033286747837375
medialorbitofrontal	R	cortex	7.7219143100649434
middletemporal	R	cortex	7.714792319212054
parahippocampal	R	cortex	7.641398264932879
paracentral	R	cortex	7.684534739010981
parsopercularis	R	cortex	7.708785655751176
parsorbitalis	R	cortex	7.650094713331088
parstriangularis	R	cortex	7.728261789165244
pericalcarine	R	cortex	7.964407910886594
postcentral	R	cortex	7.798693243242339
posteriorcingulate	R	cortex	7.731734386792442
precentral	R	cortex	7.718030772286957
precuneus	R	cortex	7.827434611983415
rostralanteriorcingulate	R	cortex	7.611964697784215
rostralmiddlefrontal	R	cortex	7.73283174796717
superiorfrontal	R	cortex	7.713727062092237
superiorparietal	R	cortex	7.8041150406300215
superiortemporal	R	cortex	7.717591396255193
supramarginal	R	cortex	7.7587222861805065
frontalpole	R	cortex	7.383755695422549
temporalpole	R	cortex	7.527670328545131
transversetemporal	R	cortex	7.791028797364929
insula	R	cortex	7.71870468362292
thalamusproper	R	subcortex/brainstem	7.525848982241385
caudate	R	subcortex/brainstem	7.695127495464559
putamen	R	subcortex/brainstem	7.565852071554514
pallidum	R	subcortex/brainstem	7.445071838198482
accumbensarea	R	subcortex/brainstem	7.578720190290596
hippocampus	R	subcortex/brainstem	7.705760573099108
amygdala	R	subcortex/brainstem	7.664149120889806
brainstem	B	subcortex/brainstem	7.599750163492116
