label	hemisphere	structure	weighted_avg
bankssts	L	cortex	15.663778719821739
caudalanteriorcingulate	L	cortex	14.24190767525202
caudalmiddlefrontal	L	cortex	16.445367046512292
cuneus	L	cortex	17.51972981575929
entorhinal	L	cortex	14.647794759035609
fusiform	L	cortex	16.275603004955677
inferiorparietal	L	cortex	16.93284507470952
inferiortemporal	L	cortex	16.158916304539172
isthmuscingulate	L	cortex	15.952131972244207
lateraloccipital	L	cortex	17.002911620653087
lateralorbitofrontal	L	cortex	16.538015158429193
lingual	L	cortex	17.237502668310103
medialorbitofrontal	L	cortex	16.687235601527036
middletemporal	L	cortex	15.614342630958756
parahippocampal	L	cortex	16.384627592359546
paracentral	L	cortex	16.241192136648564
parsopercularis	L	cortex	16.509967716804315
parsorbitalis	L	cortex	15.939524635278499
parstriangularis	L	cortex	16.58155609589579
pericalcarine	L	cortex	17.630499749726983
postcentral	L	cortex	16.15877066097333
posteriorcingulate	L	cortex	16.087667442336784
precentral	L	cortex	15.953314596838464
precuneus	L	cortex	16.890615294617493
rostralanteriorcingulate	L	cortex	15.982010572339892
rostralmiddlefrontal	L	cortex	16.405972370833236
superiorfrontal	L	cortex	16.201344821070474
superiorparietal	L	cortex	16.867012658816996
superiortemporal	L	cortex	16.163545573041258
supramarginal	L	cortex	16.546581094237418
frontalpole	L	cortex	15.697893343724171
temporalpole	L	cortex	15.725718544188048
transversetemporal	L	cortex	15.832317178016652
insula	L	cortex	16.62983814579862
thalamusproper	L	subcortex/brainstem	12.866487914637702
caudate	L	subcortex/brainstem	13.959210831662233
putamen	L	subcortex/brainstem	13.379429943628825
pallidum	L	subcortex/brainstem	10.509381991363101
accumbensarea	L	subcortex/brainstem	16.859799688458143
hippocampus	L	subcortex/brainstem	18.759997155754785
amygdala	L	subcortex/brainstem	17.648554975060836
bankssts	R	cortex	15.133538283505432
caudalanteriorcingulate	R	cortex	14.181485182868778
caudalmiddlefrontal	R	cortex	16.403124697694142
cuneus	R	cortex	17.454076342705438
entorhinal	R	cortex	14.294568177846134
fusiform	R	cortex	16.347984911758875
inferiorparietal	R	cortex	16.75897287106529
inferiortemporal	R	cortex	16.13543099866821
isthmuscingulate	R	cortex	16.10633053961568
lateraloccipital	R	cortex	17.043375263251114
lateralorbitofrontal	R	cortex	16.544376425666993
lingual	R	cortex	17.23683484903133
medialorbitofrontal	R	cortex	16.497329182429546
middletemporal	R	cortex	15.734643087399249
parahippocampal	R	cortex	16.078055915085457
paracentral	R	cortex	16.34561891600723
parsopercularis	R	cortex	16.888854533368757
parsorbitalis	R	cortex	16.254844792547726
parstriangularis	R	cortex	16.325679796646682
pericalcarine	R	cortex	17.48207141345584
postcentral	R	cortex	16.096524069874594
posteriorcingulate	R	cortex	16.164716455570648
precentral	R	cortex	15.964992996403549
precuneus	R	cortex	16.899966785256012
rostralanteriorcingulate	R	cortex	16.128845317212537
rostralmiddlefrontal	R	cortex	16.453862735391652
superiorfrontal	R	cortex	16.187228474494976
superiorparietal	R	cortex	16.90514882288342
superiortemporal	R	cortex	16.21119569622742
supramarginal	R	cortex	16.57235391961818
frontalpole	R	cortex	10.327772667332747
temporalpole	R	cortex	15.667785067203933
transversetemporal	R	cortex	15.67877934184843
insula	R	cortex	16.553823858277198
thalamusproper	R	subcortex/brainstem	12.6361647905785
caudate	R	subcortex/brainstem	14.153150444476267
putamen	R	subcortex/brainstem	13.533461402850184
pallidum	R	subcortex/brainstem	10.558595374114615
accumbensarea	R	subcortex/brainstem	16.151820066604586
hippocampus	R	subcortex/brainstem	18.730129669435314
amygdala	R	subcortex/brainstem	17.807230209179618
brainstem	B	subcortex/brainstem	15.921914637778873
