label	hemisphere	structure	weighted_avg
bankssts	L	cortex	32.324069864726106
caudalanteriorcingulate	L	cortex	29.309639412211226
caudalmiddlefrontal	L	cortex	32.58127699795132
cuneus	L	cortex	33.89689995621667
entorhinal	L	cortex	26.685297227154848
fusiform	L	cortex	30.68724102590631
inferiorparietal	L	cortex	33.315823399351
inferiortemporal	L	cortex	30.870074876824226
isthmuscingulate	L	cortex	31.986227966236257
lateraloccipital	L	cortex	32.233746532720296
lateralorbitofrontal	L	cortex	31.417621304942312
lingual	L	cortex	32.32833414129742
medialorbitofrontal	L	cortex	31.44361241617122
middletemporal	L	cortex	31.254922261070018
parahippocampal	L	cortex	29.430605247260505
paracentral	L	cortex	32.89526164041151
parsopercularis	L	cortex	32.90174769322404
parsorbitalis	L	cortex	31.156510783751898
parstriangularis	L	cortex	32.11860304725833
pericalcarine	L	cortex	31.829960069756726
postcentral	L	cortex	33.388854186443254
posteriorcingulate	L	cortex	31.66442372232436
precentral	L	cortex	33.542431721523286
precuneus	L	cortex	32.81604202834666
rostralanteriorcingulate	L	cortex	30.079851347039575
rostralmiddlefrontal	L	cortex	32.02719620024671
superiorfrontal	L	cortex	32.62579672392307
superiorparietal	L	cortex	33.93935238334077
superiortemporal	L	cortex	31.18980441877721
supramarginal	L	cortex	32.65688194519449
frontalpole	L	cortex	32.3547282663481
temporalpole	L	cortex	28.379889235229978
transversetemporal	L	cortex	32.06297028805627
insula	L	cortex	30.202697328276344
thalamusproper	L	subcortex/brainstem	25.444045874712234
caudate	L	subcortex/brainstem	29.248530420562112
putamen	L	subcortex/brainstem	28.943847497262226
pallidum	L	subcortex/brainstem	26.91910164549339
accumbensarea	L	subcortex/brainstem	28.681323048078482
hippocampus	L	subcortex/brainstem	26.984293262735036
amygdala	L	subcortex/brainstem	26.986472866112855
bankssts	R	cortex	31.671038403151158
caudalanteriorcingulate	R	cortex	29.366936878526932
caudalmiddlefrontal	R	cortex	32.54598612472905
cuneus	R	cortex	33.698391452342804
entorhinal	R	cortex	26.637240677393784
fusiform	R	cortex	30.76334073741386
inferiorparietal	R	cortex	33.23919754417257
inferiortemporal	R	cortex	30.723857024828156
isthmuscingulate	R	cortex	31.572910873312797
lateraloccipital	R	cortex	32.413569637387425
lateralorbitofrontal	R	cortex	31.40087670082567
lingual	R	cortex	32.341035904793685
medialorbitofrontal	R	cortex	31.217080342177972
middletemporal	R	cortex	31.327781375112608
parahippocampal	R	cortex	29.42623127119238
paracentral	R	cortex	32.952432066952554
parsopercularis	R	cortex	32.79232518463579
parsorbitalis	R	cortex	31.248533408679165
parstriangularis	R	cortex	32.12889545080792
pericalcarine	R	cortex	31.84556402021546
postcentral	R	cortex	33.32458744230669
posteriorcingulate	R	cortex	31.674114572336634
precentral	R	cortex	33.57880821161531
precuneus	R	cortex	32.80748929054576
rostralanteriorcingulate	R	cortex	29.804163345172082
rostralmiddlefrontal	R	cortex	32.079290090121
superiorfrontal	R	cortex	32.69161203424239
superiorparietal	R	cortex	33.94307386972476
superiortemporal	R	cortex	31.368805752330662
supramarginal	R	cortex	32.710349274373876
frontalpole	R	cortex	30.438387726698018
temporalpole	R	cortex	28.135368212066442
transversetemporal	R	cortex	31.87635260827234
insula	R	cortex	30.232400128885693
thalamusproper	R	subcortex/brainstem	25.44199291444572
caudate	R	subcortex/brainstem	28.765602179679753
putamen	R	subcortex/brainstem	28.812473051779108
pallidum	R	subcortex/brainstem	27.075370662335697
accumbensarea	R	subcortex/brainstem	28.690090951857627
hippocampus	R	subcortex/brainstem	26.730544132648976
amygdala	R	subcortex/brainstem	27.329692694587216
brainstem	B	subcortex/brainstem	26.302413424146252
