gene_name	z_mean	pvalue
NEGR1	5.604104353953254	1.8380838273781618e-15
LRFN5	3.963583769232253	5.399581977411881e-9
EHMT2	1.0495119894698703	3.730541826648067e-8
DENND1B	5.4168391389678225	6.066187073818209e-8
SLC12A5	4.319605515952519	7.503165934335955e-8
HLA-B	2.07955421374649	1.2491097332044586e-7
MICA	-1.5146977970022208	6.229058888757665e-7
CTTNBP2	-1.9312300049222784	1.833050749147997e-6
ZKSCAN7	-4.7011798411460015	2.586625745400575e-6
CYP7B1	-0.6131009584912421	5.294692842153195e-6
HSPA1L	-1.1296140056592836	5.728431896241725e-6
SEMA3B	-4.524622632680101	6.05033630447751e-6
ZNF502	-3.4763859174154645	8.391670665587507e-6
STK19	-1.1381634672795935	1.3319454919787308e-5
