gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000137185.11	ZSCAN9	2.3366081270671576e-19	7.0	6.0	2.433957515238743e-16	Brain_Hippocampus	0.013747308404995238	Brain_Amygdala	4.000687490512463	0.13052122444165998	0.26167013463724625	-8.198504601250825	-2.4637992507467965	-4.803822990957189	2.494698826006437	6.000000000000002	0
ENSG00000197935.6	ZNF311	3.3270405942119404e-16	6.0	6.0	1.7049947656622242e-16	Brain_Cerebellar_Hemisphere	0.9783971812375764	Brain_Cerebellum	1.5422046452893494	0.5165123061892105	0.5165123061892105	-0.2093575776282792	8.241194725036621	2.490735256477821	3.2316677721653333	6.0	0
ENSG00000197062.11	ZSCAN26	1.2688943618884289e-15	12.0	7.0	4.637420240057401e-16	Brain_Caudate_basal_ganglia	0.01616342568911693	Brain_Amygdala	7.987728253728518	0.022777004865640122	0.2820541120704682	2.405204326508247	8.120637295536389	5.407152137734731	1.7911757581148768	7.000000000000002	0
ENSG00000172260.14	NEGR1	1.8380838273781614e-15	4.0	4.0	4.525987329883311e-16	Brain_Caudate_basal_ganglia	0.4416718863504625	Brain_Cerebellum	2.1897541905749343	0.31100937454800875	0.31100937454800875	0.7693730436911984	8.123588424066904	5.604104353953254	3.3563859874940922	4.000000000000001	0
ENSG00000096654.15	ZNF184	4.485165017948101e-15	5.0	4.0	6.9615290853411576e-12	Brain_Nucleus_accumbens_basal_ganglia	0.49125384073497835	Brain_Cerebellar_Hemisphere	3.533314629432831	0.06733597810421421	0.1637421304994679	-6.858442602684777	-0.688315948273163	-4.373842201514259	2.5771024520029133	4.000000000000001	0
ENSG00000189298.13	ZKSCAN3	5.514800174802615e-15	10.0	7.0	1.4277101245716258e-09	Brain_Amygdala	0.9652629911053117	Brain_Cerebellar_Hemisphere	6.313207458745174	0.049071857355292105	0.2532983056964076	-2.0282840518425203	6.052323926806243	2.37135403003756	2.614136295101214	7.000000000000003	0
ENSG00000137338.5	PGBD1	7.191248168473494e-15	6.0	5.0	2.9416262049604577e-13	Brain_Cerebellar_Hemisphere	0.06951309370573477	Brain_Substantia_nigra	3.372461403156851	0.06385382524748943	0.3150970938704665	-7.297042170035355	3.098764408309636	-2.876739676706268	3.8872282873482034	5.0	0
ENSG00000235109.7	ZSCAN31	4.0440215855562935e-13	12.0	4.0	2.594696119555747e-10	Brain_Nucleus_accumbens_basal_ganglia	0.23638608156080065	Brain_Cerebellum	9.24483735442995	0.016713322303486763	0.35729745427249326	-6.3212418171375	1.297980228211674	-4.191412066735656	2.6362293477731567	4.000000000000001	0
ENSG00000112812.15	PRSS16	8.389097940264261e-13	3.0	3.0	8.583573656967869e-14	Brain_Cortex	4.7069059159220375e-08	Brain_Cerebellum	2.611447667815863	0.12406842197345674	0.12406842197345674	-7.461049894428368	-5.462041278776372	-6.154340540166672	1.1323134208466334	3.0	0
ENSG00000198315.10	ZKSCAN8	2.2521597878392493e-12	10.0	3.0	9.455804660627138e-15	Brain_Cortex	4.03710252523757e-06	Brain_Substantia_nigra	8.462674635143761	0.0238903554774273	0.3423863588540426	4.6094630604387286	7.746368222932823	6.150131676863717	1.1295964821369293	2.9999999999999987	0
