gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000198315.10,ZKSCAN8,7.387420662489994,0.3195323384032385,1.4970440134562873e-13,0.005278052768132537,0.040880418863005016,0.02903213531324918,NA,36,37,37,1.9699996401726363e-14,0.04300351781492103
ENSG00000186470.13,BTN3A2,6.744288860422492,0.0962927398042014,1.5377833175972703e-11,0.04865855217221074,0.30230066062847344,1.276910117730407e-11,NA,49,52,52,1.4500020277391709e-12,0.04451119716720929
ENSG00000189298.13,ZKSCAN3,6.052323926806243,0.3431446553788945,1.4277101245716258e-09,0.0032139994256361135,0.04833814167135245,0.01938177447351261,NA,6,9,9,5.729993938792548e-12,0.09186657398549704
ENSG00000235109.7,ZSCAN31,-5.9798199136798456,-0.05127967898264312,2.233844414826485e-09,0.1328126646394604,0.3452304877692697,5.183406224290111e-12,NA,48,51,51,2.0810031651828488e-12,0.09944478807525968
ENSG00000008300.16,CELSR3,5.833281984411153,0.37155286220857053,5.434760483564957e-09,0.0021054422028470997,0.045805279809720434,0.022599990649116518,NA,17,17,17,5.055996623127319e-08,0.050672483183496035
ENSG00000166165.12,CKB,-5.339671064980199,-0.251312046712791,9.311537192154754e-08,0.004247318620359591,0.04422474574749388,0.023026765939479502,NA,24,26,26,6.690001357257098e-10,0.06959035226473073
ENSG00000173540.12,GMPPB,4.871825067971694,0.04664730899187917,1.1057205132950703e-06,0.09787601174204412,0.28404840901817235,1.0899190139567254e-09,NA,39,39,39,3.983000028576733e-08,0.20532200471491655
ENSG00000096654.15,ZNF184,-4.696705058686247,-0.08417194211504561,2.6439179435867844e-06,0.02908640866490865,0.07239616899562765,0.005040269492947108,NA,23,23,23,1.5499978368223574e-10,0.13861128426218988
ENSG00000278376.1,RP11-158I9.8,4.454094169517688,0.08438269087840033,8.424811992601242e-06,0.025128731217443967,0.23202822664905634,5.551612046354086e-08,NA,25,25,25,2.574001563399388e-07,0.029481607682137718
ENSG00000137411.16,VARS2,4.224501349619926,0.8205044434546999,2.3947041682480295e-05,0.00025463791921778847,0.4129185896947538,2.0862518836252324e-15,NA,7,103,103,3.290997865006548e-05,0.011853157828931024
ENSG00000234177.5,LINC01114,-4.209102165414851,-0.07517366216350851,2.563874471457743e-05,0.02943198899229036,0.22004528481179936,1.5703247603034642e-07,NA,28,28,28,2.2089999412916416e-05,0.02674339224474389
ENSG00000086205.16,FOLH1,4.112976877685243,0.13533682802626962,3.9058952052751533e-05,0.009009507233754065,0.12574713640536864,0.000101210686405374,NA,22,22,22,5.777004902974487e-05,0.09883191519335953
ENSG00000260469.2,C15orf59-AS1,4.039471975708512,0.097515997412053,5.3571668090988354e-05,0.01627820284376797,0.08588628571722298,0.0010768028620920251,NA,7,7,7,3.6490001963087448e-06,0.21896940169650625
ENSG00000055955.15,ITIH4,-3.971527777397379,-0.03577935199253881,7.141317188726278e-05,0.12351779003465758,0.3090655277710808,2.1203469057459e-11,NA,49,49,49,2.188000182243632e-05,0.3210979080882298
ENSG00000113593.11,PPWD1,3.8575682779208518,0.06588884991814352,0.00011452069433887257,0.03085233928968561,0.20618455724606735,3.4702940075961533e-07,NA,72,72,72,4.792003565505046e-05,0.049911986327078925
ENSG00000279325.1,RP11-24H2.3,-3.828252733950599,-0.06852808418776776,0.00012905619781277544,0.034481417426131526,0.1201957788295652,0.00013670815393830726,NA,9,9,9,1.4370015443737717e-05,0.06226055384588537
ENSG00000146112.11,PPP1R18,-3.8093464922231544,-5.945157351194038,0.00013933458225842444,3.510568648767716e-06,0.07610349414295571,0.0017351110265903169,NA,2,20,20,0.00013260006067374294,0.001625711370931794
ENSG00000186446.11,ZNF501,-3.7750139683008763,-0.09494487163344735,0.00015999869771782845,0.014803444616022255,0.09604783575326033,0.0009398437780456233,NA,11,11,11,0.0002646998948745389,0.10659634748140737
ENSG00000105928.13,DFNA5,3.7353743997796713,0.052981126470940415,0.0001874361133623758,0.04824030027265678,0.2581599662623532,5.746572983567773e-09,NA,9,9,9,0.00016939995253149962,0.07762893061499401
ENSG00000107581.12,EIF3A,-3.7185401955758,-0.08014234550080568,0.00020037741090774984,0.0178635256045482,0.05380002739290938,0.015198093721868885,NA,20,20,20,0.0006343997454676515,0.22788153134630856
ENSG00000144792.9,ZNF660,-3.5293962883440035,-0.054249594136295605,0.00041650892085314423,0.03563331940118242,0.13268218556946798,4.110448060582967e-05,NA,46,47,47,3.128999241557739e-07,0.0759682841547596
ENSG00000145194.17,ECE2,3.498968712828612,0.05672167187034254,0.0004670613831050842,0.03577432276183611,0.21070581394543667,1.4436903308118086e-07,NA,23,25,25,3.408001248981557e-05,0.0568764308938833
ENSG00000179902.12,C1orf194,-3.489933473370859,-0.055633984024059335,0.0004831408042803628,0.03764078587366575,0.07780486045435203,0.0034289481371055893,NA,47,54,54,0.008195001598987442,0.19499776467712152
ENSG00000163281.11,GNPDA2,-3.4680943074725925,-0.06686334698851605,0.0005241633045892683,0.02280378827279523,0.18546122085438813,5.427538323686764e-07,NA,12,12,12,0.0005108998464459869,0.07637319617461344
ENSG00000101017.13,CD40,-3.453431469355693,-0.042358497085439546,0.0005535029194564732,0.06169217927079805,0.18676982007873372,1.7581273573615158e-06,NA,92,93,93,9.175010828665436e-07,0.2296362384933557
ENSG00000128944.13,KNSTRN,-3.4163287954863746,-0.02310832081427866,0.0006347156052583945,0.17894783040623957,0.4792252413154763,3.8926089055449596e-20,NA,29,29,29,0.0004386000454584697,0.21175587611071267
ENSG00000116922.14,C1orf109,-3.409279745489441,-0.06829982199958361,0.0006513465039345494,0.02184937298457505,0.19534138571390172,6.628902662519654e-07,NA,17,17,17,0.001655999532172536,0.3192839285968965
ENSG00000164068.15,RNF123,3.399974002075803,0.13876365064657067,0.0006739226044665898,0.0051774784657465855,0.0964214092773792,0.0009220313116634117,NA,55,55,55,9.627992183021698e-08,0.07415614949069886
