gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000197062.11,ZSCAN26,6.862531135901766,0.6839144325717033,6.7650987019339596e-12,0.0008990763449931168,0.17052678706011745,1.1974877488075826e-06,NA,18,27,27,9.320990496619657e-15,0.03764366362767868
ENSG00000173540.12,GMPPB,5.72327115102795,0.083433109320847,1.0449229090218697e-08,0.04242236238147683,0.2003847842882692,4.8596190427469326e-08,NA,26,26,26,1.5859999833610953e-08,0.0970767197990876
ENSG00000186470.13,BTN3A2,5.538776746078955,0.03695346265711024,3.045916313311712e-08,0.22479214691375582,0.4839526607667961,1.0376652578387198e-21,NA,98,98,98,1.4500020277391709e-12,0.19545625711036568
ENSG00000225399.4,RP11-3B7.1,-5.301193568408108,-0.10624048197090219,1.1504802598829472e-07,0.02382991729207884,0.08856089139378667,0.0006622585242506166,NA,24,24,24,1.5859999833610953e-08,0.07859566731183246
ENSG00000145020.15,AMT,-5.272100075024675,-0.134241230315711,1.3487149724839121e-07,0.014013967525148214,0.1742587473690659,5.160909608060616e-07,NA,31,31,31,1.5859999833610953e-08,0.04934226711118802
ENSG00000235109.7,ZSCAN31,-5.099514104057997,-0.058071599042614094,3.4052649661155444e-07,0.07694405945189113,0.31572677045283515,2.3858072667984937e-14,NA,40,79,79,7.746006290474444e-12,0.1477003555248473
ENSG00000250377.1,CTC-467M3.3,-4.810335757009874,-0.09938797795660632,1.5067697306594221e-06,0.023374050509491574,0.08005286271983103,0.0006866632982874215,NA,15,16,16,1.7099981455468916e-07,0.09024969315623438
ENSG00000272221.1,XXbac-BPG181B23.7,4.751412868499756,6.286827740918922,2.020002007977191e-06,5.189343499594449e-06,0.3580287081156458,2.027904037799176e-14,NA,1,36,36,2.020002007977191e-06,0.0033085048385562608
ENSG00000177752.14,YIPF7,-4.745484441463744,-0.04111295734798175,2.080079025725046e-06,0.12983011712025622,0.09662865267114737,0.00010113585183010927,NA,42,42,42,0.0005108998464459869,0.23414796558023296
ENSG00000213676.10,ATF6B,4.57414538295176,0.33470733465427915,4.781677373336102e-06,0.0018497899580356887,0.08435189621064829,0.000956057457027076,NA,10,43,43,3.09899951821263e-06,0.037864807012477936
ENSG00000142599.17,RERE,-4.370317442152845,-0.15305060599906348,1.2406604189883315e-05,0.008074365049881314,0.13373447800067176,2.4084755013058873e-05,NA,17,17,17,2.3549985960373483e-07,0.03577940052715658
ENSG00000109919.9,MTCH2,-4.359457670876784,-0.14924362000566951,1.3038517030071921e-05,0.006464055007046478,0.06369701354606426,0.0031955487551182647,NA,36,36,36,3.3880002557059314e-06,0.03775484451934389
ENSG00000164049.14,FBXW12,-4.2840613471667455,-0.0552099800617354,1.835122768947878e-05,0.05746662745198468,0.0498445342366578,0.012209039262079798,NA,21,25,25,0.0004453998438923387,0.16803268772137758
ENSG00000170185.9,USP38,4.211693330359349,0.3480300301187115,2.534634935801667e-05,0.0014181148754852757,0.03722515962649644,0.027381168920340114,NA,3,4,4,6.1789931233785435e-06,0.07227132995982216
ENSG00000179344.16,HLA-DQB1,4.108994097324551,0.11420290346037962,3.9738623172404594e-05,0.010340808543133831,0.3603845198841403,1.1497046533447434e-14,NA,5,48,48,3.7449975601745035e-07,0.15866790300533
ENSG00000119414.11,PPP6C,3.9925801814801245,0.16869304552361694,6.535822214808898e-05,0.005191628460132978,0.059579295817121375,0.005987351363209075,NA,9,9,9,6.746999313873217e-05,0.05468657296480113
ENSG00000166170.9,BAG5,3.9897413811390114,0.07464792973063733,6.614537588515033e-05,0.025546700332002042,0.21285700446927372,4.741056343743641e-08,NA,45,48,48,2.272000932154142e-09,0.25542837360805704
ENSG00000105185.11,PDCD5,-3.9700806050810646,-0.051669648090271025,7.184832112919612e-05,0.05840336384895386,0.19514332928485684,1.361270722283559e-07,NA,62,63,63,0.0007693003065870251,0.09499949728627513
ENSG00000134698.10,AGO4,-3.946058771917824,-0.18250177688099112,7.944812032757397e-05,0.004310828778223193,0.05959308636074007,0.005982616445374244,NA,61,61,61,2.851998164719955e-07,0.1232112644715208
ENSG00000261090.1,RP11-20G6.2,-3.934297456148414,-0.03053187257737016,8.344039706145345e-05,0.14049730300582097,0.19469364477039414,2.2393214849525932e-07,NA,75,81,81,0.0034749993921673284,0.32308127386688595
ENSG00000234177.5,LINC01114,-3.857274783039183,-0.06274643843212468,0.00011465824244854232,0.03437723423769025,0.21966496562798998,5.278443018064196e-09,NA,24,24,24,4.223999539521377e-05,0.04230722484521755
