gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000172260.14,NEGR1,8.123588424066904,0.5524604941788543,4.525987329883311e-16,0.0019899036692849975,0.11403061662702145,7.154096732554997e-06,NA,21,21,21,2.902007465193884e-18,0.012226032069355993
ENSG00000197062.11,ZSCAN26,8.120637295536389,0.14330165603812794,4.637420240057401e-16,0.02921785874211143,0.25098554797951805,2.711898001302764e-12,NA,35,59,59,9.174964318962871e-17,0.11748852232099405
ENSG00000096654.15,ZNF184,-6.590477077055143,-0.21675183929237346,4.3841548853827204e-11,0.009193692365881589,0.0701036331113638,0.0005536569940750272,NA,11,12,12,1.8549971204576176e-11,0.03876640877079343
ENSG00000186470.13,BTN3A2,6.306505583596796,0.05028419615647986,2.854056877993298e-10,0.14062734040767622,0.4856616545922986,1.5963750525059522e-28,NA,57,58,58,1.4500020277391709e-12,0.3834757022525542
ENSG00000198315.10,ZKSCAN8,5.822342875698464,0.22992015806071933,5.8028345909870625e-09,0.00541313713637587,0.1338786304345214,1.2035205912400962e-06,NA,31,49,49,4.144994220495863e-12,0.10762288645706963
ENSG00000152760.9,TCTEX1D1,-4.986343958681885,-0.13623905342623074,6.153255919978325e-07,0.013425785679995203,0.06857265826228807,0.0007946163177184575,NA,53,54,54,7.054004090440952e-08,0.04178061304637807
ENSG00000173540.12,GMPPB,4.907670529248716,0.05938220724277333,9.216450988532374e-07,0.05887700205561065,0.2078305371715181,2.305173242940193e-10,NA,73,75,75,5.055996623127319e-08,0.17110676283428747
ENSG00000235109.7,ZSCAN31,-4.844004425553878,-0.0585898503237059,1.2724809584548843e-06,0.06313997763725203,0.2237650537337879,2.0678737131502923e-11,NA,42,69,69,1.261998955065021e-11,0.1345939590713935
ENSG00000204371.11,EHMT2,4.835967063903809,0.7829720049622572,1.3249986154761254e-06,0.0003658956299745962,0.1688167306479487,4.6839878519198164e-08,NA,1,11,11,1.3249986154761254e-06,0.028736659621801806
ENSG00000272871.1,RP11-408A13.4,4.683775575187754,0.04384596043788366,2.8163836811847818e-06,0.09662916780689024,0.3293672269327701,8.782829469065699e-17,NA,54,55,55,6.315001748822114e-07,0.1263782581440097
ENSG00000233276.3,GPX1,4.653295656259559,0.12560801750603948,3.2667132461849856e-06,0.012293814434763062,0.2427713120102929,1.0336627418267413e-11,NA,43,43,43,6.229993469436679e-06,0.03255376212578971
ENSG00000196666.4,FAM180B,-4.536720150507127,-0.11744302596952229,5.713584242160313e-06,0.013146883351004439,0.07464827793034255,0.0003170358461505893,NA,67,70,70,2.9850001236826564e-06,0.0444011080404384
ENSG00000172247.3,C1QTNF4,4.526455170521,0.17835238107692578,5.99813160283486e-06,0.005424800621852834,0.10232258288991553,2.7274197205262516e-05,NA,14,15,15,3.3880002557059314e-06,0.01912260537428866
ENSG00000260469.2,C15orf59-AS1,4.509197678610894,0.13870061652649923,6.507325368764676e-06,0.01005689648268602,0.07731802357738148,0.00032259722286954415,NA,15,15,15,3.6490001963087448e-06,0.04586041939144128
ENSG00000234177.5,LINC01114,-4.468816842206901,-0.1117047708995421,7.865344186734611e-06,0.013845116341734296,0.12050043805635464,2.577830385957293e-06,NA,34,34,34,2.2089999412916416e-05,0.012237642992008392
