gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000197935.6,ZNF311,8.241194725036621,1.754034705731768,1.7049947656622242e-16,0.0001796794494635082,0.03618972630245148,0.021714913908194505,NA,1,16,16,1.7049947656622242e-16,0.03152731232699815
ENSG00000137338.5,PGBD1,-7.297042170035355,-0.2587349540202456,2.9416262049604577e-13,0.007405411893818867,0.07467480620397215,0.0006813422780283705,NA,36,41,41,9.174964318962871e-17,0.04952525282236028
ENSG00000235570.1,LINC00533,-7.20605430495903,-0.7107067259689626,5.759644071875622e-13,0.0009819205118948324,0.08106911903374904,0.00046635855384810637,NA,20,39,39,9.174964318962871e-17,0.01585657063965578
ENSG00000165379.13,LRFN5,6.386958816901617,0.06815224914711294,1.692171855715406e-10,0.08784616934429948,0.3889755790309961,2.9619797394446312e-18,NA,35,35,35,9.035007294927419e-12,0.09960610300971162
ENSG00000119682.16,AREL1,-5.934433366988125,-0.3360765041607834,2.9486205028590297e-09,0.0025595215780570384,0.06779557673668128,0.0012960061624592435,NA,5,5,5,1.872998168826305e-09,0.015509031588740712
ENSG00000166170.9,BAG5,5.837184552953995,0.19033600077687984,5.309027969731053e-09,0.008724572131682467,0.16585751643938773,4.3830595386032953e-08,NA,27,27,27,9.271987698401839e-10,0.1065749522536884
ENSG00000186470.13,BTN3A2,5.614254997375946,0.05210900521325904,1.9741091632237754e-08,0.12078305167363303,0.3462226119791084,5.567907176671316e-16,NA,56,57,57,1.4500020277391709e-12,0.14263391413616405
ENSG00000112812.15,PRSS16,-5.5399304472952755,-0.04727446988327829,3.025918016185251e-08,0.10131344475219425,0.21359852385527964,1.4674421634701004e-09,NA,83,86,86,1.0630037674144086e-15,0.1729783733165424
ENSG00000198315.10,ZKSCAN8,5.407335344385531,0.14815229002361166,6.396930474808415e-08,0.011796245172086231,0.15850706944625176,3.335445957676732e-07,NA,49,62,62,2.0810031651828488e-12,0.0739887977273574
ENSG00000126214.21,KLC1,5.379473742446933,0.2190446008410927,7.4703889038096e-08,0.00553800440687138,0.17348855908511165,8.428168105796982e-08,NA,28,29,29,1.5569980466684173e-09,0.05575978575799925
ENSG00000173540.12,GMPPB,5.033078442234426,0.059213567253051144,4.82665507587497e-07,0.074317998902953,0.4462773462145708,1.1883051180032537e-23,NA,35,36,36,3.983000028576733e-08,0.1058717035050824
ENSG00000196345.12,ZKSCAN7,-4.7011798411460015,-0.12396738475107376,2.586625745400575e-06,0.012849694971647892,0.049398288985801266,0.0065750654987256065,NA,31,31,31,5.167995090897537e-07,0.0936539550135749
ENSG00000164051.13,CCDC51,-4.498919827005729,-0.1565481658447639,6.829960712183498e-06,0.008022326161820297,0.08250740278131131,0.00037912324392351564,NA,7,8,8,1.6410009650435494e-05,0.09927761836142676
ENSG00000107854.5,TNKS2,4.4732848424743175,0.2839350823308358,7.702705982988361e-06,0.0024414916409705983,0.06353636162536046,0.0021089964744182297,NA,17,17,17,1.2469993972276894e-05,0.03644176081682717
ENSG00000250377.1,CTC-467M3.3,-4.469771007135674,-0.0902137790988018,7.830338620245194e-06,0.02387405739557685,0.06142621377079816,0.0020179478619689415,NA,35,36,36,4.744004905160372e-06,0.06118092317764048
ENSG00000109919.9,MTCH2,-4.414315594212623,-0.15323993181914972,1.013300471450727e-05,0.006841355665660692,0.16039740999589105,2.488829065935017e-07,NA,12,12,12,2.9850001236826564e-06,0.018329248101410747
ENSG00000101442.9,ACTR5,4.2850236308708505,0.11443005675711972,1.8271976553733164e-05,0.011242689745591703,0.04389357394375713,0.009219874730040928,NA,31,31,31,2.0449997541836664e-05,0.03704015869232538
ENSG00000272871.1,RP11-408A13.4,4.241498156510462,0.07019326107165175,2.2203271388606687e-05,0.030785716601258607,0.3139525842409965,2.44870336856633e-14,NA,12,12,12,6.315001748822114e-07,0.08572283619138804
ENSG00000196653.11,ZNF502,-4.234735419947042,-0.06898306534981144,2.2882095597618253e-05,0.0372790219616595,0.26830022549656235,9.503820987135145e-13,NA,42,43,43,1.3309993180207807e-05,0.09703074069908693
ENSG00000233276.3,GPX1,4.192548758259356,0.13839902423858466,2.7583777144058467e-05,0.00869234381097594,0.10818119848253516,3.737741130526793e-05,NA,58,59,59,5.055996623127319e-08,0.026229646350424025
ENSG00000172817.3,CYP7B1,-4.178106887037561,-0.28746164462770696,2.9394551686861223e-05,0.0020070078095364152,0.03627105471893585,0.019282459246182698,NA,2,2,2,2.901997418201585e-05,0.06735108697445956
ENSG00000204540.10,PSORS1C1,4.164692090593356,0.12814251161125734,3.1177303903490246e-05,0.010431640147445222,0.18724683961196376,3.623667616091389e-08,NA,19,52,52,4.124001390215233e-05,0.3703636806109221
ENSG00000234177.5,LINC01114,-4.1425720560409225,-0.16621342824429536,3.4343241601525264e-05,0.005853889685445495,0.11073777566315053,2.3644970798594487e-05,NA,24,24,24,2.2089999412916416e-05,0.005387920439559678
ENSG00000078618.21,NRDC,4.10757324628585,0.0821319840712871,3.9983799876564425e-05,0.02265646080548231,0.1778238107999461,4.12281690997927e-08,NA,11,11,11,1.2930011295256116e-07,0.3681831123765104
ENSG00000172247.3,C1QTNF4,4.093685865254335,0.09861814624385506,4.245694388948949e-05,0.014695151456948309,0.11907210135394215,1.2623359722955507e-05,NA,8,9,9,2.9850001236826564e-06,0.04275861582567627
ENSG00000198216.10,CACNA1E,4.076697048156378,0.13384256027840163,4.567994606547367e-05,0.008703677068663377,0.08230435577991732,0.00024075416322493265,NA,5,6,6,5.2279962617905685e-06,0.05065035872850892
ENSG00000250105.1,CTD-3074O7.2,4.005933716686776,0.04384917623492545,6.177297140599524e-05,0.0732702888798935,0.2805948611702891,5.974053795499866e-13,NA,11,11,11,2.6389997900286486e-05,0.1045490931345996
ENSG00000089220.4,PEBP1,-3.990643144768526,-0.0970262605790388,6.589436414327047e-05,0.015410657348990069,0.19727995171867585,3.3673577879707404e-09,NA,37,38,38,1.179999004027545e-06,0.051034214788992914
ENSG00000213523.10,SRA1,3.9862131769104883,0.19148882953100507,6.713619755753183e-05,0.00398511337382241,0.050815818563609186,0.004385905062584358,NA,24,24,24,0.0008532001368613624,0.09255073281224473
ENSG00000274184.1,RP11-158H5.8,-3.974424087889695,-0.05864953089629406,7.054975885668289e-05,0.0422149653361647,0.3864554477442044,8.988863019774814e-19,NA,90,90,90,5.324002103656439e-05,0.07134604703079178
ENSG00000224843.6,LINC00240,-3.929480743357828,-0.08178190648475817,8.51294933743864e-05,0.022313921298061274,0.08856555526959399,0.0002372345170447831,NA,33,35,35,8.721995303371759e-06,0.09822234765609904
ENSG00000275409.1,RP11-131L12.4,-3.9226545956097785,-0.126815804672947,8.757866225241525e-05,0.00889525233193622,0.10231722140469522,6.182942230034318e-05,NA,47,48,48,4.632005234101724e-06,0.04636324168617457
ENSG00000230606.10,AC159540.1,3.9018491943217195,0.037885503019516875,9.546062624951652e-05,0.10698267202409534,0.33549994431911795,1.2113587413271858e-15,NA,19,19,19,0.0001629999306272992,0.14440292773560912
ENSG00000101017.13,CD40,-3.8972638110811757,-0.05159934883917235,9.728562554557129e-05,0.05805920366210232,0.1353387388576052,2.40280565418665e-06,NA,32,32,32,7.002006006060549e-07,0.0986735843282759
ENSG00000117868.15,ESYT2,3.8917339828057402,0.08120127019253054,9.953033907574599e-05,0.019822713990577324,0.07452121604287867,0.00029377503135445665,NA,36,38,38,1.4140010020092112e-05,0.09314588282369543
ENSG00000143442.21,POGZ,-3.8770686059701016,-0.1258204256835298,0.00010572255412173335,0.011243188705571226,0.19838992941100012,4.401154431389127e-10,NA,23,23,23,1.0609998734930835e-05,0.04515707661737893
ENSG00000163938.16,GNL3,3.8696465925425483,0.06170701075616993,0.00010899323077887758,0.032237162491988144,0.2788539950553537,2.613603866172863e-12,NA,31,31,31,3.7230018839241556e-05,0.05440736044790799
ENSG00000131849.11,ZNF132,3.817263396837392,0.1962204366913147,0.00013494008872393717,0.004018618444682875,0.035768231245774364,0.020124501538096185,NA,30,30,30,0.0006191998706804473,0.050222381848875966
ENSG00000186446.11,ZNF501,-3.803127262924042,-0.04907167665129872,0.00014288090802034613,0.05667715178540512,0.3249049244715884,4.1774865405361065e-15,NA,24,24,24,0.0003228998873794197,0.13603349657212438
ENSG00000100401.19,RANGAP1,3.7896339989341734,0.16124725124939487,0.0001508694105381845,0.005289999308066777,0.042347152669615584,0.011525796416576231,NA,19,19,19,1.6080014590413074e-05,0.052706781721207366
ENSG00000198865.9,CCDC152,3.784514341048375,0.19003084738113812,0.00015400902726330133,0.003317313948380032,0.05119568058212998,0.005636599055548935,NA,4,4,4,0.00015839994803356434,0.05680943499180964
ENSG00000114904.12,NEK4,3.78373406463402,0.26531585128998125,0.00015449289640765207,0.0017385427988382965,0.08395107824007098,0.00034679993693276885,NA,23,23,23,8.841002098531959e-05,0.014235649733016125
ENSG00000149541.9,B3GAT3,3.7632291746092883,0.5361663175174662,0.00016773335879056712,0.0004566353986340352,0.037922410021741716,0.01751169548517231,NA,15,15,15,0.00036370002391332206,0.00924444482947165
ENSG00000168785.7,TSPAN5,3.7621315219775244,0.11015380126378516,0.00016847140917411823,0.012393357903031015,0.1584277312708212,3.5053776545637305e-07,NA,28,28,28,0.00017609993293961755,0.03987287918611418
ENSG00000139433.9,GLTP,-3.7570788195744678,-0.1604807444334132,0.0001719083631518943,0.005225654746560534,0.16054962865969766,1.3298643998552448e-07,NA,7,7,7,9.712998901657497e-05,0.05182134237011002
ENSG00000137310.11,TCF19,-3.7203276101764287,-0.16693751458699424,0.0001989645148007654,0.0031950528738437568,0.5185202011556573,1.8579284436237615e-27,NA,6,53,53,0.00013269998072943745,0.4478460403906859
ENSG00000163931.15,TKT,3.712129375641677,0.16280452768575593,0.00020552288105638608,0.0054719384464005085,0.12883591175626471,6.181497107125656e-06,NA,40,40,40,0.00017609993293961755,0.031567884048897724
ENSG00000145020.15,AMT,-3.6991728733152547,-0.041519825271565135,0.00021630323741771937,0.07492722027658459,0.4606735775158724,1.3934249602476008e-23,NA,69,69,69,3.7040039091872234e-07,0.04585213421924061
ENSG00000163807.5,KIAA1143,3.6952238973959735,0.06522655560872617,0.000219693103756123,0.0316408504855646,0.3050726622306271,1.0637116877907609e-13,NA,23,23,23,3.199001764200989e-07,0.09553389497754756
ENSG00000162399.6,BSND,3.694765233671349,0.043622461274265036,0.00022009004526342245,0.06644428971709819,0.2900027010518428,7.640601722743977e-14,NA,20,20,20,5.4869972536814806e-05,0.11385313697859074
ENSG00000144199.11,FAHD2B,-3.693105087085607,-0.0849551851720616,0.00022153242276815057,0.019863629120879536,0.25301936679804177,3.2539878338083953e-11,NA,33,36,36,0.0001352000038470785,0.021325419846729362
ENSG00000104497.13,SNX16,3.6744622277435277,0.04448748216820618,0.00023835090023330041,0.06493090226412987,0.3081216818130451,8.084831160422639e-14,NA,93,93,93,0.0006266998188758609,0.091063662712982
ENSG00000075131.9,TIPIN,3.6722222015203125,0.052415597889506484,0.00024045047030929074,0.044819802850005676,0.24194783404867806,8.519067794175689e-11,NA,31,31,31,0.0007166001532045621,0.03984876448947846
ENSG00000260743.1,RP11-255C15.3,-3.6523004651228104,-0.05923490448406678,0.0002599015299193488,0.03253149488505767,0.06327490199884378,0.0017905996607178786,NA,43,45,45,5.481997392107742e-05,0.08194574720126438
ENSG00000130724.8,CHMP2A,3.6401113920134764,0.20471478541939764,0.00027252011966501406,0.003015085702129124,0.09510483532276416,0.00013511151902427748,NA,34,34,34,1.3850003489901435e-05,0.02289410142768887
ENSG00000161204.11,ABCF3,3.62718992692439,0.12343484004638659,0.00028652253939887636,0.006907612435498615,0.028534611431299876,0.03671915053928222,NA,25,26,26,0.00031780001948786843,0.16600844805465276
ENSG00000278376.1,RP11-158I9.8,3.617790807790588,0.03445265139546245,0.0002971283953103571,0.09680570169464633,0.46888944979614205,3.0759760015734547e-24,NA,32,32,32,1.5299987288468556e-05,0.1501445427651201
ENSG00000157837.15,SPPL3,-3.6158586180126715,-0.0847263802172135,0.0002993537343101141,0.01727701701901923,0.24203900492810865,1.13670367523545e-10,NA,25,25,25,6.631999888248867e-05,0.04760066142059943
ENSG00000099899.14,TRMT2A,-3.606659377060439,-0.30218549064813427,0.000310164382434611,0.0012807783305463945,0.08164286313513604,0.00041817680985406367,NA,13,13,13,2.8040000398029272e-05,0.04570968804995088
ENSG00000178467.17,P4HTM,-3.606564517624921,-0.0953629307819418,0.0003102777386525142,0.014704216104552616,0.138071362833114,1.4902271986323632e-06,NA,15,17,17,4.9730062468713976e-08,0.09356121701748328
ENSG00000232098.3,CTD-2619J13.14,3.5777095162125296,0.06292246198810518,0.00034661835390417184,0.032652964761352835,0.3005187733455284,8.621255405154118e-14,NA,28,28,28,0.0006191998706804473,0.052329377884596406
ENSG00000151806.13,GUF1,3.5710327907500248,0.051902249810799495,0.00035557637099271466,0.04691944215082961,0.3556610464185102,4.6502591894036784e-17,NA,24,24,24,0.0001882999657119624,0.08117982052985953
ENSG00000179284.5,DAND5,-3.56022366945842,-0.07077443179898098,0.00037053904879804647,0.024208479913159293,0.20261386041932555,8.510521113835002e-10,NA,6,8,8,0.00389100085633138,0.19206957597250324
ENSG00000203727.3,SAMD5,-3.5451627456278603,-0.09678738307450868,0.00039237074378947187,0.011729951574702713,0.04158497171306877,0.013000412564322194,NA,31,31,31,6.703000374249229e-05,0.0640810737735566
ENSG00000117640.17,MTFR1L,-3.506006821183316,-0.0828702482112207,0.00045488356221913784,0.01634112458803144,0.1221685615238735,1.37143407451461e-05,NA,23,24,24,0.0001495999735117136,0.03617310943771245
ENSG00000107551.20,RASSF4,-3.495099339723333,-0.09104020353819824,0.0004738853430925962,0.01743032221124457,0.15436099477850174,2.2141650811949678e-07,NA,22,22,22,0.0001912000109791819,0.12094511906961668
ENSG00000186448.14,ZNF197,-3.4917650911735905,-0.06972892673114317,0.0004798400508464443,0.022536126617181892,0.06593025738528671,0.0017794154552986565,NA,55,58,58,2.992003488753378e-07,0.09005028383425609
ENSG00000162073.13,PAQR4,-3.491361512154622,-0.12156027688382065,0.0004805655276943732,0.008447039027618897,0.0757836780577812,0.0006680687426551429,NA,18,19,19,0.004518001408566384,0.0532579409500185
ENSG00000135537.16,LACE1,3.468218665474974,0.11277195979629759,0.0005239207871195207,0.010999302258568296,0.03795850707079459,0.015368192900295981,NA,26,26,26,9.214998453901644e-05,0.08543933383561167
ENSG00000156030.13,ELMSAN1,-3.4605454877959914,-0.060363669618134934,0.0005390821482319996,0.02864624397572156,0.1430193793112735,1.5140600552954776e-07,NA,30,30,30,0.0029170008856733817,0.1332957010093579
ENSG00000275759.1,RP11-131L12.3,-3.4468165344471835,-0.03945473524030633,0.0005672336434443743,0.06076407473166671,0.2077639507522384,1.92841888203084e-09,NA,92,93,93,4.632005234101724e-06,0.5261756537704086
ENSG00000174165.7,ZDHHC24,3.4430306805681155,0.043797684651548874,0.0005752340514616251,0.05931718666649591,0.15573707422560054,4.089689559073323e-07,NA,42,42,42,2.3760019667664212e-05,0.14906554003216518
ENSG00000135956.8,TMEM127,-3.423569676673462,-0.07457668192918507,0.0006180440529221638,0.02390003145030442,0.10612899450125064,5.359528038401507e-05,NA,62,66,66,0.00015659996927189164,0.17254129164661575
ENSG00000272905.1,RP11-265E18.1,-3.399672851487275,-0.08315064308249258,0.0006746652172331856,0.011905814081732073,0.045325345844898925,0.00802300165701183,NA,22,25,25,0.0010240003062098495,0.1866670288440446
ENSG00000220205.8,VAMP2,3.3890393034267112,0.14910130448216077,0.0007013795658152629,0.004922507148220572,0.12265205511325375,1.226476021869987e-05,NA,9,9,9,0.0006153997469762378,0.02411898990127373
ENSG00000128944.13,KNSTRN,-3.3884843621496867,-0.024610279139132864,0.0007028003624194519,0.16357846513197338,0.4295985110171768,2.2857366886609765e-22,NA,21,22,22,0.0011010002028932885,0.1188923481769319
ENSG00000162194.12,LBHD1,3.384165330065974,0.042838967134972615,0.0007139499822647533,0.05617456957439658,0.251933149437021,2.7768392230685467e-11,NA,16,16,16,0.00036370002391332206,0.10600763735843133
