gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000197062.11,ZSCAN26,7.865333388867209,0.2279133108548278,3.681157481384211e-15,0.012107807621404091,0.4038734331745117,9.765740309742103e-24,NA,15,24,24,1.8260003076783686e-15,0.02608159766227604
ENSG00000198315.10,ZKSCAN8,7.596780523995628,0.41607326633883573,3.035887751958584e-14,0.0032103332874179173,0.04642146585336007,0.002458822986207902,NA,12,14,14,5.102995037140679e-16,0.02907269251424993
ENSG00000137185.11,ZSCAN9,-7.238525896841814,-0.3731709779504383,4.5358760863074346e-13,0.0034026709224743426,0.14404786345283954,8.554122289611324e-08,NA,26,73,73,9.320990496619657e-15,0.051356199677594624
ENSG00000137338.5,PGBD1,-7.104927235922859,-0.26353773690660204,1.2038594908459415e-12,0.007291550650774343,0.11239878709647373,3.775526085642241e-06,NA,17,21,21,9.174964318962871e-17,0.050111784765428914
ENSG00000106460.18,TMEM106B,6.079029911780176,0.470798357025633,1.209118050381147e-09,0.0014805710349391475,0.06017211241920997,0.0006307048097926204,NA,12,12,12,1.1670015014900784e-11,0.014508351424527888
ENSG00000186470.13,BTN3A2,5.988837034646265,0.04632936549884045,2.1134679696018494e-09,0.1806658332064805,0.4729473671203815,4.1811515978097937e-29,NA,62,63,63,1.4500020277391709e-12,0.06594415916288247
ENSG00000166170.9,BAG5,5.8221543375769755,0.2576175432443856,5.809386327020156e-09,0.004403775799183095,0.03974708375753305,0.00764283408844443,NA,20,21,21,1.5569980466684173e-09,0.059056231030223214
ENSG00000165379.13,LRFN5,5.749968609065397,0.05481307031248168,8.926002023567425e-09,0.10542665238066995,0.3072906598034057,1.2758925315692054e-17,NA,53,53,53,1.2449991013303362e-09,0.0928729779844036
ENSG00000112812.15,PRSS16,-5.462041278776371,-0.04372326433519038,4.706905915922064e-08,0.13132923706692612,0.2611365058043784,4.339490059957586e-14,NA,62,64,64,1.55799800838438e-15,0.2002630709962153
ENSG00000213047.12,DENND1B,5.416839138967822,0.2687289480621254,6.066187073818231e-08,0.004133674531150204,0.0371040858387628,0.009080961637309523,NA,13,13,13,2.1580004277947013e-08,0.03731263808762973
ENSG00000224389.8,C4B,-5.395362759984165,-0.28147807113771356,6.838524635299422e-08,0.002700423819335702,0.12988628940849278,5.842768480718679e-07,NA,2,20,20,6.402996339729792e-08,0.05635309824641064
ENSG00000173540.12,GMPPB,5.395082739284658,0.052399091864853246,6.84919834277616e-08,0.10642364234563885,0.5207994403524667,7.956118861961791e-34,NA,40,41,41,3.983000028576733e-08,0.08613317429550033
ENSG00000146109.4,ABT1,5.277710572737365,0.42736574008217826,1.3080785070509254e-07,0.0015031722145810377,0.025343650383016243,0.031635139409097644,NA,14,15,15,4.731994224275304e-14,0.009870087663811774
ENSG00000227740.1,RP11-318C24.2,-5.14785709182948,-0.23226581716211261,2.634790973450053e-07,0.004746905245253836,0.05157421062710493,0.0018845408429686687,NA,10,10,10,5.6080014222845486e-09,0.03357379668108761
ENSG00000228223.2,HCG11,5.05346289688307,0.14074298142303,4.338706333711191e-07,0.012412448604556337,0.033542119412559315,0.01477976394978945,NA,32,32,32,4.13999390452836e-12,0.06838974194720092
ENSG00000152760.9,TCTEX1D1,-5.046541646801908,-0.07152513753568761,4.4987886456427414e-07,0.04069721779907656,0.2657407857279118,6.3176114456235064e-15,NA,54,55,55,5.4680072577867986e-08,0.10064659616271243
ENSG00000077063.10,CTTNBP2,-4.914330663616609,-0.1951780943830819,8.908628507786411e-07,0.005491229563818261,0.053476771305972816,0.0017505241532426818,NA,25,25,25,5.016002049374688e-10,0.03713875492527975
ENSG00000178467.17,P4HTM,-4.84850918239552,-0.12246380355441029,1.2439277409357447e-06,0.01619362104282704,0.14687109492241593,3.879269661874062e-08,NA,18,18,18,3.7040039091872234e-07,0.01686470682984956
ENSG00000102572.14,STK24,4.803906919823761,0.1283933558811555,1.5559918536259919e-06,0.012827740000225239,0.15750235657403105,2.3216389976836907e-08,NA,11,11,11,1.2749997844734183e-06,0.09199553145675914
ENSG00000233276.3,GPX1,4.788471646164448,0.09889214918371317,1.6805630223994016e-06,0.02360341489095112,0.18003609085365918,1.045684479342967e-09,NA,42,42,42,1.5859999833610953e-08,0.1019696172210186
ENSG00000109919.9,MTCH2,-4.655360700588369,-0.21232483836037713,3.2341400686913997e-06,0.003971291012555148,0.06413570376201831,0.0006309427134870197,NA,11,11,11,3.3880002557059314e-06,0.0228277850973566
ENSG00000271904.1,CTC-498M16.4,4.64184012785073,0.06933463267618924,3.4532000776932473e-06,0.04146200927276234,0.06258778713164091,0.0006039196802415898,NA,50,52,52,4.6690024430356927e-07,0.07536672255855728
ENSG00000111801.15,BTN3A3,-4.553238490337662,-0.04717301768075745,5.282632797047066e-06,0.09318341889687665,0.17804025327985168,1.9438217509826254e-09,NA,46,47,47,2.6490031843810137e-12,0.2396864779130227
ENSG00000145020.15,AMT,-4.447913817472198,-0.03899976622743045,8.670830337067887e-06,0.13468047650191972,0.4857682308280515,1.973090121466533e-30,NA,71,71,71,3.983000028576733e-08,0.1211590812812946
ENSG00000130724.8,CHMP2A,4.444902254953499,0.16420271612288945,8.79318368335658e-06,0.007135031793962332,0.07592649045233299,0.00014485290823002268,NA,25,26,26,5.737997207517612e-06,0.04308915375118793
ENSG00000185909.14,KLHDC8B,4.4434396637121445,0.18674738327998186,8.853199179872878e-06,0.005822927998116489,0.07240200656273699,0.000160512067468494,NA,10,10,10,1.5399990795954e-06,0.03241474487001246
ENSG00000198890.7,PRMT6,-4.438423723096264,-0.10713666858399165,9.062008740477672e-06,0.01365612165454649,0.14861577375779467,8.378468019409854e-08,NA,32,32,32,1.6659999523231354e-05,0.06579663762889916
ENSG00000083812.11,ZNF324,-4.39875592011311,-0.09917116203615176,1.0887318822465215e-05,0.019858167883292185,0.08286363664794068,7.568608546621521e-05,NA,39,40,40,5.737997207517612e-06,0.14023300816366435
ENSG00000228789.6,HCG22,4.303071999747072,0.16406447681089642,1.684460797240673e-05,0.005478442674921529,0.06290601285629774,0.0006155374026839088,NA,9,85,85,1.2409990381569075e-05,0.03348505283677989
ENSG00000099904.15,ZDHHC8,4.284237949736656,0.3449266089959205,1.8336658679276526e-05,0.0015833438377676557,0.028169437557458762,0.021889936103714612,NA,4,4,4,8.715998172078293e-06,0.04159742038772087
ENSG00000250105.1,CTD-3074O7.2,4.155975920185132,0.038367396313839945,3.239019397361303e-05,0.11872009395588246,0.2691762967407295,4.261944405012298e-14,NA,22,22,22,2.6389997900286486e-05,0.16690053515221145
ENSG00000206113.10,CFAP99,-4.09431420446929,-0.10728739646353444,4.2341979064177015e-05,0.014008593304112717,0.10478935191454708,4.703169829766137e-06,NA,9,9,9,4.990005605098494e-06,0.09882902160874243
ENSG00000234177.5,LINC01114,-4.0921219546769,-0.24207322840546006,4.2744373807593274e-05,0.002559974528485818,0.06984714601611369,0.0003068830779853772,NA,26,26,26,2.2089999412916416e-05,0.005828865301046261
ENSG00000260469.2,C15orf59-AS1,4.091210995199986,0.06317008617539226,4.291264814593098e-05,0.04040482354694287,0.1767989086574819,2.871921682550369e-09,NA,36,37,37,3.6490001963087448e-06,0.22780061459233136
ENSG00000188895.11,MSL1,-4.0885325371324255,-0.05799305224172458,4.3411066431659125e-05,0.04297431588355882,0.2016769239745603,1.134449837271529e-10,NA,38,38,38,0.00014509994013115038,0.29020551261907795
ENSG00000232629.8,HLA-DQB2,4.087571236367908,0.4595048514727776,4.359128452503165e-05,0.0007161571377182691,0.218845491839213,3.6147894126792367e-12,NA,5,38,38,4.8970007230763555e-05,0.01039393174965648
ENSG00000101017.13,CD40,-4.085369567855675,-0.06356398591282607,4.40067160046502e-05,0.042089444679955075,0.18423590878312435,1.5277381389498445e-09,NA,17,17,17,6.298994103477608e-06,0.1006855726313745
ENSG00000170955.9,PRKCDBP,4.054483029878439,0.0867047304146259,5.024529774826537e-05,0.021845615270219935,0.1491722489829879,7.225372859577046e-08,NA,25,25,25,0.00045750012805220557,0.1482243597904452
ENSG00000104497.13,SNX16,4.019050327293913,0.05739682565970935,5.843318963117888e-05,0.04651328309367124,0.2057291960075852,7.72371197895364e-11,NA,61,61,61,0.0003534999850648982,0.10136252171435968
ENSG00000272871.1,RP11-408A13.4,4.00411597649138,0.05086674114839794,6.224982205821492e-05,0.05535730005363457,0.2630524187923589,5.257123004525277e-15,NA,36,37,37,3.361000659880627e-06,0.048571729324278654
ENSG00000010319.6,SEMA3G,4.002242888872275,0.1076957558012353,6.274483644143469e-05,0.01222050311679616,0.05245608412649196,0.0019172353278078093,NA,22,22,22,0.00014389994891924772,0.1170135537348393
ENSG00000173599.13,PC,3.995198166679157,0.08826293755076219,6.464016215489725e-05,0.020884825694685236,0.12039613853851534,1.4287407236297849e-06,NA,32,33,33,0.000971499603190667,0.09321011839905036
