gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000198315.10,ZKSCAN8,7.746368222932823,0.34328673307072144,9.455804660627138e-15,0.004978681895653033,0.06686314164172395,0.000552235736992285,NA,30,34,34,9.320990496619657e-15,0.05146938382719315
ENSG00000112812.15,PRSS16,-7.461049894428367,-0.28371082381261453,8.58357365696793e-14,0.006438421976277194,0.0308639181122878,0.01765121469551709,NA,24,24,24,4.847992349536981e-12,0.0502335423441478
ENSG00000137185.11,ZSCAN9,-6.756064727266149,-0.21346422096790946,1.4179009454697507e-11,0.007575939650913022,0.060957088476806386,0.0011012781661210328,NA,27,31,31,2.19699708818709e-15,0.07217706891537727
ENSG00000186470.13,BTN3A2,6.478021202771907,0.06089355649756667,9.293329714005304e-11,0.10870725558225543,0.4440561624045287,3.0383195300026526e-25,NA,117,122,122,1.4500020277391709e-12,0.09647354617986956
ENSG00000271755.1,RP1-153G14.4,6.351381115505888,0.157327941231428,2.1339029751211533e-10,0.014930889053087905,0.0946930453913974,3.181484936866565e-05,NA,20,21,21,3.472997460170816e-11,0.03394021424156846
ENSG00000166166.12,TRMT61A,5.838608966686795,0.18410733514782443,5.263845087414889e-09,0.009000026785740266,0.0860988630779378,7.183915493229817e-05,NA,21,21,21,1.5829980490684178e-10,0.04123208994849335
ENSG00000206344.7,HCG27,5.620686531066895,1.635214127759882,1.9020010769078236e-08,0.0001049160105465017,0.28063984803551084,1.553021067575624e-14,NA,1,85,85,1.9020010769078382e-08,0.015594287969449566
ENSG00000204520.12,MICA,-5.250249952775554,-1.7651633502879265,1.5189296113050868e-07,7.568044157542935e-05,0.4843227343385984,5.485141765678935e-29,NA,5,57,57,9.437006267713697e-07,0.0212938599766854
ENSG00000173540.12,GMPPB,5.160740074529898,0.04960890586280948,2.459755015883657e-07,0.1090314103389304,0.4242069320256936,1.181229679439412e-24,NA,53,54,54,3.983000028576733e-08,0.23671915600533466
ENSG00000111801.15,BTN3A3,-5.060232585774375,-0.06541880426179317,4.1874536545060886e-07,0.051749445255508626,0.06669810506476444,0.00032293839298972387,NA,96,97,97,1.4500020277391709e-12,0.2930205107949166
