gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000197062.11,ZSCAN26,6.970356019932283,0.22303101679939827,3.1613992150625855e-12,0.008400864707356763,0.27989919588124795,1.5683233961186393e-13,NA,11,31,31,9.174964318962871e-17,0.04440432676853241
ENSG00000166166.12,TRMT61A,6.242350207841401,0.18137467551123057,4.310445056292701e-10,0.009539490368763455,0.11964360262309633,1.726809896823617e-05,NA,17,18,18,2.1580013165690768e-10,0.07905543367157375
ENSG00000186470.13,BTN3A2,6.108119947680341,0.05761207623430183,1.0081158033742386e-09,0.0993514486542526,0.4379645175461005,1.9525153083958426e-22,NA,86,87,87,1.4500020277391709e-12,0.10090475165963166
ENSG00000119682.16,AREL1,-5.768788271870514,-0.39393444543348693,7.984354154681076e-09,0.001901022338259291,0.12129377100543624,9.138286827930513e-06,NA,27,27,27,1.872998168826305e-09,0.022751301353697868
ENSG00000198315.10,ZKSCAN8,5.529473514375575,0.2296479100375409,3.211932880496345e-08,0.0049876327359171975,0.13823776906679225,2.7222176105119625e-06,NA,19,29,29,7.491999146603739e-12,0.037632297287127865
ENSG00000235109.7,ZSCAN31,-5.459789480675478,-0.08092885820531354,4.766994876553091e-08,0.0417081868433633,0.4099072660050727,1.4584115397478324e-20,NA,16,29,29,6.432998351381946e-12,0.0986408999707865
ENSG00000119640.8,ACYP1,-5.371815905306758,-0.3350573431188525,7.794766580602961e-08,0.002247358814953757,0.07337807289561674,0.0007997319721467619,NA,4,4,4,1.8570023313754312e-08,0.03137961032133019
ENSG00000152760.9,TCTEX1D1,-5.360639931840314,-0.12910675421849774,8.29276617214606e-08,0.016409169669625787,0.1526801520884233,4.841402533835312e-07,NA,44,45,45,6.5029923347376595e-09,0.028207904024722362
ENSG00000173540.12,GMPPB,5.325323028148625,0.060910618576642456,1.0077378871842736e-07,0.06661133991076724,0.28190706006165217,5.753471547828802e-13,NA,63,64,64,1.5859999833610953e-08,0.2840689769864352
ENSG00000272871.1,RP11-408A13.4,5.079829933534864,0.12129732141614939,3.77772900304927e-07,0.01454253719096114,0.09250774269147803,0.00017438336813721886,NA,6,7,7,6.315001748822114e-07,0.0803034843781991
ENSG00000250377.1,CTC-467M3.3,-5.020813851873819,-0.1388929997720724,5.145300480893991e-07,0.012038753017904805,0.08586136849942344,0.00024309331437796127,NA,8,8,8,1.5440017180862498e-06,0.06971663617164517
ENSG00000213722.8,DDAH2,4.922215461730956,3.49169235441188,8.556992692450743e-07,1.791473603382392e-05,0.030553011175765612,0.035472225082815736,NA,1,8,8,8.556992692450714e-07,0.006357948452116504
ENSG00000196653.11,ZNF502,-4.8872454453341785,-0.08033238900846841,1.0225658016545247e-06,0.0326724783771111,0.1842219207777871,4.578518359664641e-08,NA,38,38,38,9.469004631780218e-07,0.21060546025771695
ENSG00000143442.21,POGZ,-4.695446889043884,-0.19174303711118545,2.6602448397257002e-06,0.006381862086248578,0.120649729136074,1.5252416917440454e-05,NA,36,36,36,1.0609998734930835e-05,0.04699802417933946
ENSG00000233276.3,GPX1,4.68754420377008,0.10921701163386074,2.765029905083495e-06,0.016621478336804944,0.15747056012454266,4.7348580050208227e-07,NA,38,38,38,8.193993196396634e-08,0.12763345559615286
ENSG00000075413.17,MARK3,4.515240648309269,0.06259264594005792,6.3244905096535956e-06,0.045720154395420286,0.06641172968176359,0.0008673245832904843,NA,64,72,72,4.189998027383533e-07,0.2490251596676146
ENSG00000204290.10,BTNL2,4.511034781270301,0.20089902251758399,6.451214057990768e-06,0.00409010207418759,0.049346474780266,0.0058133212973377636,NA,6,32,32,9.147999350104785e-05,0.09506315716376912
ENSG00000260469.2,C15orf59-AS1,4.4014800070392806,0.0955797801819122,1.0751497646931089e-05,0.02008792605932739,0.07744434239479958,0.00043426913548479817,NA,17,17,17,3.6490001963087448e-06,0.07830798836509154
ENSG00000271904.1,CTC-498M16.4,4.303671951986641,0.06287988051790581,1.679903526301667e-05,0.04389860954875226,0.2389335348637421,1.4151387935067658e-10,NA,27,28,28,1.4039992589543705e-07,0.0637817677452831
ENSG00000143801.16,PSEN2,4.277907631051471,0.21310874979680228,1.8865827016383063e-05,0.0038860423505386087,0.05786436373444944,0.0026204154651637518,NA,6,6,6,3.555998334444584e-07,0.0415753269029633
ENSG00000117569.18,PTBP2,-4.244957256252905,-0.16650843923412828,2.1863509391384173e-05,0.005418081024932813,0.08280559426484801,0.000320228232711397,NA,12,12,12,1.1849992395503488e-05,0.06482109880342384
ENSG00000204463.12,BAG6,4.241205527480412,0.68722508837287,2.2232243594731673e-05,0.0003633655151758066,0.3849498992108327,4.706565026604993e-18,NA,3,61,61,3.615996527538868e-07,0.027004804704999396
ENSG00000139433.9,GLTP,-4.227369165021574,-0.20461571831926345,2.364395733578026e-05,0.003914973738545902,0.14467227626509038,1.2262532520069686e-06,NA,22,25,25,1.4809985046555484e-06,0.04052706564355545
ENSG00000126215.13,XRCC3,4.169701998069966,0.34198494156470155,3.0499818393990218e-05,0.0012956763806307298,0.030729956880627726,0.03229177986697539,NA,9,9,9,2.3429984494737542e-05,0.041239978248751814
ENSG00000170209.4,ANKK1,-4.153366503797923,-0.04888327586395911,3.2761937424735615e-05,0.05844062457542906,0.22666268011604826,3.153588205612466e-10,NA,20,20,20,8.333003326538336e-05,0.2607334266582743
ENSG00000196666.4,FAM180B,-4.052263460074263,-0.07514562352862689,5.0724497934895665e-05,0.023330780985934198,0.11834484699789105,1.5071835058296024e-05,NA,12,13,13,3.3880002557059314e-06,0.0661455415434281
ENSG00000149187.17,CELF1,-4.007697718683486,-0.1464844224993427,6.13135259880567e-05,0.006480706793645241,0.05070987235367783,0.004684743057138854,NA,7,7,7,0.001294999551621474,0.06193709916263515
ENSG00000108352.11,RAPGEFL1,-3.8904169863349836,-0.2222363723911444,0.0001000721081004549,0.0028987488876882545,0.0544812585651376,0.003570184201949336,NA,28,28,28,0.00014509994013115038,0.042110972688197135
ENSG00000163888.3,CAMK2N2,3.885578170125201,0.2053376327105252,0.00010208663669539645,0.0031319250030626424,0.0563301496513,0.0039702496857198,NA,25,26,26,3.408001248981557e-05,0.08132832293785501
ENSG00000271952.1,LINC01954,3.847456054024934,0.05361456599289938,0.00011935067703819477,0.04603419650998599,0.03764161923225757,0.016125532291337615,NA,71,71,71,0.002334999876631805,0.14531702528977428
ENSG00000189298.13,ZKSCAN3,3.8433123745054867,0.0825139562636726,0.00012138480677172568,0.0192937821719919,0.1466169529490526,8.968281883386717e-07,NA,29,55,55,7.746006290474444e-12,0.04880463258060299
ENSG00000144199.11,FAHD2B,-3.8158537219167927,-0.12020692573692206,0.00013571288837783957,0.00906565695768393,0.182181602640326,4.1822021856700815e-08,NA,18,20,20,0.00019619991966636873,0.04647944973847742
ENSG00000204516.9,MICB,-3.791656108706652,-0.1325906315068798,0.00014964603649555953,0.007592263974005392,0.2299728067783765,3.001913291700096e-10,NA,17,26,26,0.00016339999092821177,0.012870440216983551
ENSG00000152219.4,ARL14EP,-3.7795206306644222,-0.08461905952859769,0.00015713057458437545,0.018825037585220864,0.15706025082473113,3.6516923522316535e-07,NA,85,85,85,0.0006065999753124619,0.18908732313594545
ENSG00000165915.13,SLC39A13,-3.768846351386826,-0.1660487276156002,0.00016400379893056848,0.00415435510318646,0.08442068716741373,0.00029173593988614114,NA,25,25,25,1.2879995084142064e-05,0.034562658352875364
ENSG00000162877.12,PM20D1,-3.7673113848250344,-0.03717515569583727,0.00016501512725640904,0.09592626468321486,0.25344264241112274,4.0730890425329015e-11,NA,24,24,24,2.097999767101243e-05,0.3610988029244842
ENSG00000106089.11,STX1A,3.750192686300097,0.3496956214307217,0.00017669873876760548,0.000941691758080163,0.02653306935672518,0.046267175172954235,NA,19,20,20,2.8249991004872558e-05,0.05973183928539491
ENSG00000144792.9,ZNF660,-3.7386111253582652,-0.04309989846809796,0.0001850396972687529,0.05746445538508566,0.22024686065309326,9.178407981240216e-10,NA,30,31,31,3.199001764200989e-07,0.12895253679681246
ENSG00000138172.10,CALHM2,-3.7379276269111164,-0.2606164393343583,0.00018554333619687612,0.0019559573456372336,0.032687703973884395,0.024489196630903074,NA,7,7,7,6.379005635026493e-06,0.04792377134864103
ENSG00000234177.5,LINC01114,-3.7089145939907664,-0.04598989059668965,0.00020814961745931385,0.05733513494032014,0.3794553565190804,7.0809938976155625e-19,NA,61,61,61,2.2089999412916416e-05,0.13032899011815127
ENSG00000008838.19,MED24,3.6964253118632207,0.08977820261039972,0.00021865654688591114,0.01668543254230343,0.12104960395645573,1.3465718348589907e-05,NA,16,16,16,7.559996482199074e-05,0.052979960327819015
