gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000137185.11,ZSCAN9,-8.198504601250825,-0.3707498878480599,2.433957515238743e-16,0.004053680396748501,0.07872124994394364,0.0004886628157309991,NA,32,36,36,1.134999091677364e-18,0.03523791840591363
ENSG00000198315.10,ZKSCAN8,6.3703624572570465,0.28165121329271614,1.885819960167374e-10,0.004653407349136978,0.08925825434778792,0.0002228855895110229,NA,14,38,38,4.898997984796351e-12,0.04710036979393738
ENSG00000186470.13,BTN3A2,5.7455975785536,0.04850488804870769,9.159691576530418e-09,0.1100446596359094,0.42716599205677336,4.285205465797649e-20,NA,73,76,76,1.4500020277391709e-12,0.24668193094286786
ENSG00000173540.12,GMPPB,5.355644183587145,0.052284067456865105,8.525213174525494e-08,0.10975941203569875,0.34831557736179913,2.8990600278259875e-17,NA,40,40,40,3.983000028576733e-08,0.21541862135612172
ENSG00000189298.13,ZKSCAN3,5.345113275892394,0.16960081113272854,9.036052593624216e-08,0.008834552232560189,0.07875223448029163,0.0005781438022033488,NA,19,24,24,7.746006290474444e-12,0.06413776341706601
ENSG00000197062.11,ZSCAN26,4.754109402674991,0.2310100914697875,1.993230883822536e-06,0.0037032431270316306,0.1745101584868652,2.033615228291483e-07,NA,8,18,18,5.833996081975803e-13,0.017535112848556925
ENSG00000206344.7,HCG27,-4.751412868499756,-0.6138723883319197,2.020002007977191e-06,0.0005329947197343832,0.1420886156921625,2.9360144231246293e-06,NA,1,70,70,2.020002007977191e-06,0.03388326368045316
ENSG00000124140.13,SLC12A5,4.5270957109758765,0.2382614848102575,5.979985993984548e-06,0.002790283953314623,0.14138663217745062,4.015020040322973e-06,NA,28,29,29,2.3980006123478906e-10,0.07156892978773656
ENSG00000234177.5,LINC01114,-4.49666828709487,-0.08443715869711652,6.902654938565383e-06,0.028470880110743384,0.19682275179014028,1.5326093621200048e-08,NA,48,48,48,2.2089999412916416e-05,0.1232686128939116
ENSG00000187676.7,B3GLCT,-4.451696286559357,-0.2350176333941755,8.519460679806467e-06,0.0034312255147084703,0.03870254682417155,0.018676280189493424,NA,11,11,11,1.1899990222780311e-07,0.06323511702455009
ENSG00000271755.1,RP1-153G14.4,4.413389263497872,0.10330813685532969,1.017647811506059e-05,0.01649777858629311,0.05521241191635663,0.0052611846479682116,NA,31,33,33,5.102995037140679e-16,0.10959368156610146
ENSG00000145020.15,AMT,-4.352892320851938,-0.08113290693702452,1.343531490350878e-05,0.02956974583012791,0.31988901466507785,5.0485211624846574e-14,NA,27,27,27,9.627992183021698e-08,0.060921598434294524
ENSG00000235109.7,ZSCAN31,-4.329814626861464,-0.061019803353648316,1.492349128015402e-05,0.04982970799908468,0.3834690534263941,1.5533557624002423e-17,NA,28,37,37,2.0810031651828488e-12,0.09760124200033754
ENSG00000154328.15,NEIL2,-4.135422654009851,-0.11668507927131233,3.5430193603066275e-05,0.011302244941578643,0.10004019368116604,9.398442832284632e-05,NA,20,20,20,3.973002524081326e-05,0.05983770164331394
ENSG00000198890.7,PRMT6,-4.119270948411515,-0.07110195174642626,3.800730217478347e-05,0.025320738621319495,0.3109748436325515,2.0320829702470525e-13,NA,19,19,19,1.6659999523231354e-05,0.021233446497705758
ENSG00000165917.9,RAPSN,4.101859845208859,0.2245868269802129,4.098425098175002e-05,0.0027144264624036447,0.027373036314968503,0.04878134511964785,NA,9,9,9,3.3880002557059314e-06,0.01791728631899031
ENSG00000105671.11,DDX49,-4.0045297998518805,-0.2618692122317857,6.214095773621698e-05,0.0021447530853253224,0.055994491852355166,0.004439511410537966,NA,19,19,19,0.0009962004078005473,0.0475193060646891
ENSG00000139433.9,GLTP,-3.917849551788001,-0.17898505294613537,8.934243610992392e-05,0.004161078018056641,0.1832878389866542,2.7372200172201645e-08,NA,12,12,12,7.123002640543606e-05,0.01753878626621293
ENSG00000143416.20,SELENBP1,-3.9113370044327977,-0.1619472113374712,9.178659157903555e-05,0.006090181184710173,0.11263837912767953,2.230578197412597e-05,NA,19,19,19,1.095999024849885e-05,0.053834017696579535
ENSG00000173611.17,SCAI,3.9005649478779105,0.4053977522142215,9.596847516758341e-05,0.0009197560340856227,0.054202473488571684,0.005333511512854523,NA,11,11,11,0.0001476000016615573,0.016664074145489056
ENSG00000171574.17,ZNF584,3.8927708697689742,0.11307437515963861,9.91057472557479e-05,0.010795892868742989,0.09512888564268447,0.00013604792595380339,NA,28,28,28,1.5359993058494123e-05,0.028754323585193888
ENSG00000151806.13,GUF1,3.8134186444180878,0.06090105368704476,0.00013705765603495615,0.034572031910478945,0.2602119953353082,3.11544235671509e-11,NA,18,18,18,0.00026099988236101844,0.06400224810489376
ENSG00000275759.1,RP11-131L12.3,-3.754505026005073,-0.06577355558640263,0.00017368436017386243,0.02851112570947957,0.041189499270756366,0.01463257732956165,NA,63,64,64,4.632005234101724e-06,0.12921178728274088
ENSG00000196653.11,ZNF502,-3.704938556129649,-0.11744166014959945,0.0002114419813473407,0.009339690452339174,0.13717733355926434,4.055564778848044e-06,NA,7,7,7,0.0003288998731429382,0.1444439525485696
ENSG00000272871.1,RP11-408A13.4,3.6990559323069503,0.08413355010403774,0.00021640291191564503,0.017905657498431662,0.1929075379170748,3.3691129160656936e-08,NA,15,15,15,2.1890007233080883e-05,0.05500220175299503
ENSG00000133065.10,SLC41A1,3.6782172928835655,0.1463600809886255,0.00023486982961499152,0.0057594976446850845,0.09709026963876408,0.00013589853008802308,NA,14,16,16,2.376998571896294e-05,0.02877283878548465
ENSG00000278376.1,RP11-158I9.8,3.6749696756757095,0.048794648086947,0.0002378776664576912,0.057517765909098816,0.3150518253226616,5.805762234589633e-14,NA,42,42,42,1.461999602335293e-06,0.09257447956557774
ENSG00000163281.11,GNPDA2,-3.6203884090884726,-0.09223633945111731,0.0002941610996910864,0.013865583498813096,0.21513566163551612,3.2372006492703268e-09,NA,31,31,31,0.0001882999657119624,0.1236818140990423
ENSG00000162836.11,ACP6,-3.61833786883997,-0.024713081776742293,0.00029650115502161665,0.20322813204480672,0.5547121904715407,9.199947672818592e-30,NA,65,67,67,0.00018220004073264822,0.2147871326948424
ENSG00000083807.9,SLC27A5,-3.6015611845029927,-0.10566763420065843,0.00031631195641472915,0.012404606145940586,0.09124283444943612,0.00024307729816908091,NA,25,25,25,1.3850003489901435e-05,0.1084431466767882
ENSG00000154263.17,ABCA10,-3.5944090001026483,-0.06907821481791179,0.0003251287551170288,0.02605585593698534,0.13252332095645233,8.038310503208154e-06,NA,39,41,41,6.299006611244545e-07,0.15473175004590708
ENSG00000149485.18,FADS1,-3.5615098040836783,-0.10322358216336672,0.000368728336906093,0.011024817992905625,0.13921215505920048,2.2773671205968454e-06,NA,16,16,16,0.0001261999987540441,0.038014460171411066
ENSG00000105928.13,DFNA5,3.54445171307296,0.056350393521917494,0.0003934305626005834,0.03826655217082732,0.27017839014693845,1.2235279108358464e-11,NA,19,19,19,0.00016939995253149962,0.0496130720090552
ENSG00000189120.4,SP6,-3.4968368973399304,-0.06313749701596545,0.00047080959161721896,0.030252568659529917,0.0325818336693839,0.03240949712848691,NA,32,33,33,0.0013760000671337298,0.09491867015993068
ENSG00000134077.15,THUMPD3,3.4777502979195747,0.06087005270381687,0.0005056407208211371,0.03604112939071205,0.13112229276875814,5.375167342659786e-06,NA,63,65,65,7.1799937851104e-06,0.16686042365915446
ENSG00000182253.14,SYNM,3.4775182473811874,0.050673339922059885,0.0005060786026469487,0.04056704120520488,0.1584118281034321,8.496342685398648e-07,NA,52,56,56,0.007580998370441034,0.1605399702610254
ENSG00000101751.10,POLI,-3.453113944020694,-0.0906936615139813,0.0005541548743574645,0.012492925818173541,0.09296029598968078,0.00022263965430265937,NA,39,39,39,0.0009464002228287717,0.05198431545261907
ENSG00000102606.17,ARHGEF7,3.449779484499255,0.16679399741919348,0.0005610446420981244,0.004386919189501734,0.13744976793498356,1.962031533129639e-06,NA,8,9,9,0.00035470016106735244,0.027218514785511745
ENSG00000143801.16,PSEN2,3.416658739680294,0.26714105760526224,0.0006339469268606749,0.0016052823175086465,0.03190986914687804,0.03255851115965719,NA,4,4,4,0.0006226002619385564,0.03843748013570188
ENSG00000176148.15,TCP11L1,-3.409878753336793,-0.057467586733810826,0.0006499176564335359,0.03440387504258665,0.08513563733025947,0.00032096627876459816,NA,91,97,97,0.0029059996171179134,0.10669997053492457
ENSG00000137312.14,FLOT1,-3.388604214173692,-2.840515531625058,0.0007024932832532362,1.197176998130761e-05,0.11493652946779374,1.7380489285431266e-05,NA,2,61,61,0.0005483002397601005,0.003295828148233329
ENSG00000162877.12,PM20D1,-3.3766612036257677,-0.027833032356852364,0.000733713634910227,0.13230039204448632,0.22172659471959028,1.125560339961852e-09,NA,32,33,33,2.097999767101243e-05,0.13311981180692642
ENSG00000171045.14,TSNARE1,3.3600109958040183,0.06276034459053738,0.0007793937043251826,0.02694903669570434,0.14805928680532882,9.332834934762636e-07,NA,33,38,38,0.0074300008663865285,0.2926205582474802
ENSG00000104497.13,SNX16,3.340452349778837,0.06723767847104457,0.0008364203251490828,0.019045292961915795,0.2091698672903544,6.013426561538381e-09,NA,31,31,31,0.0003534999850648982,0.031246954867572136
ENSG00000220205.8,VAMP2,3.3324997818136315,0.14825213930742376,0.0008606953793681542,0.004832506187867889,0.1260249214756976,8.988932797742147e-06,NA,18,20,20,0.0006153997469762378,0.01853477006670656
