gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000186470.13,BTN3A2,6.027409933660532,0.07416628476483185,1.6660804016449548e-09,0.05686386108833172,0.2842654582666975,1.2912603775566732e-12,NA,50,53,53,1.4500020277391709e-12,0.07110215104633795
ENSG00000166170.9,BAG5,5.865551955349483,0.2547834414702822,4.476410660959751e-09,0.004797858183435371,0.04333238558798324,0.011434644868886129,NA,3,3,3,9.271987698401839e-10,0.0960403455903186
ENSG00000152760.9,TCTEX1D1,-5.349820859812306,-0.18292676671949462,8.804133712588906e-08,0.008488044241660346,0.11600783212320533,2.324522514159971e-05,NA,49,49,49,5.976997722723924e-08,0.019192119065867763
ENSG00000173540.12,GMPPB,5.201268180830242,0.0697818696181228,1.979332478823986e-07,0.05282752377695728,0.2782931921270191,1.8852703826114283e-12,NA,43,44,44,4.9730062468713976e-08,0.12804187967286873
ENSG00000196653.11,ZNF502,-5.134553062510807,-0.15345762755031242,2.8281529523103487e-07,0.009785650212399825,0.08419353150814853,0.0002868082693933992,NA,43,44,44,3.128999241557739e-07,0.06260148596682512
ENSG00000235109.7,ZSCAN31,-4.969512281741337,-0.12018899524759881,6.71215193842997e-07,0.015987104204474887,0.18593908139783144,2.3854822114266002e-08,NA,17,28,28,2.7789991531817318e-15,0.04013902781071215
ENSG00000271755.1,RP1-153G14.4,4.828611751244156,0.1933558989888781,1.3748817016996934e-06,0.005446267440465507,0.03777783446506952,0.018639677389846177,NA,6,7,7,2.226001153508336e-10,0.031289600042645464
ENSG00000240053.8,LY6G5B,4.645866757484735,2.2321669441842684,3.386515386640347e-06,3.625214744671875e-05,0.13450036942430188,4.495738392638836e-06,NA,13,86,86,1.1220005317507488e-05,0.011291117016428726
ENSG00000204516.9,MICB,-4.644708535389892,-0.1372664175782014,3.4055690207254383e-06,0.010133098324022384,0.06485104318286221,0.001594843035402316,NA,17,102,102,3.615996527538868e-07,0.08141287260127204
ENSG00000145020.15,AMT,-4.644400879218766,-0.15319253418276546,3.4106474530924677e-06,0.008252240919256741,0.1458477864953408,1.0607505770941272e-06,NA,30,30,30,1.5859999833610953e-08,0.01122327707106797
ENSG00000109919.9,MTCH2,-4.491061262722797,-0.18571088542934625,7.086916118189958e-06,0.004873343126248757,0.07065318536433092,0.0010147204296509329,NA,8,8,8,2.9850001236826564e-06,0.014144576350999109
ENSG00000197062.11,ZSCAN26,4.4537385402007725,0.15739467886664002,8.438785560269074e-06,0.007111891493646257,0.1857864514930399,2.825095766842121e-08,NA,14,38,38,3.606997139453596e-17,0.03272072790598897
ENSG00000174080.10,CTSF,-4.3935568489729535,-0.14113113094058344,1.1151101177239811e-05,0.009497110143916165,0.11947387999056056,1.799348515253528e-05,NA,24,24,24,5.106998238965015e-07,0.10558785591020443
ENSG00000101751.10,POLI,-4.328445788669996,-0.08129718739647224,1.5016528419119377e-05,0.023059287716971688,0.16434474388824066,2.813663004180881e-07,NA,21,21,21,4.848003730356806e-06,0.04904078905811972
ENSG00000183597.15,TANGO2,-4.284255290961618,-0.35162310959237014,1.8335228691370128e-05,0.0013585173141926542,0.03325641689256528,0.024387089011557842,NA,7,7,7,1.064999758801715e-05,0.011448127082365952
ENSG00000234177.5,LINC01114,-4.258505289253765,-0.2540130274059696,2.057983512147414e-05,0.0025598064066129946,0.03639485230256719,0.02065571767004433,NA,12,12,12,2.2089999412916416e-05,0.010528526926203059
ENSG00000124140.13,SLC12A5,4.060456373682084,0.6110626140036641,4.897688844737154e-05,0.0003459231835508987,0.03488840369220103,0.0228864963577894,NA,6,6,6,7.807010604974717e-09,0.022322322141827226
ENSG00000090097.21,PCBP4,4.022155658866316,0.40892307163657815,5.7667925088909104e-05,0.000809987870003931,0.032342824659397515,0.030235470929020663,NA,5,5,5,0.0001263999961832293,0.034321911132601815
ENSG00000198890.7,PRMT6,-3.959073727275354,-0.18870101275548734,7.524100903360388e-05,0.003235207880643923,0.10717858132441437,3.797458502601266e-05,NA,12,12,12,3.183999952962614e-05,0.03100417344474578
ENSG00000275759.1,RP11-131L12.3,-3.918244378940812,-0.07530098848999874,8.919625211178592e-05,0.0248092780222797,0.195946208332936,1.1744755405166714e-08,NA,37,37,37,4.632005234101724e-06,0.07128833228659326
ENSG00000055955.15,ITIH4,-3.8299179697098378,-0.050926657550807074,0.00012818598292500122,0.050793638131607935,0.3418400208428056,2.0198011011880938e-17,NA,21,22,22,3.982002062862323e-05,0.04357914759969511
ENSG00000100714.15,MTHFD1,-3.8191685898554013,-0.14358850822475858,0.000133902226940462,0.006179146773072193,0.02646608731445201,0.049093102732050635,NA,20,20,20,1.590999511113908e-05,0.057188633110309264
ENSG00000145198.14,VWA5B2,-3.779490951144539,-0.09130834881495242,0.00015714930388464242,0.014428332820706585,0.1900274658698753,2.8192274787342423e-08,NA,10,10,10,3.408001248981557e-05,0.024037149552108582
