gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000096654.15,ZNF184,-6.858442602684777,-0.23488749206040702,6.9615290853411576e-12,0.008312644416509548,0.10373156274874022,1.5579570837025172e-05,NA,19,19,19,2.0319975764306692e-10,0.04300686168587019
ENSG00000235109.7,ZSCAN31,-6.3212418171374996,-0.07026768817686044,2.594696119555766e-10,0.07167554763193354,0.2631739523709994,1.7414767984984456e-13,NA,31,44,44,2.7789991531817318e-15,0.21008995813914774
ENSG00000172260.14,NEGR1,5.927051696166396,0.18030875682825576,3.084219040863634e-09,0.011082997173158058,0.13664591815749247,2.468200906958052e-07,NA,47,47,47,2.902007465193884e-18,0.09473628622399408
ENSG00000173540.12,GMPPB,5.679007846982085,0.06253715013193033,1.3547826511133738e-08,0.07162379445779748,0.3927688649144035,1.0509647032773487e-21,NA,29,30,30,1.5859999833610953e-08,0.10622460702331732
ENSG00000187987.9,ZSCAN23,-5.215957253093785,-0.22194238834974184,1.8287034854226034e-07,0.005111780308812684,0.03454282928789579,0.015474379319057853,NA,12,28,28,1.574001075992132e-13,0.05339117439850079
ENSG00000234745.10,HLA-B,5.101975690964316,0.19891804524791895,3.3612593358758103e-07,0.006607856606235995,0.14475371731930586,2.0594630089103913e-07,NA,4,59,59,1.9020010769078382e-08,0.061214747547259724
ENSG00000186470.13,BTN3A2,4.873852297626487,0.034620379282308114,1.0944282836784595e-06,0.17488118412700562,0.474659822723341,6.420902689871839e-30,NA,89,93,93,1.4500020277391709e-12,0.19307058469794905
ENSG00000197062.11,ZSCAN26,4.831154532705805,0.06694681110618256,1.3574359147578638e-06,0.04388264863023622,0.2567349134241789,5.669859937493456e-13,NA,28,57,57,9.174964318962871e-17,0.4538018014491268
ENSG00000134376.15,CRB1,-4.822743443341777,-0.4734362573561977,1.415970493479345e-06,0.0009378611957093395,0.02530254284371424,0.03863244915553124,NA,5,5,5,1.986998579207462e-06,0.03678843328512616
ENSG00000198315.10,ZKSCAN8,4.794380204214284,0.09505296572557452,1.6317853944548134e-06,0.02165897688028337,0.1228405888042066,1.2891147735655306e-06,NA,48,56,56,4.144994220495863e-12,0.1117846918402641
ENSG00000203727.3,SAMD5,-4.694153374121745,-0.10122086103069611,2.6771312604801818e-06,0.019374162693122116,0.0751978760884048,0.0002488617137207204,NA,28,28,28,5.348999097269068e-06,0.11044711200050017
ENSG00000233276.3,GPX1,4.687427551064727,0.09147983162573883,2.7666059259050345e-06,0.02519159450996667,0.30019747361786103,1.0786314908848801e-15,NA,22,22,22,3.7040039091872234e-07,0.0920240239796031
ENSG00000145020.15,AMT,-4.604426890934997,-0.07824860804057085,4.136032804010801e-06,0.03245992032351881,0.31562871359782385,1.8912118337172844e-16,NA,50,50,50,3.7040039091872234e-07,0.04555537180569361
ENSG00000109919.9,MTCH2,-4.569937151298633,-0.08705203304596063,4.878704999348018e-06,0.02331377959339606,0.24806658296039444,7.919891694590483e-13,NA,11,12,12,2.9850001236826564e-06,0.04100309389409624
ENSG00000012171.19,SEMA3B,-4.524622632680102,-0.3588397307400561,6.050336304477493e-06,0.0014676589404705137,0.03375965291829396,0.01550436112901944,NA,26,26,26,9.55699448927719e-07,0.013608564983141126
ENSG00000178467.17,P4HTM,-4.481669589672224,-0.31796265714244787,7.4061345419955305e-06,0.0018141983702207884,0.07548513181291819,0.0002574509973976975,NA,45,45,45,4.9730062468713976e-08,0.021044913100162956
ENSG00000196666.4,FAM180B,-4.380103123042242,-0.09856915581563214,1.1862315782510571e-05,0.01668261032540469,0.12642827226138714,1.172797786623903e-06,NA,17,18,18,3.3880002557059314e-06,0.029984063805776194
ENSG00000148848.14,ADAM12,4.339984155457308,0.0723567012199448,1.424929899487576e-05,0.03007938613749884,0.07853852955584169,0.00017386473768237848,NA,35,35,35,0.00026340001698556135,0.14974538213158098
