gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000172260.14,NEGR1,7.596404251888515,0.22888853806496337,3.044723887466578e-14,0.010480956118450294,0.11023190321555164,4.632803062521281e-05,NA,120,121,121,2.902007465193884e-18,0.09858102300201227
ENSG00000198315.10,ZKSCAN8,6.237389902849089,0.3410268703975511,4.4493203751651917e-10,0.002850728615771655,0.04635257102206898,0.007611897424604539,NA,44,59,59,4.144994220495863e-12,0.014508364853234191
ENSG00000124140.13,SLC12A5,6.036090088133871,0.42861355694068165,1.5789312718369664e-09,0.0016175641707921993,0.11020958550370734,2.708632993412663e-05,NA,9,9,9,2.3980006123478906e-10,0.028958565048454163
ENSG00000235109.7,ZSCAN31,-5.825943077933527,-0.07928870723749061,5.679097191187471e-09,0.04706693461583811,0.3802546257130931,7.421265053126258e-18,NA,26,36,36,6.432998351381946e-12,0.15894543805354916
ENSG00000197062.11,ZSCAN26,5.677514382537117,0.10504170397501209,1.366660392810319e-08,0.026912508793857218,0.2392178775989225,3.112728339928383e-10,NA,23,37,37,9.174964318962871e-17,0.22442306665852216
ENSG00000152760.9,TCTEX1D1,-5.586447074560395,-0.14777902630417095,2.3176213531876588e-08,0.013827190444077576,0.06331766349315553,0.0020244262776366625,NA,23,23,23,6.5029923347376595e-09,0.08445888495520698
ENSG00000145020.15,AMT,-4.786122531564734,-0.07933958919193707,1.7003427197943775e-06,0.03287327097123925,0.244005669161288,2.346600571213604e-10,NA,35,35,35,4.2619997877709827e-07,0.06531118127687774
ENSG00000270604.5,HCG17,4.751412868499756,1.1731600988267663,2.020002007977191e-06,0.00015097079816754467,0.2032702194561393,5.437709832680484e-09,NA,1,31,31,2.020002007977191e-06,0.017729890422288726
ENSG00000173540.12,GMPPB,4.734476534453784,0.05598089393275319,2.196211773020447e-06,0.07077358207047901,0.3880662848261988,1.0508037264731922e-18,NA,25,26,26,4.9730062468713976e-08,0.21693213030388744
ENSG00000143801.16,PSEN2,4.7226940486674,0.22077053126186383,2.3274084434429882e-06,0.004126020652680484,0.07791680347428381,0.0006372332607932425,NA,8,8,8,3.555998334444584e-07,0.03221603375311982
ENSG00000186470.13,BTN3A2,4.665159926629025,0.04284283249097358,3.0837710482946095e-06,0.09819490020648146,0.3122068637699115,1.632780528941665e-14,NA,50,51,51,1.8700016651021394e-12,0.3749060624136422
ENSG00000109919.9,MTCH2,-4.571383204517548,-0.10599190491983192,4.8451531617210025e-06,0.01595361520064012,0.17470537201526665,6.486993887230457e-08,NA,13,13,13,3.3880002557059314e-06,0.029305835295995914
ENSG00000111707.11,SUDS3,4.447801642083269,0.2560652872557793,8.675358463953854e-06,0.0027474011138205632,0.046319491006464535,0.007061292772404213,NA,18,18,18,3.425997455495467e-06,0.00907311773627375
ENSG00000143442.21,POGZ,-4.339296892335424,-0.2861628193253759,1.4293930569472584e-05,0.002577556306442569,0.13798523565793405,3.2182871405644552e-06,NA,26,26,26,1.0609998734930835e-05,0.04734085705131521
ENSG00000052795.12,FNIP2,-4.31278934240029,-0.12833908594553303,1.6120770309866402e-05,0.01062487526847694,0.14636655068787416,6.276749403279258e-07,NA,13,13,13,2.324998347248921e-06,0.040191567630855234
ENSG00000148848.14,ADAM12,4.265731349441782,0.07279593359569812,1.9924842330362088e-05,0.03002644672687205,0.0733393904165779,0.0008943498540698168,NA,45,47,47,0.0002607000406200235,0.1572996216393919
ENSG00000171574.17,ZNF584,4.261636963086336,0.20508086244695825,2.0293491991984063e-05,0.004042717603634653,0.0519359330556137,0.004940481042537129,NA,9,9,9,3.46300320352613e-05,0.03327043699073939
ENSG00000142599.17,RERE,-4.251288197144673,-0.12049799248927844,2.1254445491537994e-05,0.012047262417818668,0.08451454882820318,0.0003132392170192284,NA,18,18,18,2.227000197589672e-05,0.03276131141069065
ENSG00000278376.1,RP11-158I9.8,4.117212769305578,0.05808198130662218,3.834820098227895e-05,0.03547339285742906,0.2766852392503203,1.8969018886971154e-13,NA,56,56,56,2.574001563399388e-07,0.1235704946277742
ENSG00000224389.8,C4B,-4.044784732616774,-0.3060545967101365,5.23712234262754e-05,0.0017546011132465475,0.1374104494844882,4.6951496748027125e-06,NA,8,68,68,0.0009915995813762602,0.048281366393224286
ENSG00000234745.10,HLA-B,3.9760595458167303,0.3187347207855314,7.006658818603394e-05,0.0013773295963548783,0.03273239113480566,0.03092714835709356,NA,6,39,39,6.87199946948543e-05,0.04389387508005407
ENSG00000174899.10,PQLC2L,-3.966625901768192,-0.079290835859024,7.289727575106382e-05,0.02355463959416328,0.10723114791156643,2.4741537785743827e-05,NA,17,17,17,6.2650022383801094e-06,0.08339379874777325
ENSG00000233276.3,GPX1,3.9477008958235884,0.18067151135903536,7.8905298521649e-05,0.004355112376830143,0.09496909973322497,0.00014838918938437073,NA,27,28,28,5.055996623127319e-08,0.01861811463730158
ENSG00000119414.11,PPP6C,3.9127528637442306,0.21327430822949076,9.124990769495039e-05,0.0034906855715633287,0.0888802915913006,0.0002827332997460924,NA,18,18,18,6.740999713292144e-05,0.025504111852474788
ENSG00000204410.14,MSH5,3.883974384734173,1.499586354027186,0.00010276273876627385,7.634009131531152e-05,0.07187548003627223,0.0008808840479215352,NA,2,15,15,0.0005525000102162726,0.011497245660084207
ENSG00000154328.15,NEIL2,-3.8735633874220774,-0.07558053084318439,0.00010725549332029449,0.02614615620880939,0.1976777948416232,4.504751551072824e-09,NA,36,36,36,3.973002524081326e-05,0.21040010221720065
ENSG00000234177.5,LINC01114,-3.839160099321236,-0.07180365933259589,0.00012345591184187893,0.026408287523667185,0.194167151089808,1.6522134945437192e-08,NA,52,52,52,2.2089999412916416e-05,0.07134964703925645
ENSG00000182667.14,NTM,3.8331575633449213,0.12737409712130746,0.0001265088646949832,0.008578164052042599,0.08780807319763616,0.00021535342552418883,NA,28,29,29,0.0003371000197788306,0.05739524637362663
ENSG00000144199.11,FAHD2B,-3.8293569850812688,-0.08601100343240176,0.00012847852134442153,0.01909010866067934,0.2283600610898268,1.072334822566667e-09,NA,14,16,16,0.00015659996927189164,0.062321381028489664
ENSG00000055955.15,ITIH4,-3.8059649789194485,-0.06968832239313467,0.00014125237054780446,0.02582426194595471,0.2829852328782593,3.1703219792523313e-12,NA,32,33,33,3.700003828012771e-05,0.02708842990277105
ENSG00000114200.9,BCHE,3.7475902691419893,0.127999616728693,0.00017854159126880299,0.007787264971198424,0.11049687455130193,5.5175477673556166e-05,NA,6,6,6,4.1479977276296164e-05,0.1128968710803003
ENSG00000054219.10,LY75,3.7348504196927337,0.11456768416999283,0.00018782679202969214,0.009262497679297406,0.043075503496728916,0.011718419583079395,NA,10,10,10,9.863011924049939e-08,0.0751650694413241
ENSG00000172671.19,ZFAND4,3.7225335720522987,0.17985668624395212,0.000197233673921075,0.004293281537867686,0.05911345428252419,0.0030511672505224674,NA,39,55,55,0.0001912000109791819,0.04787883200756347
ENSG00000105928.13,DFNA5,3.717577075651791,0.0354501131785589,0.00020114263012309042,0.11367201765341226,0.3919045110193407,5.426859395666613e-18,NA,17,17,17,0.00010749997634686273,0.08134462167316145
ENSG00000163281.11,GNPDA2,-3.660542322628265,-0.06996324820807975,0.00025168197571298823,0.02286043583222071,0.2411545180835581,6.441418698667629e-11,NA,23,23,23,0.0005108998464459869,0.11410691826266993
