label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.667582833878771
caudalanteriorcingulate	L	cortex	6.049973393545098
caudalmiddlefrontal	L	cortex	5.774134516123189
cuneus	L	cortex	5.488681635977159
entorhinal	L	cortex	6.339325840453821
fusiform	L	cortex	5.790859989274086
inferiorparietal	L	cortex	5.712739812455035
inferiortemporal	L	cortex	5.728490518780627
isthmuscingulate	L	cortex	5.6930158417991
lateraloccipital	L	cortex	5.580977631904666
lateralorbitofrontal	L	cortex	5.750732697840975
lingual	L	cortex	5.585658170483111
medialorbitofrontal	L	cortex	5.84706068961302
middletemporal	L	cortex	5.866403128573447
parahippocampal	L	cortex	5.959327171555096
paracentral	L	cortex	5.5709059501777025
parsopercularis	L	cortex	5.7415300921402
parsorbitalis	L	cortex	5.708615733920727
parstriangularis	L	cortex	5.7423759603910245
pericalcarine	L	cortex	5.449546541073901
postcentral	L	cortex	5.815901609204919
posteriorcingulate	L	cortex	5.8485777626480795
precentral	L	cortex	5.77023953550995
precuneus	L	cortex	5.62863267595214
rostralanteriorcingulate	L	cortex	5.977173939010234
rostralmiddlefrontal	L	cortex	5.634454669246143
superiorfrontal	L	cortex	5.786095568921334
superiorparietal	L	cortex	5.658467228516823
superiortemporal	L	cortex	5.850552445923865
supramarginal	L	cortex	5.894580499929121
frontalpole	L	cortex	5.387533980547967
temporalpole	L	cortex	5.759834261862888
transversetemporal	L	cortex	5.7383045167803095
insula	L	cortex	5.862913973600946
thalamusproper	L	subcortex/brainstem	5.978542677879525
caudate	L	subcortex/brainstem	6.145533302256943
putamen	L	subcortex/brainstem	6.089455093911703
pallidum	L	subcortex/brainstem	6.403679322341995
accumbensarea	L	subcortex/brainstem	6.071163097427382
hippocampus	L	subcortex/brainstem	6.048581709777292
amygdala	L	subcortex/brainstem	5.906760163330212
bankssts	R	cortex	5.619015130230296
caudalanteriorcingulate	R	cortex	6.060219643142243
caudalmiddlefrontal	R	cortex	5.793414132223658
cuneus	R	cortex	5.4890676587971985
entorhinal	R	cortex	6.40358083037955
fusiform	R	cortex	5.765491029784313
inferiorparietal	R	cortex	5.724425078540756
inferiortemporal	R	cortex	5.730506685954548
isthmuscingulate	R	cortex	5.689592990162348
lateraloccipital	R	cortex	5.583799053093143
lateralorbitofrontal	R	cortex	5.740768521163063
lingual	R	cortex	5.595326234836744
medialorbitofrontal	R	cortex	5.888517984794842
middletemporal	R	cortex	5.846789516580977
parahippocampal	R	cortex	5.94243927563743
paracentral	R	cortex	5.56072399697922
parsopercularis	R	cortex	5.774709724983724
parsorbitalis	R	cortex	5.679820863687198
parstriangularis	R	cortex	5.775539368814066
pericalcarine	R	cortex	5.355548506706627
postcentral	R	cortex	5.823561287574774
posteriorcingulate	R	cortex	5.885224574987277
precentral	R	cortex	5.763224493051317
precuneus	R	cortex	5.627860442471942
rostralanteriorcingulate	R	cortex	5.807546467198701
rostralmiddlefrontal	R	cortex	5.616983189878962
superiorfrontal	R	cortex	5.800643488775844
superiorparietal	R	cortex	5.65747615972068
superiortemporal	R	cortex	5.847742732936847
supramarginal	R	cortex	5.847798724516454
frontalpole	R	cortex	6.118040333701175
temporalpole	R	cortex	5.744257175838157
transversetemporal	R	cortex	5.765323220432483
insula	R	cortex	5.850280294159452
thalamusproper	R	subcortex/brainstem	6.011570219486132
caudate	R	subcortex/brainstem	6.0993152269020365
putamen	R	subcortex/brainstem	6.0821871229998035
pallidum	R	subcortex/brainstem	6.353707867466357
accumbensarea	R	subcortex/brainstem	6.174581280793851
hippocampus	R	subcortex/brainstem	6.04223901753715
amygdala	R	subcortex/brainstem	6.0386572715349365
brainstem	B	subcortex/brainstem	6.094267734293393
