label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.610667872453849
caudalanteriorcingulate	L	cortex	6.696669221928982
caudalmiddlefrontal	L	cortex	6.633891935103954
cuneus	L	cortex	6.545193729457353
entorhinal	L	cortex	6.700682346877634
fusiform	L	cortex	6.6014141921619025
inferiorparietal	L	cortex	6.620930635683842
inferiortemporal	L	cortex	6.613922109791018
isthmuscingulate	L	cortex	6.65445073187656
lateraloccipital	L	cortex	6.63789671439306
lateralorbitofrontal	L	cortex	6.599723813260674
lingual	L	cortex	6.59495281461732
medialorbitofrontal	L	cortex	6.6127594042056135
middletemporal	L	cortex	6.654094242657258
parahippocampal	L	cortex	6.584176649232469
paracentral	L	cortex	6.6090273754553515
parsopercularis	L	cortex	6.624963813834948
parsorbitalis	L	cortex	6.592825247662162
parstriangularis	L	cortex	6.623148652195838
pericalcarine	L	cortex	6.558092536961064
postcentral	L	cortex	6.63286543845375
posteriorcingulate	L	cortex	6.657410574080509
precentral	L	cortex	6.643976919600354
precuneus	L	cortex	6.621452453920079
rostralanteriorcingulate	L	cortex	6.688885152115737
rostralmiddlefrontal	L	cortex	6.601830085363886
superiorfrontal	L	cortex	6.637720479751205
superiorparietal	L	cortex	6.602944765100809
superiortemporal	L	cortex	6.626234016638366
supramarginal	L	cortex	6.661303771098108
frontalpole	L	cortex	6.533946850952171
temporalpole	L	cortex	6.5726904190732744
transversetemporal	L	cortex	6.616025924208237
insula	L	cortex	6.630487083753677
thalamusproper	L	subcortex/brainstem	6.573252821697896
caudate	L	subcortex/brainstem	6.5349947481602335
putamen	L	subcortex/brainstem	6.579901262036545
pallidum	L	subcortex/brainstem	6.575404428185784
accumbensarea	L	subcortex/brainstem	6.413719337398418
hippocampus	L	subcortex/brainstem	6.481114526915654
amygdala	L	subcortex/brainstem	6.511425097380039
bankssts	R	cortex	6.641912830435657
caudalanteriorcingulate	R	cortex	6.700452078862355
caudalmiddlefrontal	R	cortex	6.635449576587538
cuneus	R	cortex	6.543796897185008
entorhinal	R	cortex	6.722635787002399
fusiform	R	cortex	6.5936931270472865
inferiorparietal	R	cortex	6.621190616296222
inferiortemporal	R	cortex	6.61327586284621
isthmuscingulate	R	cortex	6.655416866869488
lateraloccipital	R	cortex	6.648245061951104
lateralorbitofrontal	R	cortex	6.600832614304944
lingual	R	cortex	6.592424999760647
medialorbitofrontal	R	cortex	6.627964685528466
middletemporal	R	cortex	6.650209628450169
parahippocampal	R	cortex	6.584491838018244
paracentral	R	cortex	6.6072881935414545
parsopercularis	R	cortex	6.623258298839952
parsorbitalis	R	cortex	6.584040816446515
parstriangularis	R	cortex	6.653042549211222
pericalcarine	R	cortex	6.559199509717735
postcentral	R	cortex	6.633374588777142
posteriorcingulate	R	cortex	6.671338024476768
precentral	R	cortex	6.643462943151624
precuneus	R	cortex	6.62157571722017
rostralanteriorcingulate	R	cortex	6.626351612337527
rostralmiddlefrontal	R	cortex	6.598202576086734
superiorfrontal	R	cortex	6.638481912710578
superiorparietal	R	cortex	6.605645098303178
superiortemporal	R	cortex	6.622162147912566
supramarginal	R	cortex	6.642813269836224
frontalpole	R	cortex	6.5927125872525085
temporalpole	R	cortex	6.5715677062324795
transversetemporal	R	cortex	6.621712761525008
insula	R	cortex	6.626225008243972
thalamusproper	R	subcortex/brainstem	6.588938421274277
caudate	R	subcortex/brainstem	6.519894808704672
putamen	R	subcortex/brainstem	6.547049755897923
pallidum	R	subcortex/brainstem	6.574416005555572
accumbensarea	R	subcortex/brainstem	6.451404105790485
hippocampus	R	subcortex/brainstem	6.476833694924065
amygdala	R	subcortex/brainstem	6.567569607630565
brainstem	B	subcortex/brainstem	6.556097091375368
