label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.522162922038302
caudalanteriorcingulate	L	cortex	7.536711670277733
caudalmiddlefrontal	L	cortex	7.419490215975522
cuneus	L	cortex	7.600385951984858
entorhinal	L	cortex	7.643834058177906
fusiform	L	cortex	7.434167573512185
inferiorparietal	L	cortex	7.510135979382507
inferiortemporal	L	cortex	7.410740765736758
isthmuscingulate	L	cortex	7.620785599432348
lateraloccipital	L	cortex	7.649987791495023
lateralorbitofrontal	L	cortex	7.319767586949744
lingual	L	cortex	7.681413271406313
medialorbitofrontal	L	cortex	7.340459763661836
middletemporal	L	cortex	7.407646077497685
parahippocampal	L	cortex	7.505294679867518
paracentral	L	cortex	7.424201953911415
parsopercularis	L	cortex	7.383721817196403
parsorbitalis	L	cortex	7.285762841506711
parstriangularis	L	cortex	7.339005924624849
pericalcarine	L	cortex	7.789903094673792
postcentral	L	cortex	7.486783080390946
posteriorcingulate	L	cortex	7.4396575383206835
precentral	L	cortex	7.500478607883579
precuneus	L	cortex	7.502527701103644
rostralanteriorcingulate	L	cortex	7.417630655135045
rostralmiddlefrontal	L	cortex	7.319053489517077
superiorfrontal	L	cortex	7.390968714176219
superiorparietal	L	cortex	7.4704460751543715
superiortemporal	L	cortex	7.432491580838215
supramarginal	L	cortex	7.504724372804174
frontalpole	L	cortex	7.105019065226255
temporalpole	L	cortex	7.559196449561484
transversetemporal	L	cortex	7.516708349002504
insula	L	cortex	7.458989499817257
thalamusproper	L	subcortex/brainstem	7.835430858030048
caudate	L	subcortex/brainstem	7.617028784412198
putamen	L	subcortex/brainstem	7.921747441732539
pallidum	L	subcortex/brainstem	7.845709753374405
accumbensarea	L	subcortex/brainstem	7.449504395036207
hippocampus	L	subcortex/brainstem	8.075979032642278
amygdala	L	subcortex/brainstem	7.963526033988098
bankssts	R	cortex	7.542723208665359
caudalanteriorcingulate	R	cortex	7.5420988333344035
caudalmiddlefrontal	R	cortex	7.428054148285091
cuneus	R	cortex	7.588224885121643
entorhinal	R	cortex	7.694368397436034
fusiform	R	cortex	7.409267438830674
inferiorparietal	R	cortex	7.496397103612626
inferiortemporal	R	cortex	7.40951984954103
isthmuscingulate	R	cortex	7.591425016788449
lateraloccipital	R	cortex	7.660232915025898
lateralorbitofrontal	R	cortex	7.291044497488442
lingual	R	cortex	7.688468142959832
medialorbitofrontal	R	cortex	7.352193360269872
middletemporal	R	cortex	7.408652661855328
parahippocampal	R	cortex	7.545517869486523
paracentral	R	cortex	7.402552129986063
parsopercularis	R	cortex	7.370333753311146
parsorbitalis	R	cortex	7.244078605699592
parstriangularis	R	cortex	7.313493194710966
pericalcarine	R	cortex	7.840242055435322
postcentral	R	cortex	7.476051348226398
posteriorcingulate	R	cortex	7.445242458313209
precentral	R	cortex	7.507547847167938
precuneus	R	cortex	7.500576713883183
rostralanteriorcingulate	R	cortex	7.353838676333797
rostralmiddlefrontal	R	cortex	7.324877805431073
superiorfrontal	R	cortex	7.398429782044867
superiorparietal	R	cortex	7.465821545086644
superiortemporal	R	cortex	7.4323233946608305
supramarginal	R	cortex	7.4911636149865055
frontalpole	R	cortex	6.937258911214211
temporalpole	R	cortex	7.555967676966075
transversetemporal	R	cortex	7.523460404448493
insula	R	cortex	7.457204906266367
thalamusproper	R	subcortex/brainstem	7.85321956827767
caudate	R	subcortex/brainstem	7.598498957131526
putamen	R	subcortex/brainstem	7.8594657621171855
pallidum	R	subcortex/brainstem	7.8065006920968685
accumbensarea	R	subcortex/brainstem	7.536427864977756
hippocampus	R	subcortex/brainstem	8.076105997613947
amygdala	R	subcortex/brainstem	7.97249319649704
brainstem	B	subcortex/brainstem	8.092722797385617
