label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.901627804322845
caudalanteriorcingulate	L	cortex	6.992558733882564
caudalmiddlefrontal	L	cortex	6.940592286299393
cuneus	L	cortex	6.910612185932602
entorhinal	L	cortex	6.954589983414192
fusiform	L	cortex	6.863163883932141
inferiorparietal	L	cortex	6.912630032372425
inferiortemporal	L	cortex	6.876928549484889
isthmuscingulate	L	cortex	6.965422372991337
lateraloccipital	L	cortex	6.97798342544206
lateralorbitofrontal	L	cortex	6.873590144648892
lingual	L	cortex	6.95339665361925
medialorbitofrontal	L	cortex	6.879278189716565
middletemporal	L	cortex	6.924705735588732
parahippocampal	L	cortex	6.860328256637617
paracentral	L	cortex	6.901329836620362
parsopercularis	L	cortex	6.9121243238610175
parsorbitalis	L	cortex	6.882186402306204
parstriangularis	L	cortex	6.909854052090301
pericalcarine	L	cortex	6.958148195612535
postcentral	L	cortex	6.947960772768982
posteriorcingulate	L	cortex	6.9614979366646725
precentral	L	cortex	6.951613562648199
precuneus	L	cortex	6.927124474786771
rostralanteriorcingulate	L	cortex	6.9771445954138525
rostralmiddlefrontal	L	cortex	6.8824528913916065
superiorfrontal	L	cortex	6.936955784672785
superiorparietal	L	cortex	6.904188989914062
superiortemporal	L	cortex	6.908853270406954
supramarginal	L	cortex	6.942190339803704
frontalpole	L	cortex	6.776397620173287
temporalpole	L	cortex	6.784101346542422
transversetemporal	L	cortex	6.942809619356411
insula	L	cortex	6.9161275588599125
thalamusproper	L	subcortex/brainstem	6.816409621985604
caudate	L	subcortex/brainstem	7.000563401280646
putamen	L	subcortex/brainstem	7.011580274710627
pallidum	L	subcortex/brainstem	6.934191733057897
accumbensarea	L	subcortex/brainstem	6.8387338184309945
hippocampus	L	subcortex/brainstem	6.753997783742854
amygdala	L	subcortex/brainstem	6.872243610351412
bankssts	R	cortex	6.92244923729384
caudalanteriorcingulate	R	cortex	6.9962454026076175
caudalmiddlefrontal	R	cortex	6.939314109266832
cuneus	R	cortex	6.911865832971451
entorhinal	R	cortex	6.972786114244044
fusiform	R	cortex	6.852848477193396
inferiorparietal	R	cortex	6.914464162327099
inferiortemporal	R	cortex	6.87397202823553
isthmuscingulate	R	cortex	6.965828818749892
lateraloccipital	R	cortex	6.993406232113658
lateralorbitofrontal	R	cortex	6.87374129701108
lingual	R	cortex	6.9517275059628085
medialorbitofrontal	R	cortex	6.897669412482164
middletemporal	R	cortex	6.922379418940971
parahippocampal	R	cortex	6.86197192945433
paracentral	R	cortex	6.8988602205160205
parsopercularis	R	cortex	6.910118965296313
parsorbitalis	R	cortex	6.876348607061428
parstriangularis	R	cortex	6.938603599315498
pericalcarine	R	cortex	6.951163261439203
postcentral	R	cortex	6.947456296003526
posteriorcingulate	R	cortex	6.9774421358209
precentral	R	cortex	6.950437640608003
precuneus	R	cortex	6.927522308312285
rostralanteriorcingulate	R	cortex	6.894115562292422
rostralmiddlefrontal	R	cortex	6.878142976015557
superiorfrontal	R	cortex	6.939281140878133
superiorparietal	R	cortex	6.904883394565909
superiortemporal	R	cortex	6.906603055803854
supramarginal	R	cortex	6.9313884954397045
frontalpole	R	cortex	6.832446560383407
temporalpole	R	cortex	6.77223626487986
transversetemporal	R	cortex	6.945373107185179
insula	R	cortex	6.910538447336258
thalamusproper	R	subcortex/brainstem	6.832539884648887
caudate	R	subcortex/brainstem	6.9722148572169695
putamen	R	subcortex/brainstem	6.988554609409553
pallidum	R	subcortex/brainstem	6.936980443491344
accumbensarea	R	subcortex/brainstem	6.8586017424698005
hippocampus	R	subcortex/brainstem	6.750155373177978
amygdala	R	subcortex/brainstem	6.923270143985592
brainstem	B	subcortex/brainstem	6.950924209110468
