label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.589809659840039
caudalanteriorcingulate	L	cortex	6.218417400033017
caudalmiddlefrontal	L	cortex	6.489656185283227
cuneus	L	cortex	6.624353829112626
entorhinal	L	cortex	6.17093222735302
fusiform	L	cortex	6.42010005728191
inferiorparietal	L	cortex	6.600231983749007
inferiortemporal	L	cortex	6.4567041762090795
isthmuscingulate	L	cortex	6.600041976932632
lateraloccipital	L	cortex	6.754732079904566
lateralorbitofrontal	L	cortex	6.440541208225838
lingual	L	cortex	6.692675763948892
medialorbitofrontal	L	cortex	6.389694014126792
middletemporal	L	cortex	6.513880843971694
parahippocampal	L	cortex	6.239527453603584
paracentral	L	cortex	6.531475325735515
parsopercularis	L	cortex	6.53070808612916
parsorbitalis	L	cortex	6.500236431503899
parstriangularis	L	cortex	6.549825161732355
pericalcarine	L	cortex	6.722835619054048
postcentral	L	cortex	6.638088121362062
posteriorcingulate	L	cortex	6.43846065594405
precentral	L	cortex	6.564003161705705
precuneus	L	cortex	6.593034758786464
rostralanteriorcingulate	L	cortex	6.364073036587754
rostralmiddlefrontal	L	cortex	6.497406460550281
superiorfrontal	L	cortex	6.424690093317708
superiorparietal	L	cortex	6.5784473562995736
superiortemporal	L	cortex	6.46253424511223
supramarginal	L	cortex	6.54279138076339
frontalpole	L	cortex	6.383068004168323
temporalpole	L	cortex	6.136970042513649
transversetemporal	L	cortex	6.683109742204997
insula	L	cortex	6.349145003453885
thalamusproper	L	subcortex/brainstem	6.204063983505029
caudate	L	subcortex/brainstem	6.064093889016773
putamen	L	subcortex/brainstem	6.1157618992367615
pallidum	L	subcortex/brainstem	6.05306900511372
accumbensarea	L	subcortex/brainstem	5.616965705523847
hippocampus	L	subcortex/brainstem	5.898188123996599
amygdala	L	subcortex/brainstem	5.78409499721544
bankssts	R	cortex	6.574949910105124
caudalanteriorcingulate	R	cortex	6.220298399541277
caudalmiddlefrontal	R	cortex	6.485030818560245
cuneus	R	cortex	6.626330170621079
entorhinal	R	cortex	6.194410978983165
fusiform	R	cortex	6.408898881766458
inferiorparietal	R	cortex	6.606151662478549
inferiortemporal	R	cortex	6.448566260572728
isthmuscingulate	R	cortex	6.600916656131823
lateraloccipital	R	cortex	6.765924996002753
lateralorbitofrontal	R	cortex	6.4427423084278175
lingual	R	cortex	6.693614780830243
medialorbitofrontal	R	cortex	6.40797843679317
middletemporal	R	cortex	6.513964665322646
parahippocampal	R	cortex	6.27146152411999
paracentral	R	cortex	6.5145522219990335
parsopercularis	R	cortex	6.5034217714600615
parsorbitalis	R	cortex	6.454295365159013
parstriangularis	R	cortex	6.578776350679527
pericalcarine	R	cortex	6.7623325251561965
postcentral	R	cortex	6.638425716939976
posteriorcingulate	R	cortex	6.44825176518963
precentral	R	cortex	6.562924839915565
precuneus	R	cortex	6.591400800472673
rostralanteriorcingulate	R	cortex	6.181942233267141
rostralmiddlefrontal	R	cortex	6.4957289786935775
superiorfrontal	R	cortex	6.4241882406366315
superiorparietal	R	cortex	6.579274096503323
superiortemporal	R	cortex	6.462226368581207
supramarginal	R	cortex	6.534775671596559
frontalpole	R	cortex	6.755226786111774
temporalpole	R	cortex	6.116095593190454
transversetemporal	R	cortex	6.6820517263237065
insula	R	cortex	6.337839146544665
thalamusproper	R	subcortex/brainstem	6.233501382143536
caudate	R	subcortex/brainstem	6.030795844177802
putamen	R	subcortex/brainstem	6.032890629665564
pallidum	R	subcortex/brainstem	6.013873342716698
accumbensarea	R	subcortex/brainstem	5.64015616403409
hippocampus	R	subcortex/brainstem	5.89542089537677
amygdala	R	subcortex/brainstem	5.819955588782967
brainstem	B	subcortex/brainstem	6.103748303147301
