label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.020677088007169
caudalanteriorcingulate	L	cortex	6.874431826570407
caudalmiddlefrontal	L	cortex	6.917191817322855
cuneus	L	cortex	6.992831976009838
entorhinal	L	cortex	6.875208524744776
fusiform	L	cortex	6.925909047509472
inferiorparietal	L	cortex	7.012988429037571
inferiortemporal	L	cortex	6.92982304488835
isthmuscingulate	L	cortex	7.051766272895382
lateraloccipital	L	cortex	7.096649180774428
lateralorbitofrontal	L	cortex	6.883484782361637
lingual	L	cortex	7.0746391373060735
medialorbitofrontal	L	cortex	6.883879265312495
middletemporal	L	cortex	6.97439546888395
parahippocampal	L	cortex	6.772985201390522
paracentral	L	cortex	7.02402905726628
parsopercularis	L	cortex	6.999429704418474
parsorbitalis	L	cortex	6.909294711286736
parstriangularis	L	cortex	7.011026990682657
pericalcarine	L	cortex	7.0554012953265985
postcentral	L	cortex	7.099217580660324
posteriorcingulate	L	cortex	6.9970144798217015
precentral	L	cortex	7.037130302872753
precuneus	L	cortex	6.99485758060236
rostralanteriorcingulate	L	cortex	6.932284657697862
rostralmiddlefrontal	L	cortex	6.916279898972213
superiorfrontal	L	cortex	6.917766111345217
superiorparietal	L	cortex	6.996975840795312
superiortemporal	L	cortex	6.936074512635828
supramarginal	L	cortex	7.060839930273329
frontalpole	L	cortex	6.666934022216637
temporalpole	L	cortex	6.77325274066132
transversetemporal	L	cortex	7.031212335277103
insula	L	cortex	6.857046499347848
thalamusproper	L	subcortex/brainstem	6.838293736160151
caudate	L	subcortex/brainstem	6.363468505379779
putamen	L	subcortex/brainstem	6.476871028103013
pallidum	L	subcortex/brainstem	6.579381275989336
accumbensarea	L	subcortex/brainstem	6.358524732764952
hippocampus	L	subcortex/brainstem	6.729387404019722
amygdala	L	subcortex/brainstem	6.407793552417045
bankssts	R	cortex	7.031136734225542
caudalanteriorcingulate	R	cortex	6.880519474248738
caudalmiddlefrontal	R	cortex	6.917200779038733
cuneus	R	cortex	7.002489484726897
entorhinal	R	cortex	6.905451746996308
fusiform	R	cortex	6.911865981403333
inferiorparietal	R	cortex	7.010617909686434
inferiortemporal	R	cortex	6.9251590953482225
isthmuscingulate	R	cortex	7.037141115184779
lateraloccipital	R	cortex	7.117256027692326
lateralorbitofrontal	R	cortex	6.885172853539135
lingual	R	cortex	7.0726639649713965
medialorbitofrontal	R	cortex	6.8972312234374
middletemporal	R	cortex	6.971353119025932
parahippocampal	R	cortex	6.803129290753402
paracentral	R	cortex	7.017200132610431
parsopercularis	R	cortex	6.972723118552714
parsorbitalis	R	cortex	6.890696405649621
parstriangularis	R	cortex	7.047836381696175
pericalcarine	R	cortex	7.0784108454723125
postcentral	R	cortex	7.09699297996927
posteriorcingulate	R	cortex	7.011492314985289
precentral	R	cortex	7.03958751109475
precuneus	R	cortex	6.9976699176022334
rostralanteriorcingulate	R	cortex	6.809555740578022
rostralmiddlefrontal	R	cortex	6.911516447158211
superiorfrontal	R	cortex	6.91444774304966
superiorparietal	R	cortex	6.999120188387984
superiortemporal	R	cortex	6.930746025418682
supramarginal	R	cortex	7.046989150807987
frontalpole	R	cortex	6.845490544874021
temporalpole	R	cortex	6.758557111107157
transversetemporal	R	cortex	7.043056344665933
insula	R	cortex	6.850667022944104
thalamusproper	R	subcortex/brainstem	6.840313514181506
caudate	R	subcortex/brainstem	6.379051021810177
putamen	R	subcortex/brainstem	6.422403799196867
pallidum	R	subcortex/brainstem	6.564298114514649
accumbensarea	R	subcortex/brainstem	6.400474285146008
hippocampus	R	subcortex/brainstem	6.7305282341310315
amygdala	R	subcortex/brainstem	6.468013690902981
brainstem	B	subcortex/brainstem	6.664880287529954
