label	hemisphere	structure	weighted_avg
bankssts	L	cortex	4.638408390570493
caudalanteriorcingulate	L	cortex	5.253277167385151
caudalmiddlefrontal	L	cortex	5.161585731637866
cuneus	L	cortex	4.744413549809472
entorhinal	L	cortex	5.2673664385245935
fusiform	L	cortex	4.724790690921151
inferiorparietal	L	cortex	4.668885452294946
inferiortemporal	L	cortex	4.741054929448542
isthmuscingulate	L	cortex	4.630549746279453
lateraloccipital	L	cortex	4.59641860570106
lateralorbitofrontal	L	cortex	4.969424531766527
lingual	L	cortex	4.74973709996532
medialorbitofrontal	L	cortex	5.051921930826913
middletemporal	L	cortex	4.82138890132199
parahippocampal	L	cortex	5.045290019775481
paracentral	L	cortex	4.823337284995447
parsopercularis	L	cortex	4.9323220810865545
parsorbitalis	L	cortex	4.870024070795703
parstriangularis	L	cortex	5.0479859812686
pericalcarine	L	cortex	4.704894408736225
postcentral	L	cortex	4.881700460887718
posteriorcingulate	L	cortex	5.078561328983376
precentral	L	cortex	4.927018438179356
precuneus	L	cortex	4.738477161583293
rostralanteriorcingulate	L	cortex	5.270895088926856
rostralmiddlefrontal	L	cortex	4.8142137593199825
superiorfrontal	L	cortex	5.163810636219396
superiorparietal	L	cortex	4.705289855908268
superiortemporal	L	cortex	4.878907252757031
supramarginal	L	cortex	4.937112116860678
frontalpole	L	cortex	4.617926264689926
temporalpole	L	cortex	4.627456755023165
transversetemporal	L	cortex	4.917691719248781
insula	L	cortex	5.137808095597907
thalamusproper	L	subcortex/brainstem	6.404881714904078
caudate	L	subcortex/brainstem	7.070335436129742
putamen	L	subcortex/brainstem	6.685711587060449
pallidum	L	subcortex/brainstem	6.392944131940365
accumbensarea	L	subcortex/brainstem	6.692468110101099
hippocampus	L	subcortex/brainstem	5.675791533635672
amygdala	L	subcortex/brainstem	5.713983870621567
bankssts	R	cortex	4.775272100133657
caudalanteriorcingulate	R	cortex	5.250316663215509
caudalmiddlefrontal	R	cortex	5.164171029210059
cuneus	R	cortex	4.750057251506193
entorhinal	R	cortex	5.211890780355178
fusiform	R	cortex	4.697882528394484
inferiorparietal	R	cortex	4.662964029162208
inferiortemporal	R	cortex	4.733484182700632
isthmuscingulate	R	cortex	4.598542655028237
lateraloccipital	R	cortex	4.639241140680249
lateralorbitofrontal	R	cortex	4.9444630213274205
lingual	R	cortex	4.752115947215051
medialorbitofrontal	R	cortex	5.058382530508151
middletemporal	R	cortex	4.821397431869625
parahippocampal	R	cortex	4.959478424072248
paracentral	R	cortex	4.843243742829525
parsopercularis	R	cortex	5.079200542233949
parsorbitalis	R	cortex	4.891654057665762
parstriangularis	R	cortex	5.000879729300123
pericalcarine	R	cortex	4.395365347556991
postcentral	R	cortex	4.867733377442559
posteriorcingulate	R	cortex	5.12086092772837
precentral	R	cortex	4.933174524796524
precuneus	R	cortex	4.735319678808882
rostralanteriorcingulate	R	cortex	5.274049480771589
rostralmiddlefrontal	R	cortex	4.80543117722845
superiorfrontal	R	cortex	5.182060918680802
superiorparietal	R	cortex	4.721096342597468
superiortemporal	R	cortex	4.871998162655811
supramarginal	R	cortex	4.939472760891343
frontalpole	R	cortex	4.465266954758604
temporalpole	R	cortex	4.604333284270954
transversetemporal	R	cortex	4.880368954099098
insula	R	cortex	5.130045615556563
thalamusproper	R	subcortex/brainstem	6.382957550287122
caudate	R	subcortex/brainstem	6.967307574050041
putamen	R	subcortex/brainstem	6.844548318897021
pallidum	R	subcortex/brainstem	6.468551822336522
accumbensarea	R	subcortex/brainstem	6.688346181759924
hippocampus	R	subcortex/brainstem	5.644918340526219
amygdala	R	subcortex/brainstem	5.9688804375155815
brainstem	B	subcortex/brainstem	6.83475366631239
