label	hemisphere	structure	weighted_avg
bankssts	L	cortex	7.0477688271229315
caudalanteriorcingulate	L	cortex	6.7766931898865685
caudalmiddlefrontal	L	cortex	6.4846678313804125
cuneus	L	cortex	6.77043681951247
entorhinal	L	cortex	7.016995944625875
fusiform	L	cortex	7.164608238818763
inferiorparietal	L	cortex	7.058126594701722
inferiortemporal	L	cortex	7.095140409574737
isthmuscingulate	L	cortex	7.144095032274388
lateraloccipital	L	cortex	7.075761353839142
lateralorbitofrontal	L	cortex	6.857445609369407
lingual	L	cortex	6.962737964364645
medialorbitofrontal	L	cortex	6.897852618400749
middletemporal	L	cortex	7.0313471521937325
parahippocampal	L	cortex	6.940813454668687
paracentral	L	cortex	6.901790700738856
parsopercularis	L	cortex	6.855411353024719
parsorbitalis	L	cortex	6.8505953510408455
parstriangularis	L	cortex	6.8396502404680115
pericalcarine	L	cortex	6.791969715975241
postcentral	L	cortex	6.8762483049894305
posteriorcingulate	L	cortex	6.868120624775803
precentral	L	cortex	6.66311704490702
precuneus	L	cortex	6.9176908402702395
rostralanteriorcingulate	L	cortex	6.808175935052754
rostralmiddlefrontal	L	cortex	6.826376275583984
superiorfrontal	L	cortex	6.612986243760457
superiorparietal	L	cortex	6.983967897408142
superiortemporal	L	cortex	6.9795833256704
supramarginal	L	cortex	7.070572347540976
frontalpole	L	cortex	6.57134585687601
temporalpole	L	cortex	7.322732434298482
transversetemporal	L	cortex	6.638722225312279
insula	L	cortex	6.804449779263505
thalamusproper	L	subcortex/brainstem	6.479315966157637
caudate	L	subcortex/brainstem	4.984101569548776
putamen	L	subcortex/brainstem	5.363918772454711
pallidum	L	subcortex/brainstem	5.4899558467963745
accumbensarea	L	subcortex/brainstem	5.608433647647265
hippocampus	L	subcortex/brainstem	7.516706045720727
amygdala	L	subcortex/brainstem	6.498590999972602
bankssts	R	cortex	7.00831980493506
caudalanteriorcingulate	R	cortex	6.794932875049385
caudalmiddlefrontal	R	cortex	6.48596632097998
cuneus	R	cortex	6.779824514909953
entorhinal	R	cortex	7.085374771276891
fusiform	R	cortex	7.145078794067014
inferiorparietal	R	cortex	7.03011856103885
inferiortemporal	R	cortex	7.119791396303139
isthmuscingulate	R	cortex	7.079131727508963
lateraloccipital	R	cortex	7.077438388902601
lateralorbitofrontal	R	cortex	6.868461756944168
lingual	R	cortex	6.957283189951231
medialorbitofrontal	R	cortex	6.8935085652456465
middletemporal	R	cortex	7.017033637414386
parahippocampal	R	cortex	7.051336984169817
paracentral	R	cortex	6.8907086680919925
parsopercularis	R	cortex	6.802685155391879
parsorbitalis	R	cortex	6.833663558955975
parstriangularis	R	cortex	6.910757913676907
pericalcarine	R	cortex	6.977333129268771
postcentral	R	cortex	6.876919344256427
posteriorcingulate	R	cortex	6.868717431559816
precentral	R	cortex	6.659585906398703
precuneus	R	cortex	6.925230695680016
rostralanteriorcingulate	R	cortex	6.658409507754187
rostralmiddlefrontal	R	cortex	6.828917015227707
superiorfrontal	R	cortex	6.602607803051117
superiorparietal	R	cortex	6.979991765138924
superiortemporal	R	cortex	6.9663831427079845
supramarginal	R	cortex	7.024530024949533
frontalpole	R	cortex	6.155468578127873
temporalpole	R	cortex	7.341282559242327
transversetemporal	R	cortex	6.699486185505362
insula	R	cortex	6.801503733716402
thalamusproper	R	subcortex/brainstem	6.416416156090076
caudate	R	subcortex/brainstem	5.119324942229578
putamen	R	subcortex/brainstem	5.258243279242913
pallidum	R	subcortex/brainstem	5.480132957091895
accumbensarea	R	subcortex/brainstem	5.677319718150545
hippocampus	R	subcortex/brainstem	7.548602865584666
amygdala	R	subcortex/brainstem	6.364697774373665
brainstem	B	subcortex/brainstem	5.0090692117740465
