gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000168234.12	TTC39C	2.2516429473745317e-05	2.0	2.0	0.013705666917954941	Brain_Cerebellar_Hemisphere	0.3461432679611085	Brain_Cerebellum	1.7200094807891406	0.27999051921085955	0.27999051921085955	-2.464886472561441	0.9420964380867044	-0.7613950172373682	2.409100719505985	2.0000000000000004	0
ENSG00000204256.12	BRD2	2.6921601674997675e-05	7.0	6.0	3.4143922498302897e-06	Brain_Substantia_nigra	0.996354354616626	Brain_Anterior_cingulate_cortex_BA24	3.1065987464193228	2.3612371550051307e-16	0.10700469812837062	-4.644174297205117	1.395612980987769	-0.5046192520729577	2.0988064804317696	6.000000000000002	0
ENSG00000256087.6	ZNF432	0.0003023705502987403	5.0	5.0	0.2181039971489631	Brain_Cerebellar_Hemisphere	0.5977410238222476	Brain_Amygdala	3.47134517652905	0.1901184754263743	0.1901184754263743	-1.2249405231929464	1.231585400982296	-0.25547374799008393	1.094034069465609	5.000000000000002	0
ENSG00000008988.9	RPS20	0.0004650242403558917	8.0	1.0	0.00017161887272071417	Brain_Frontal_Cortex_BA9	0.004387656762072651	Brain_Cerebellum	7.305414169826453	0.02155662642452284	7.305414169826453	2.848857210778125	3.7575007208863815	3.3408399235914006	0.33878702934608496	1.0000000000000002	0
ENSG00000204536.13	CCHCR1	0.0005642115623099937	5.0	5.0	0.029598290519973407	Brain_Cerebellum	0.6215405467958688	Brain_Putamen_basal_ganglia	2.167086232810911	0.1261352554821187	0.1261352554821187	-2.1754248963486407	0.4936681719223678	-1.0386665933123316	1.0290743404213354	5.0	0
ENSG00000204252.13	HLA-DOA	0.0005860748747903986	3.0	3.0	0.0003137100286892143	Brain_Cerebellum	0.012792573296418723	Brain_Nucleus_accumbens_basal_ganglia	1.991783685497512	0.07159635966928815	0.07159635966928815	-3.6037075448811615	2.4894921794086398	-1.3888649685264518	3.3700491491099243	2.9999999999999973	0
ENSG00000143110.11	C1orf162	0.0006219183691782343	3.0	3.0	0.0009800373473733868	Brain_Nucleus_accumbens_basal_ganglia	0.07811365718973974	Brain_Cortex	1.665747940480495	0.417723245166928	0.417723245166928	-3.2961956594682627	1.7617375098139048	-1.1604461210583823	2.6190706219137287	3.000000000000001	0
ENSG00000054523.17	KIF1B	0.0006503064720106388	1.0	1.0	0.0006503064720106377	Brain_Hippocampus	0.0006503064720106377	Brain_Hippocampus	1.0	1.0	1.0	3.4097156311317147	3.4097156311317147	3.4097156311317147	NA	1.0	0
ENSG00000205208.4	C4orf46	0.0006831432883857385	1.0	1.0	0.0006831432883857387	Brain_Caudate_basal_ganglia	0.0006831432883857387	Brain_Caudate_basal_ganglia	1.0	1.0	1.0	3.3962564228479395	3.3962564228479395	3.3962564228479395	NA	1.0	0
ENSG00000086598.10	TMED2	0.0006892404883447665	3.0	3.0	0.012763677771215846	Brain_Cerebellum	0.7995457100960627	Brain_Cortex	2.494382768335258	0.22295164769492606	0.22295164769492606	-2.490295910006297	-0.25393508365540834	-1.6573133509635227	1.2224323639428265	2.999999999999999	0
