gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000198805.11,PNP,-3.4806331827202768,-1.1736458865107116,0.0005002300577539177,0.00552098792973092,0.038616191961663375,0.04070379177176894,NA,19,27,27,0.0024880008877987197,0.03635275259407295
ENSG00000130669.17,PAK4,-3.297412895383394,-0.7333129257672045,0.0009757993622110697,0.010264295578044327,0.08655407721590737,0.0012689461316426982,NA,10,10,10,0.00370200079219187,0.09365063819065328
ENSG00000177125.5,ZBTB34,3.2747585375639163,0.5442876714059467,0.0010575232223713888,0.021794975165510214,0.13377493927089054,8.820112435723141e-05,NA,26,26,26,0.0002481000846283884,0.24079340835431795
ENSG00000127445.13,PIN1,3.0601535064093253,3.602979845621075,0.0022122357278028144,0.0003615683214007175,0.05158511343977787,0.01588581713084879,NA,5,6,6,0.002257000188903363,0.028371768069187626
ENSG00000145194.17,ECE2,3.0384741708321323,0.3832589739563934,0.0023777948739573005,0.03709867918753217,0.21070581394543667,1.4436903308118086e-07,NA,25,25,25,0.002566999323111403,0.0568764308938833
ENSG00000140623.13,SEPT12,2.9400879906804978,0.17636459140714503,0.00328119053106131,0.15622296935887336,0.4780952861558776,8.550703117158809e-19,NA,18,18,18,0.0007265997889321036,0.1184642148659748
ENSG00000136875.12,PRPF4,-2.9328816614382487,-0.6244847598474391,0.0033583186988806434,0.012161841981539172,0.0599459340255458,0.009195441919864187,NA,32,32,32,0.0006303002707690398,0.10882970887762472
ENSG00000134905.16,CARS2,-2.923672591904049,-0.9011495701795613,0.003459283913184533,0.006031159481025532,0.09129385468431916,0.0012653634229581152,NA,8,8,8,0.0019239994154877232,0.027562636804717117
ENSG00000278611.1,CTC-543D15.8,-2.8405368902906436,-0.2680599247430256,0.004503766354035534,0.059160971241037225,0.2752317380331361,1.1796148339304124e-09,NA,40,40,40,0.0004707999083287185,0.09520418284157098
ENSG00000120322.3,PCDHB8,2.820432460546392,0.1771609922747806,0.004795896799178942,0.15122250430075235,0.04596618667223348,0.022780585249078725,NA,85,86,86,0.0021969991750750983,0.2876467129663033
ENSG00000103550.13,KNOP1,2.79477546065375,0.22816130566001921,0.005193577381967858,0.07976954966933643,0.28552101607697394,5.357059498386427e-10,NA,44,44,44,0.003202999248049747,0.058783980701422926
ENSG00000067836.12,ROGDI,-2.7581459291544035,-0.37199777439795234,0.005813024115967767,0.0357545844928961,0.2925063511909848,6.309179777160357e-11,NA,25,27,27,0.0015980006264989977,0.06824471191464157
