gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000241316.6,SUCLG2-AS1,3.641339529849484,0.6569295407135727,0.00027122315997777117,0.017787239740494086,0.09965306197338704,2.966249450937151e-05,NA,18,18,18,0.00015720001970704852,0.017211465354426615
ENSG00000178796.12,RIIAD1,-3.575328432332258,-0.5091045141152033,0.00034978850268589954,0.026792564122781942,0.17807807831418127,8.216455442604151e-09,NA,24,25,25,0.0008079002796966668,0.2077766206024066
ENSG00000008988.9,RPS20,3.520407850022426,1.1912284033165061,0.00043088368541031164,0.005006051629016694,0.08717365917113071,0.0001101768011047835,NA,23,23,23,0.00010119995223671364,0.06295923065309646
ENSG00000205208.4,C4orf46,3.3962564228479395,0.6073563937259631,0.0006831432883857387,0.017134181437360837,0.031000404224486237,0.02205563086441225,NA,51,51,51,0.0004590000966148364,0.294658260319938
ENSG00000222041.10,CYTOR,-3.344088798796841,-10.087876801269264,0.000825533091309722,7.413162240928336e-05,0.30568039996708257,5.771890574835313e-15,NA,3,4,4,0.0017039995821799742,0.019549353501315758
ENSG00000166839.16,ANKDD1A,3.3362582412379185,1.2132457454398369,0.0008491424696224603,0.004790038993462512,0.05685888512332528,0.002288505245181074,NA,14,14,14,0.0006099000659105216,0.015532115011751637
ENSG00000126790.11,L3HYPDH,3.2402652247150066,0.2882342013507373,0.0011941856670313724,0.06462210131601104,0.28020098596009513,1.5657186939736347e-13,NA,44,44,44,0.0011180000563811366,0.04896376531889434
ENSG00000047579.19,DTNBP1,-3.178720190558704,-0.5578151558409206,0.0014792681506321781,0.017061201610377604,0.2242005305009697,9.945588685140857e-11,NA,31,31,31,0.0027649994479008156,0.16579604539733386
ENSG00000161328.10,LRRC56,3.093374561416639,1.11648805233949,0.0019789419273528587,0.004380243078778317,0.12979415289859034,2.4234274463296997e-06,NA,10,10,10,0.0024739990532892503,0.053408576217527
ENSG00000130669.17,PAK4,-3.0503926073462835,-0.4420112513507125,0.0022854239713109396,0.026154556414966633,0.23430297910024706,3.7594965217087315e-11,NA,46,47,47,0.0024719999526037493,0.07434635278700091
