gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000002933.7,TMEM176A,3.516712223237655,1.2959792811819757,0.0004369272149813079,0.004331047286376942,0.043616204983366026,0.011132023578824344,NA,26,26,26,0.0063870012287612545,0.03905675109503773
ENSG00000231389.7,HLA-DPA1,3.418547246812434,1.8958019351331037,0.0006295638671549016,0.002353746749345357,0.5211964528884537,6.857289338048475e-28,NA,9,38,38,0.0031660003036699815,0.042108714828810165
ENSG00000175161.13,CADM2,-3.405773327962459,-0.9600370805775394,0.0006597693322962801,0.006871322622759591,0.0482827536074098,0.007826183779763086,NA,68,69,69,0.0016769998012521698,0.0810496240116629
ENSG00000008988.9,RPS20,3.3496900369877665,0.9399152423803941,0.000809020378569048,0.007098262161603803,0.10609743023306564,2.9892665563668964e-05,NA,27,27,27,0.00010119995223671364,0.09318688614689492
ENSG00000106565.17,TMEM176B,3.3196413206366966,0.6994329406112321,0.0009013317154952438,0.014330792251891714,0.13206409978453032,4.7101922953251886e-06,NA,28,28,28,0.0063870012287612545,0.05817601512967922
ENSG00000149743.13,TRPT1,3.291711093268071,1.0631391014626526,0.0009957985206173628,0.005122958023902672,0.053418634367240786,0.004030909121514833,NA,11,13,13,0.005279999201155209,0.11967402756395258
ENSG00000122642.10,FKBP9,-3.2874901722516383,-0.40083723953187106,0.001010847172484448,0.03674520403442083,0.2695003477199302,2.9835546996580816e-12,NA,17,17,17,3.172996856076296e-05,0.1070450000708862
ENSG00000204290.10,BTNL2,3.284554347455992,2.4836876345168264,0.0010214379622501249,0.0012075521234753699,0.049087881263626384,0.006628170743932625,NA,4,19,19,0.0007728997920670025,0.07144276506816515
ENSG00000140623.13,SEPT12,3.25684049961822,0.16605126542582277,0.001126597187085472,0.21558846260531433,0.5886478883784445,4.37969209486238e-34,NA,11,11,11,0.0009305001927672165,0.2027738753973272
ENSG00000159433.11,STARD9,3.186927972663186,1.496837183712487,0.0014379257869584457,0.002631616996108652,0.0554458353484014,0.002944926569900935,NA,19,19,19,0.0006942001967690197,0.02577193551026409
ENSG00000115183.14,TANC1,3.163613245926242,0.3230967714528515,0.0015582371538916846,0.05310925562799643,0.3424283530052102,7.161072225466166e-16,NA,35,35,35,0.0027729992856485087,0.04331170594712304
ENSG00000137288.9,UQCC2,-3.108614041646723,-1.2683369691412383,0.0018796708845469417,0.0036395620202235093,0.08533121154098998,0.00018115159364094218,NA,14,14,14,0.0009697997418372915,0.013696041396667209
ENSG00000267795.5,SMIM22,3.1015018242220322,0.19919366794938062,0.0019254168602501323,0.13773351711471726,0.4782937568553325,1.953824550616157e-24,NA,15,15,15,0.0015980006264989977,0.18198366932096885
ENSG00000204252.13,HLA-DOA,-3.052379540106833,-0.2649616253541434,0.002270348350378654,0.07319293825414759,0.3681345806642647,1.0345780755113215e-17,NA,23,49,49,0.0017279998446936516,0.31304916034486346
ENSG00000276234.4,TADA2A,-3.0499698377185287,-0.37825119397590806,0.002288643494850419,0.04285454664605892,0.1132991420222209,1.2726390188057166e-05,NA,57,58,58,0.02195000659092113,0.11188622519061876
ENSG00000213160.9,KLHL23,-3.036284606348604,-0.39051856827988624,0.0023951316746946495,0.03615176490658468,0.31603142659081424,1.107067719478804e-14,NA,14,14,14,0.0018460001524447133,0.07620812843079923
ENSG00000173744.17,AGFG1,-3.0258123760300686,-0.9868938311474046,0.0024796611996856094,0.0050871332948656724,0.0811864529565029,0.0004210790900116973,NA,37,37,37,0.008894998890081324,0.033154021255791866
ENSG00000115840.13,SLC25A12,3.021813081237808,0.46734615862067524,0.002512656518196378,0.02473590368534089,0.2448987221521884,4.405350584362032e-11,NA,74,74,74,0.007043998454659666,0.04552159499328992
ENSG00000197134.11,ZNF257,3.006082000641501,0.17357881055932378,0.0026463762156721444,0.1555116634290286,0.35672195904396703,3.1159482483671144e-17,NA,72,73,73,0.00015899994477967897,0.12563861410438312
