gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000008988.9,RPS20,3.4182996334079885,0.7187848596734617,0.0006301369459511543,0.013634445241707862,0.2316908417439029,5.070086303925818e-12,NA,30,30,30,0.00010119995223671364,0.05942279554303918
ENSG00000181619.11,GPR135,3.3691210242464655,0.657080552229153,0.0007540831056171357,0.015221061631346929,0.07067249107241093,0.00033997404903690485,NA,18,18,18,0.00016710003690963629,0.043233726150075376
ENSG00000205659.10,LIN52,-3.3567706550919127,-0.4563756831919593,0.0007885849588546026,0.03264998641379108,0.17436747905281105,8.942078989332696e-09,NA,28,28,28,0.00019599998679648413,0.1129585698995502
ENSG00000132507.17,EIF5A,3.313083892553246,0.5263093740211584,0.0009227329762945234,0.024039691974469868,0.2863066658888599,7.796756303070844e-15,NA,9,9,9,0.0015799995387742187,0.04688666054580777
ENSG00000164610.8,RP9,3.28912537636993,0.31659365136051243,0.0010049924496955997,0.06658005854348206,0.32275518555742816,4.900075607174975e-17,NA,11,11,11,0.00031820008257901327,0.19314038300878555
ENSG00000126790.11,L3HYPDH,3.2596801289351576,0.23409430883845833,0.0011153792890592905,0.11288545263154079,0.3573364002741998,1.0227825719098216e-20,NA,41,41,41,0.0003323999095769687,0.048951837469081966
ENSG00000175161.13,CADM2,-3.225650492501355,-1.6954969765109373,0.0012568673872182562,0.0022067828153793816,0.026337869335919792,0.03100751321488858,NA,39,39,39,0.0009125002680599342,0.023699265944247885
ENSG00000167264.17,DUS2,3.221942966946513,0.34622940482044234,0.001273244770526153,0.04429511852233271,0.22208779372381693,4.103038182230835e-12,NA,35,35,35,0.003947999242254069,0.3461522521919099
ENSG00000255408.3,PCDHA3,3.1509141190810253,0.5811714040228234,0.0016276034044437864,0.01746586912623419,0.09831068283144916,1.758573276089974e-05,NA,23,23,23,1.76999982974902e-05,0.13434270390080086
ENSG00000172650.13,AGAP5,-3.14204841480593,-0.9940715187103584,0.00167770291677578,0.005732276699761686,0.023751265725960133,0.0418508568627588,NA,27,27,27,0.006371999083282029,0.15925850911192188
ENSG00000132196.13,HSD17B7,3.1382296535144536,0.8800877765214431,0.0016997164813300674,0.007292381334030703,0.06954657589657275,0.0003817840953142632,NA,22,22,22,0.0013999996454423145,0.04481274463984216
ENSG00000175662.17,TOM1L2,-3.130352336385105,-1.0922234688139254,0.0017459675282429131,0.004653598676011224,0.11278207758964345,4.758595908777108e-06,NA,18,18,18,0.00047640020993415386,0.023871183053695757
