gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000008988.9,RPS20,3.7575007208863815,1.6777266620758005,0.00017161887272071417,0.0030541483624827287,0.14870407630827534,4.687983221997918e-07,NA,19,19,19,8.678999053348039e-05,0.025832042683627043
ENSG00000119636.15,BBOF1,-3.4740096812317165,-0.8415728975491812,0.0005127425332542997,0.010104066845106854,0.04669887619461344,0.00805622381545378,NA,48,48,48,0.00019599998679648413,0.038593613036866536
ENSG00000178796.12,RIIAD1,-3.3573738100045754,-0.766586266150608,0.0007868665206070411,0.009897186577609835,0.11649800810079773,1.0649863372341364e-05,NA,12,12,12,0.0008079002796966668,0.10675271670784883
ENSG00000231852.6,CYP21A2,-3.3150058825645914,-0.7495940867718079,0.0009164119611585851,0.011405470941097836,0.0297089866730588,0.03631313846585493,NA,25,111,111,0.0044440015386756375,0.29827001622071025
ENSG00000205659.10,LIN52,-3.301231443896253,-0.5715557202747444,0.0009626144004088042,0.019360039330181184,0.10121064909329294,7.808163938781564e-05,NA,19,19,19,0.00019599998679648413,0.04960338986224884
ENSG00000140319.10,SRP14,-3.1786980116010612,-1.3586022695536062,0.001479381334329336,0.0033140663065068677,0.02910888876465388,0.038161853839764136,NA,32,32,32,0.020470006091627854,0.12687949777963045
ENSG00000140623.13,SEPT12,3.1597133739818055,0.20729515602311516,0.0015792441578159609,0.12892804617036455,0.3944106109908641,8.787231443511775e-19,NA,17,17,17,0.0009305001927672165,0.13727776471006986
ENSG00000223572.9,CKMT1A,3.118707793997137,1.5454340120481458,0.0018164600743000982,0.0020838400038054976,0.05805138151379085,0.0032339156188056595,NA,5,5,5,0.003945000795742039,0.048530297678115404
ENSG00000168546.10,GFRA2,-3.117107887232964,-2.5392997410550024,0.0018263472206036916,0.0010906774380531892,0.050452307487661295,0.005787806114342071,NA,6,6,6,0.0001038999970953144,0.034631680864543185
ENSG00000189227.5,C15orf61,-3.099720117333,-0.7364395328719678,0.0019370358720048424,0.009735049191839413,0.1453445500932192,8.551254412372091e-07,NA,18,18,18,0.003271998782214477,0.037180636877367085
ENSG00000267289.1,CTD-2623N2.11,3.076743802480492,0.5354311468747582,0.002092750850856344,0.017862450710196917,0.10563732910435787,4.966701453689584e-05,NA,8,8,8,0.0004707999083287185,0.09868709638940426
ENSG00000156253.6,RWDD2B,3.056877119423761,0.23653626013489085,0.002236559423090266,0.09010955791463485,0.5367129107123576,6.160719408790101e-29,NA,27,30,30,0.0019779997163680823,0.08014664194537471
ENSG00000134905.16,CARS2,-3.045036508890629,-1.2104953103678502,0.002326520663239808,0.0035978788088575713,0.04130790192492511,0.009656785667019009,NA,12,12,12,0.0019239994154877232,0.011912634275865771
ENSG00000204228.3,HSD17B8,-3.0383405217294257,-1.4039581156516843,0.0023788497959053734,0.002569484530707941,0.11827551124005345,1.4635038292447156e-05,NA,5,14,14,0.0019289992656089997,0.056741639926800015
ENSG00000164610.8,RP9,3.025885358232512,0.35806098495414507,0.002479062776091787,0.03739184734071095,0.2638258570232696,8.684673298055986e-12,NA,18,20,20,0.002441999399590834,0.11128367769012328
ENSG00000145194.17,ECE2,2.976117385277076,0.5663263333178294,0.002919230993247188,0.01612620845457639,0.22939979060157276,1.9904082772694083e-10,NA,5,5,5,0.002566999323111403,0.04433037405385039
ENSG00000122696.13,SLC25A51,2.9528975091218737,0.19721262099637202,0.003148064643340847,0.1025161708506355,0.3121499709831362,3.570343946696078e-15,NA,35,37,37,0.0025209998777801917,0.10046675261746156
ENSG00000172382.9,PRSS27,-2.9375167683965278,-1.47232085901295,0.0033085227913386664,0.0023651187736637284,0.027405779230561842,0.041064285889466964,NA,2,2,2,0.0037390005366382192,0.13168297765943665
ENSG00000141013.16,GAS8,2.9269977558151057,0.35942768899090416,0.003422513503472014,0.038160287957526295,0.2723218965908741,1.902478623124175e-12,NA,25,25,25,0.001582000610229229,0.17934995702654616
ENSG00000137411.16,VARS2,2.9203841686248784,26.696745986128267,0.003496001307369452,4.78353513220996e-06,0.4638329144767881,1.8867746318989644e-23,NA,1,48,48,0.003496001307369459,0.0069034748031689104
ENSG00000204428.12,LY6G5C,2.912387411775154,8.004020005472457,0.0035867747672825457,7.759169550762038e-05,0.3097218322432346,1.1077314498720937e-14,NA,3,18,18,0.0035879993214078124,0.010812906193205156
ENSG00000152348.15,ATG10,-2.9022664422940867,-0.16102798586993994,0.003704732959864945,0.1673904149839025,0.4804700684545111,3.4494742285390053e-25,NA,44,44,44,0.014339996927159865,0.2356598980935076
ENSG00000143340.6,FAM163A,-2.8933878357157736,-0.4722986586165195,0.003811103832654456,0.02185591260316752,0.18943336300611732,2.0730993230360285e-08,NA,24,24,24,0.0004378999389659708,0.06794498180428835
ENSG00000241316.6,SUCLG2-AS1,2.8500375266178946,0.431354680662612,0.004371407114030537,0.025800503383548164,0.07428948451485252,0.0008845453661770402,NA,34,34,34,0.00015720001970704852,0.49251461655398704
ENSG00000163125.15,RPRD2,-2.8192925627474446,-0.7531304618887601,0.00481296284079668,0.00853226761042899,0.09899743532200607,8.33844278559967e-05,NA,58,61,61,0.005841999142565093,0.11117511788885594
ENSG00000146453.12,PNLDC1,-2.8134613403778412,-0.8314088523077379,0.004901127908620199,0.007294693121929597,0.07880524769121981,0.0005793616371680863,NA,16,16,16,0.0024280007177050304,0.02146636099763297
