gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000054523.17,KIF1B,3.409715631131715,1.5479514610575629,0.0006503064720106359,0.0025278001466215016,0.052958869838085176,0.0053516405323974095,NA,15,15,15,0.00026659992721932325,0.036605627463191175
ENSG00000140451.12,PIF1,-3.4079580992798406,-0.5235147279033541,0.0006545094418261723,0.024499569785341416,0.1010556031967644,7.536698326754418e-05,NA,16,16,16,0.0006099000659105216,0.1102221597177268
ENSG00000226567.1,LINC00606,-3.383988804601886,-0.5010505670346816,0.0007144091613415519,0.02029339104649887,0.06633919542801475,0.0009806499399799915,NA,12,12,12,0.0001714999601361087,0.2092339141036532
ENSG00000140623.13,SEPT12,3.3161432468006518,0.20936644367166424,0.0009126903353066255,0.15061804639616394,0.3427333374562581,1.7715582243760292e-15,NA,33,34,34,0.0015980006264989977,0.2280854158087369
ENSG00000267795.5,SMIM22,3.2274828290768918,0.5309925636814098,0.0012488453612519222,0.021075130254492327,0.12714869753037136,1.296447738647246e-05,NA,22,23,23,0.0009305001927672165,0.04114657748307906
ENSG00000156253.6,RWDD2B,3.2230585772099167,0.4387130617976043,0.0012682961424758982,0.025888536080330406,0.2640929810252237,1.0950161649793681e-11,NA,24,25,25,0.0018230001810637512,0.04467237329534261
ENSG00000109466.13,KLHL2,3.1390257287660197,1.5907750396818277,0.0016951056383108724,0.0024485811588419474,0.02977117774299311,0.040117413339157255,NA,27,27,27,0.03426000092880455,0.06811559928387144
ENSG00000221953.5,C1orf229,3.1008952463094106,0.48415513029678475,0.001929365320863124,0.024601988256429043,0.08450116457624601,0.0003919050341247242,NA,13,13,13,0.0027969992142793947,0.06863017456545506
ENSG00000111801.15,BTN3A3,3.089299524652998,1.268035499822074,0.0020062905798325903,0.005196724006163211,0.0228583709208128,0.04407502839238284,NA,10,11,11,0.002738999199833238,0.06900744621545678
ENSG00000178796.12,RIIAD1,-3.078101439791588,-0.8688419092944055,0.002083239884368144,0.006841444531237001,0.037806773026426314,0.020913082203696386,NA,23,23,23,0.0008079002796966668,0.045746743036294835
ENSG00000002016.17,RAD52,3.069578375247035,0.8999368819776714,0.002143611531342249,0.011347241867649533,0.04882324479520391,0.00765890572760208,NA,27,28,28,0.010629998612761968,0.0971584481484796
ENSG00000187688.14,TRPV2,3.056583719041187,0.2734564660773214,0.0022387495213690794,0.07546706717272621,0.34723317141221177,1.4772331067747526e-15,NA,40,40,40,0.0010720002367377753,0.30429862500435145
ENSG00000165917.9,RAPSN,3.051613420401879,1.355011453229982,0.0022761503697432835,0.0027144264624036447,0.027373036314968503,0.04878134511964785,NA,9,9,9,0.0013399998599808102,0.01791728631899031
ENSG00000151414.14,NEK7,-3.0194835632877486,-1.4317279545225943,0.002532060319254769,0.0025732774209367105,0.03775835926328752,0.01888571957179564,NA,58,59,59,0.03164000022009818,0.04329069881715118
ENSG00000255775.1,RP3-454B23.1,3.000588108446631,1.1053834362020647,0.002694587844437305,0.004572302383770247,0.0368096957641968,0.019713699712791456,NA,6,6,6,0.006980997581357932,0.037990991323021764
ENSG00000145194.17,ECE2,2.979365284965319,1.286450324725439,0.0028884621008544403,0.0029430103616054954,0.044139226074543285,0.012175884076241808,NA,4,4,4,0.002566999323111403,0.01962808245135721
ENSG00000117222.13,RBBP5,-2.9580677037050855,-0.87983824051474,0.0030957412193784225,0.00943437829332273,0.06112795191339983,0.002304265771984155,NA,33,33,33,0.0009404000411900228,0.09260584201573742
ENSG00000134905.16,CARS2,-2.9342562598929023,-0.5559421428019562,0.003343480382837132,0.014435375687779037,0.15438892822752606,9.188379361801981e-07,NA,21,21,21,0.002045000440765404,0.04887790575406213
ENSG00000197134.11,ZNF257,2.9277971183731526,0.32922222138951557,0.003413727186875137,0.047055107952107586,0.1471098270411032,2.043023595955204e-06,NA,24,24,24,0.00015899994477967897,0.11326633653200854
ENSG00000129933.20,MAU2,2.8578219124879296,1.4538080185127675,0.004265597174659687,0.002686077899264894,0.06995724609842432,0.0014592015737604016,NA,22,22,22,0.009454000586410454,0.02281678574206328
ENSG00000164610.8,RP9,2.827319636723158,0.4019823515993929,0.004693944923143536,0.03172440177337155,0.2238256930528987,8.705008898497853e-10,NA,15,15,15,0.002441999399590834,0.16128495294958756
ENSG00000205560.12,CPT1B,2.82401138238367,0.3371198602775707,0.004742670056670982,0.05489718019868067,0.4156200770874584,2.46774585445165e-21,NA,24,24,24,0.005911001802001684,0.13720531529876628
ENSG00000160321.14,ZNF208,-2.8233108221090384,-0.7698635731487251,0.0047530467076816185,0.007231285237005443,0.048853944539318316,0.008299774156982454,NA,30,30,30,0.00032459985223251244,0.038521147927281535
ENSG00000136875.12,PRPF4,-2.7936354684146405,-1.1350465466841682,0.005211919384689704,0.0033576612057406993,0.04770353722603611,0.007836738400932613,NA,10,10,10,0.0021430005388483296,0.022813315929264853
ENSG00000152910.18,CNTNAP4,2.7494710303018866,0.29790013116400554,0.005969153908341862,0.047240815272262524,0.22157981825040568,2.757902330586987e-09,NA,95,99,99,0.0008532001368613624,0.17559017980140276
ENSG00000204248.10,COL11A2,-2.7408198089186957,-0.5015612386899875,0.006128610723144839,0.01815993053589446,0.08031687302619621,0.0006545257625098841,NA,37,87,87,0.0008232996481698093,0.13595018056364747
ENSG00000126790.11,L3HYPDH,2.719897112511175,0.3077284592429178,0.006530223152481842,0.04159151801024528,0.32651266470111895,3.362973780169652e-15,NA,33,33,33,0.0016230001735561572,0.03365589035635747
ENSG00000090432.6,MUL1,-2.706138457615038,-0.23727922235884982,0.006807065836105987,0.08133711802348995,0.18952508872708712,2.1879527225770884e-08,NA,89,90,90,0.004763998285704765,0.29770858170236186
ENSG00000148604.13,RGR,2.677083633178337,0.23647237056780254,0.007426609446807048,0.07748453133512334,0.3201132597986345,4.778702104588823e-14,NA,11,11,11,0.00515599837063952,0.11326987268960224
ENSG00000266904.5,LINC00663,-2.666886134195642,-0.5579007324599213,0.007655760500879058,0.016709289886666052,0.1037591595036742,8.506233013586532e-05,NA,26,33,33,0.0005486000314608718,0.42335639818437903
ENSG00000108384.14,RAD51C,-2.6557502923922867,-0.7250903157381894,0.007913218587370364,0.007153267024738168,0.15705026751729553,6.802969404531271e-07,NA,23,23,23,0.006633000983238646,0.03808741429343054
ENSG00000204866.8,IGFL2,2.6447297249246016,0.4017050957851261,0.008175619006529751,0.022499317188257914,0.1385011573200897,3.3628624460039984e-06,NA,12,12,12,0.00612899977714324,0.0456138336798799
ENSG00000113580.14,NR3C1,2.633630205464254,1.6552757793403807,0.008447743843017344,0.0023739483614479114,0.08904885350429423,0.0002937351721600216,NA,17,17,17,0.009437997113673408,0.043293516386660666
ENSG00000103199.13,ZNF500,2.631856048114737,0.5265321273639261,0.008491983521780253,0.015743711680160984,0.097053169611186,0.00015976064922455118,NA,9,9,9,0.014540004175800309,0.09688245712412394
ENSG00000090238.11,YPEL3,-2.6257447676030807,-1.3972487899346568,0.008645962126062215,0.0022746805412635074,0.0983420359968169,0.0001553083268363654,NA,8,8,8,0.010049996921847047,0.046817407051686286
ENSG00000267289.1,CTD-2623N2.11,2.6135914471099975,0.44469970525123775,0.008959610313023017,0.017873042364634155,0.16013315002260045,6.158516622932872e-07,NA,5,5,5,0.004990999734212546,0.1044188515576926
ENSG00000163354.14,DCST2,-2.5989386612854606,-0.9031693830256265,0.009351248121877402,0.004973269852801932,0.09473468084422093,0.0001241783825482092,NA,4,4,4,0.010860001804349697,0.057878310230064976
