gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000246067.7,RAB30-AS1,-3.421996273779796,-0.40066148958896847,0.0006216316552564317,0.040835297186692085,0.15628025414174007,5.685813509379388e-07,NA,80,81,81,6.140000133924011e-05,0.1517546172805373
ENSG00000204428.12,LY6G5C,3.090923424439366,1.9221070555063797,0.0019953508518191364,0.0007808604257907514,0.32412026786239834,1.6961199855891587e-14,NA,4,37,37,0.010020000378373238,0.12965360545580856
ENSG00000237940.3,LINC01238,3.058227100302354,0.4392544297884652,0.002226507715431422,0.05831501148268893,0.2057706077795502,1.7647735548964381e-09,NA,48,62,62,0.0006990998367238903,0.6489653157612556
ENSG00000140623.13,SEPT12,2.994717815717792,0.16955503374294503,0.002746988455540842,0.16177281351835573,0.4353366357050868,3.0594887242228068e-22,NA,35,35,35,0.0007565000645507114,0.11225686061290893
ENSG00000197457.9,STMN3,2.972484503797548,1.698356634675455,0.002954001214740439,0.0021231844518299183,0.02981301046728782,0.036820189775204064,NA,17,17,17,0.0006793001050382631,0.04208186784525264
ENSG00000205659.10,LIN52,-2.9489384209919614,-0.8138838076409618,0.0031886750465571754,0.008237165450598917,0.07603353528071936,0.0005026789208213414,NA,12,12,12,0.0005407002195741557,0.059377030902404385
ENSG00000204228.3,HSD17B8,-2.9333006262159182,-1.4396263729443264,0.0033537897778524095,0.0021850241566496297,0.09426853299672397,0.00014490335387973,NA,7,13,13,0.0019289992656089997,0.036066960418877234
ENSG00000067836.12,ROGDI,-2.9097841256234367,-0.4261046196290079,0.003616784759858707,0.028374298486503892,0.17013913307920545,1.4817705274597071e-07,NA,100,106,106,0.0007565000645507114,0.11780570813000248
ENSG00000008988.9,RPS20,2.9078629383041505,0.9919195328923764,0.003639077950827609,0.004710474571099597,0.09974216573603076,6.319499502059667e-05,NA,21,21,21,8.678999053348039e-05,0.038105570118723134
ENSG00000134905.16,CARS2,-2.8846642361250074,-1.8340801033129446,0.00391831318133464,0.001387247835748609,0.027636895574794616,0.041294923386074094,NA,10,10,10,0.0019239994154877232,0.009680242572567095
ENSG00000241316.6,SUCLG2-AS1,2.8637986062363274,0.5798914761506359,0.004185940607813515,0.015298016451591434,0.026774228619967068,0.04490304498372712,NA,17,19,19,0.0012779997082347095,0.3535221715685021
ENSG00000136875.12,PRPF4,-2.856036715347041,-0.7605923624604869,0.004289655261164023,0.00764979478132679,0.0926263708608175,0.00019485864261843357,NA,8,9,9,0.002273000390293394,0.11603769608579745
ENSG00000223572.9,CKMT1A,2.8261342134165717,0.6803295917994752,0.004711351910759352,0.010107687675265827,0.13260001928673962,2.4441320018665985e-06,NA,62,63,63,0.0020560000428291652,0.037653870068967095
ENSG00000157191.19,NECAP2,2.8161841473947513,1.4294087431773763,0.00485978024716926,0.00254688871039133,0.05219864788882194,0.004494651065321699,NA,39,43,43,0.013800002511477925,0.03435225944675185
