gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000140623.13,SEPT12,3.4765583627926087,0.23702778880836056,0.0005078936733877123,0.12595690261197867,0.3327022702655807,1.9106405781647664e-17,NA,16,16,16,0.0007265997889321036,0.17133813815179122
ENSG00000125388.19,GRK4,-3.3521600158394818,-0.5907384901833624,0.0008018365903668361,0.023088715347079992,0.10890570157226348,8.449917897464901e-06,NA,18,18,18,0.007226999073198245,0.1243642356364162
ENSG00000164610.8,RP9,3.3385394514195106,0.3607587763500355,0.0008422007003638845,0.05026045438884172,0.3310783494766282,2.2748888019180198e-17,NA,21,21,21,0.00031820008257901327,0.21343961911511988
ENSG00000143110.11,C1orf162,-3.2961956594682627,-1.2593705368275403,0.0009800373473733868,0.0037357235992891784,0.028452265478674882,0.024778545561590197,NA,18,19,19,0.0009202998484838448,0.029485814332862525
ENSG00000162782.15,TDRD5,-3.2780039509653474,-1.0836905191395205,0.0010454393233377932,0.005160757899307428,0.06400608803575787,0.0008449006147599612,NA,48,48,48,0.001391000481690567,0.06230167371315243
ENSG00000141428.16,C18orf21,3.273679602428138,1.499151332819975,0.0010615690401811048,0.0025842821178428863,0.02605718573680297,0.033898641530525124,NA,4,4,4,0.001213000014313745,0.02378617835258514
ENSG00000100299.17,ARSA,-3.2280662650347582,-0.2828369965344181,0.0012463010010909247,0.06551919883476964,0.2738338449694309,6.891922317427546e-14,NA,49,51,51,0.0035249991642821383,0.22716670086467855
ENSG00000136875.12,PRPF4,-3.222860220668457,-0.6102081637039265,0.001269174713212306,0.01599482397730473,0.10778982046595226,9.796814733288536e-06,NA,13,13,13,0.0006303002707690398,0.07395939369854784
ENSG00000008988.9,RPS20,3.2045555471304055,0.9542811284488408,0.0013527118576822726,0.007262992117032491,0.1122092021281184,5.9309235943646046e-06,NA,40,40,40,8.678999053348039e-05,0.029505333352269483
ENSG00000132507.17,EIF5A,3.152203471890821,0.7518682879354378,0.0016204331329509295,0.010715759133049976,0.11270320711022536,5.032817872231479e-06,NA,8,8,8,0.0015799995387742187,0.09108303038157488
ENSG00000128274.15,A4GALT,3.096775198908058,1.0965358253287254,0.001956381740367542,0.0047515610650629495,0.05732074911517916,0.0014805357447989895,NA,19,19,19,0.027289998373528634,0.03758418884288386
ENSG00000186716.20,BCR,-3.072150814022798,-0.5200853154249445,0.0021252232061941523,0.02046572350073526,0.26692092997712563,1.39452956571261e-14,NA,16,16,16,0.005071001400646232,0.1231049171518223
ENSG00000171962.17,DRC3,3.04500358706081,1.2169547770839853,0.0023267753479471864,0.0037466775322112194,0.0630184600520488,0.0008481835092776581,NA,9,9,9,0.0015830000781601509,0.04161046620024675
ENSG00000126790.11,L3HYPDH,3.007600745917291,0.22090496291522885,0.002633188289928052,0.10065737318799123,0.4059966179454861,2.831124230028921e-22,NA,33,33,33,0.00022480002924277185,0.056642472619930787
ENSG00000185522.8,LMNTD2,2.980479905569017,0.7972766581642112,0.0028779711917913562,0.00815162736480005,0.055280030415815036,0.0019111256197834462,NA,7,7,7,0.0010900001671652066,0.07387980703579736
ENSG00000067836.12,ROGDI,-2.97688238404642,-0.5233836228919342,0.002911956986439678,0.01928540902340163,0.2327065596179152,6.954974171389063e-12,NA,29,29,29,0.0015980006264989977,0.049015433859071735
ENSG00000213780.10,GTF2H4,2.9692394611957647,2.349282686492118,0.0029853785360000333,0.0007631551905010704,0.10003380373762187,1.064886688425212e-05,NA,3,45,45,0.003496001307369459,0.05697824477105967
ENSG00000119636.15,BBOF1,-2.938455531895244,-0.7470372652528874,0.0032985197297920304,0.008803248207624095,0.10690133178993012,1.1720831707135765e-05,NA,26,26,26,0.00019599998679648413,0.02318762948261911
ENSG00000088053.11,GP6,2.9213657618846103,0.9752259991423833,0.0034850042173385524,0.005637736688186582,0.07758278287845816,0.00021220561537367832,NA,6,6,6,0.003317999621693305,0.03639680612625603
ENSG00000214026.10,MRPL23,-2.9201614148505413,-0.293644721161554,0.0034985012782507378,0.057691634710387185,0.10342301170900037,1.6968163340401254e-05,NA,44,51,51,0.03634999039256252,0.2015262396778148
ENSG00000111707.11,SUDS3,2.9126639994542365,0.7938055027765536,0.003583599684985487,0.007500892369394759,0.07307818649389461,0.00033188985813683214,NA,14,14,14,0.0025680004521854995,0.039110400995305016
ENSG00000047579.19,DTNBP1,-2.89743949388989,-1.477685207773477,0.0037622230144172,0.002605683895902808,0.08456137199711143,8.651471477000714e-05,NA,11,11,11,0.0027649994479008156,0.06882273531271682
ENSG00000120693.13,SMAD9,-2.8794616389015166,-0.27338260570389283,0.003983547568821755,0.06302268246148078,0.21716057904382924,6.130021452157736e-11,NA,57,57,57,0.0074960012995418015,0.2088485358000848
ENSG00000133958.13,UNC79,2.866763906517331,1.1185515262348698,0.0041469224730768355,0.004772924684455514,0.022470360896240115,0.04932268302535836,NA,86,86,86,0.011460000695037102,0.04579102700089194
