gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000008988.9,RPS20,3.7195454512139596,1.0909998516557946,0.00019958163162854528,0.006957267924260916,0.21158520651765275,3.964906855144503e-09,NA,23,23,23,8.678999053348039e-05,0.012581341409072142
ENSG00000241316.6,SUCLG2-AS1,3.6579657028624295,1.1166295666383583,0.00025422505524410504,0.00642322987574837,0.08725901988825464,0.00035565698185211473,NA,11,11,11,0.00015720001970704852,0.01172607480057955
ENSG00000100299.17,ARSA,-3.576398679859523,-0.39731678712628987,0.0003483602463445119,0.0408395227284546,0.3466212480841917,8.993643851546886e-16,NA,14,15,15,0.0019770002559156633,0.2358593599767363
ENSG00000140623.13,SEPT12,3.3233942224961392,0.20654123332160684,0.0008892914194225502,0.14859398403584134,0.4661739499339381,5.160508266591581e-24,NA,18,18,18,0.0009305001927672165,0.1324726198057576
ENSG00000111707.11,SUDS3,3.2534403360953403,1.438411460189401,0.0011401666582785757,0.0027474011138205632,0.046319491006464535,0.007061292772404213,NA,18,18,18,0.0005480999786074445,0.00907311773627375
ENSG00000157349.16,DDX19B,3.217123103854057,1.3589231380163698,0.001294830275690813,0.003659317147849214,0.029382853042880706,0.042361406175761486,NA,3,5,5,0.002670000229612105,0.07786354555811659
ENSG00000164610.8,RP9,3.1472027781582046,0.5677300773239095,0.0016484059993356792,0.019367950482414402,0.11273450303412573,1.3479119753731677e-05,NA,31,34,34,0.00031820008257901327,0.1242712566089087
ENSG00000178222.12,RNF212,3.1133611161734347,0.6257902859516234,0.0018496954332718155,0.012237769029724383,0.04733745996457917,0.007754698340835819,NA,81,82,82,0.006166998989510795,0.05441686542911267
ENSG00000181619.11,GPR135,3.0727357028617206,0.32485689139598395,0.002121062533403477,0.05251561022416907,0.1970507432854575,7.75258962412513e-09,NA,22,22,22,0.00014480000232592336,0.1796527115024785
ENSG00000148484.17,RSU1,-3.0652141571740152,-0.9016542673597371,0.002175141854107916,0.0065694731900342185,0.1302285385126286,8.866806022197753e-06,NA,19,20,20,0.0035950006105149625,0.08965521136393646
ENSG00000178796.12,RIIAD1,-3.0446535597269646,-0.46538417222272727,0.0023294847539319097,0.02296745275749166,0.1875610863714624,4.26370611109113e-08,NA,64,64,64,0.0008079002796966668,0.09647381101242067
ENSG00000067836.12,ROGDI,-3.033058950526242,-0.28379785094886195,0.0024208830328405935,0.06311381369646976,0.4651139163081494,1.4573526161989406e-22,NA,28,28,28,0.0012590002810555158,0.09180082328596573
ENSG00000182134.15,TDRKH,3.025312041444602,0.5615394129897607,0.0024837672946170183,0.01703971157965506,0.1432458391054028,2.6696380960279944e-06,NA,17,18,18,0.00351399998223814,0.07492805187525002
ENSG00000126790.11,L3HYPDH,3.0236726123576783,0.20462330596484252,0.002497265219814109,0.1137981464705384,0.3204791446585638,6.016317095887847e-16,NA,34,34,34,0.001037000360799137,0.052204612994945984
ENSG00000134905.16,CARS2,-3.013426867997036,-1.232411111941005,0.0025831529150960996,0.0033465008657609955,0.055885923928457405,0.004053623163671893,NA,7,7,7,0.003997999961078449,0.015930237843944543
ENSG00000047579.19,DTNBP1,-2.9927237033844,-1.1030864520736372,0.0027649994479008156,0.0048898149740624905,0.24081574054056715,1.0950514451941044e-10,NA,1,1,1,0.0027649994479008156,0.1321708513148995
ENSG00000197134.11,ZNF257,2.9848322905268025,0.23126935924587985,0.002837338399998151,0.09878717894822953,0.26525367765265884,1.9492592408600726e-11,NA,44,44,44,3.3699988776240346e-05,0.08909245609307763
ENSG00000132507.17,EIF5A,2.977416222687829,0.5137613009480555,0.002906890774547106,0.019034157015527638,0.21153295119047566,5.055947481767378e-09,NA,8,8,8,0.001213000014313745,0.07583099524381894
ENSG00000272899.3,RP11-309L24.4,-2.9398148852009163,-0.9359230206609804,0.0032840838652482785,0.005531465795050231,0.08160294708976305,0.0004009107422011756,NA,8,8,8,0.0050050017445155805,0.06154141578842672
ENSG00000259959.1,RP11-121C2.2,-2.933048964545171,-0.6675090336271252,0.00335650952002504,0.011015678912122885,0.10056633042977317,8.87259757343489e-05,NA,14,14,14,0.003094999503893309,0.06846119298532355
ENSG00000128928.8,IVD,-2.9125344877229407,-0.4177056842933219,0.0035850860936851503,0.029034178366500536,0.2751348010127028,1.906630207100901e-12,NA,74,75,75,0.00046099990470612417,0.10845558833776972
ENSG00000248485.1,PCP4L1,-2.8743374116914944,-2.575130882508106,0.004048761699485231,0.0009141802562297609,0.02746188726185665,0.047475852479726535,NA,12,13,13,0.003525999171220386,0.0433614707626236
ENSG00000156253.6,RWDD2B,2.874061559436661,0.29322385506074516,0.00405229970354347,0.05200745861465152,0.4318626536340212,1.4197811801282994e-20,NA,15,16,16,0.003490999814776516,0.08147551398216027
ENSG00000105669.13,COPE,2.871803822203602,1.8470871958744755,0.00408136245778447,0.0013954174701172606,0.0757277397075875,0.0008408006987192117,NA,5,6,6,0.005035000169176477,0.04899953390160275
ENSG00000186716.20,BCR,-2.86440426618952,-0.30728058297621696,0.004177944227853899,0.054826841363494146,0.496544668333874,4.624266972265418e-25,NA,36,36,36,0.005071001400646232,0.26484130011792817
ENSG00000196646.11,ZNF136,2.853242963452896,1.2431461450333972,0.004327552088695179,0.0039425907002568475,0.08237986574239181,0.0005318752158157175,NA,14,14,14,0.005067999926632291,0.09855666780802497
ENSG00000161328.10,LRRC56,2.853212515459794,1.4863222575116029,0.0043279667780693615,0.0023580900360352305,0.058668783519298724,0.0038132706721494673,NA,5,5,5,0.003319999862363258,0.02824296549178747
ENSG00000144362.11,PHOSPHO2,2.8155237130044046,0.3608875315170657,0.004869780295048311,0.031915408937135833,0.1273142558453243,9.961872314182159e-06,NA,40,40,40,6.587002329512363e-05,0.06424066591099548
ENSG00000161542.16,PRPSAP1,-2.809275573200914,-0.630327488872931,0.004965312467724942,0.013261668816653712,0.15718366384820615,4.1533236059702475e-07,NA,9,9,9,0.0022549991464219403,0.15679120582653955
ENSG00000145194.17,ECE2,2.806219451308661,0.5233713941063857,0.005012654110993649,0.017023349082166232,0.1791153330596691,6.726856714905769e-08,NA,23,23,23,0.002566999323111403,0.05336920115994837
ENSG00000270996.1,RP11-342K6.4,2.7799877744108032,0.302196909037061,0.005436094497642879,0.04609610253982512,0.15147816091184174,4.5094129706756494e-07,NA,34,35,35,0.0010629997256206348,0.16461440891579812
ENSG00000267289.1,CTD-2623N2.11,2.772074101188736,0.6071579876908397,0.00557003552290827,0.011350283641609032,0.09868953603267523,5.602118455044784e-05,NA,3,3,3,0.004990999734212546,0.05851155529597999
ENSG00000134851.12,TMEM165,-2.7446764728514137,-0.680349964902426,0.006057057837890401,0.009008448218633374,0.05965239482224445,0.0032514227063684216,NA,64,65,65,0.00042260000575229504,0.05327123390674928
ENSG00000221953.5,C1orf229,2.7229856566460984,0.4115810799506572,0.006469486661072353,0.0248659505571759,0.09090176249745242,0.00023022439829158682,NA,34,34,34,0.0027969992142793947,0.040761263279520184
ENSG00000213413.2,PVRIG,2.720932288784151,0.3405077815608061,0.006509809419400026,0.043064959665093966,0.2443094817577168,2.430874662109797e-10,NA,41,41,41,0.004272999384762949,0.061118543492897325
ENSG00000174529.7,TMEM81,-2.719094780025743,-0.6488967889878089,0.006546084779708219,0.010748138058164722,0.15465665056306535,8.497623750388992e-07,NA,15,15,15,0.0030330006182156134,0.027935443396306714
ENSG00000103550.13,KNOP1,2.7069764576516335,0.16890318287030193,0.006789907221775018,0.1565203111535867,0.4969820524032568,7.590101235141971e-25,NA,59,60,60,0.003202999248049747,0.08801991135151613
ENSG00000161055.3,SCGB3A1,2.7004447101554545,0.263729646483978,0.006924684577556888,0.05714827249928245,0.1085719932765761,5.8645933395761376e-05,NA,43,44,44,0.0014279996423963838,0.17637419151752534
ENSG00000278668.1,RP11-227G15.11,-2.6999058325769467,-0.18739152016890845,0.006935910480754867,0.14370069061749674,0.1000621964065942,0.00010266675805962528,NA,107,108,108,0.01061999975492153,0.5490729808852913
ENSG00000168806.7,LCMT2,-2.697345912415226,-0.5348639608415168,0.006989462361261666,0.015013127061425987,0.04260771974620527,0.0129087444724698,NA,33,33,33,0.011669996559644671,0.07455883690723998
ENSG00000185105.5,MYADML2,-2.695471364802536,-0.7397001727727958,0.007028911902896625,0.0093688524963626,0.07955884710326645,0.0004168575360073632,NA,30,30,30,0.010599998081231729,0.06936425012534311
ENSG00000232653.8,GOLGA8N,-2.6890151803586306,-0.16424357871880152,0.007166316022026219,0.1489748808825754,0.2703187499860761,7.833194400759041e-12,NA,102,104,104,0.011430000484067383,0.3308323163266646
ENSG00000271780.1,RP11-1017G21.5,-2.6755119118444393,-0.3325683458425199,0.0074615221617144525,0.0358725801653608,0.05971964312252107,0.002782974077922017,NA,39,41,41,0.014640003972075466,0.1784453804126345
ENSG00000146574.15,CCZ1B,2.6714784313344344,0.1706787835932238,0.007551792554515851,0.18798499665540264,0.4177216097971414,1.1981639735912262e-19,NA,48,56,56,0.007770997480563609,0.17367308797439607
ENSG00000152348.15,ATG10,-2.6389561528011356,-0.22669769942951784,0.008316173623879009,0.06869212904317952,0.20599788685011167,7.267249210437435e-09,NA,29,30,30,0.02173999358179757,0.1425261241366954
