label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.7650949086244045
caudalanteriorcingulate	L	cortex	6.066037731433809
caudalmiddlefrontal	L	cortex	5.832855067588481
cuneus	L	cortex	5.7297408536997745
entorhinal	L	cortex	6.236629774889847
fusiform	L	cortex	5.844292543661095
inferiorparietal	L	cortex	5.775122336705935
inferiortemporal	L	cortex	5.805479381914736
isthmuscingulate	L	cortex	5.8166097813733835
lateraloccipital	L	cortex	5.816640068099979
lateralorbitofrontal	L	cortex	5.8408556894052
lingual	L	cortex	5.76432011614458
medialorbitofrontal	L	cortex	5.896035806637234
middletemporal	L	cortex	5.869807731568561
parahippocampal	L	cortex	5.896744604533776
paracentral	L	cortex	5.7431254591783905
parsopercularis	L	cortex	5.844667995385941
parsorbitalis	L	cortex	5.778343227731693
parstriangularis	L	cortex	5.80462422023502
pericalcarine	L	cortex	5.704306881298048
postcentral	L	cortex	5.86983933563398
posteriorcingulate	L	cortex	5.851332108939994
precentral	L	cortex	5.831793632969608
precuneus	L	cortex	5.755612344132166
rostralanteriorcingulate	L	cortex	5.970089547005275
rostralmiddlefrontal	L	cortex	5.7788786170552875
superiorfrontal	L	cortex	5.842833383008357
superiorparietal	L	cortex	5.775133853683218
superiortemporal	L	cortex	5.885650342357449
supramarginal	L	cortex	5.868526819002572
frontalpole	L	cortex	5.674065405860509
temporalpole	L	cortex	5.9378547884508155
transversetemporal	L	cortex	5.861601601863215
insula	L	cortex	5.9206602565128605
thalamusproper	L	subcortex/brainstem	6.09916699327746
caudate	L	subcortex/brainstem	5.9323931168908235
putamen	L	subcortex/brainstem	5.943390832014913
pallidum	L	subcortex/brainstem	6.254726325157655
accumbensarea	L	subcortex/brainstem	6.005117078366004
hippocampus	L	subcortex/brainstem	5.94606787130626
amygdala	L	subcortex/brainstem	5.885931666562901
bankssts	R	cortex	5.761713752320599
caudalanteriorcingulate	R	cortex	6.074770274389581
caudalmiddlefrontal	R	cortex	5.836798542452983
cuneus	R	cortex	5.7240635289683395
entorhinal	R	cortex	6.277942394295133
fusiform	R	cortex	5.8427450615769265
inferiorparietal	R	cortex	5.784683063519188
inferiortemporal	R	cortex	5.802884441233291
isthmuscingulate	R	cortex	5.806776820814542
lateraloccipital	R	cortex	5.818247110315481
lateralorbitofrontal	R	cortex	5.8430818806667215
lingual	R	cortex	5.764778331360936
medialorbitofrontal	R	cortex	5.9181300587270655
middletemporal	R	cortex	5.859107184250439
parahippocampal	R	cortex	5.892160006478155
paracentral	R	cortex	5.7343859256316625
parsopercularis	R	cortex	5.84810558504744
parsorbitalis	R	cortex	5.75295196733408
parstriangularis	R	cortex	5.843264237064265
pericalcarine	R	cortex	5.68483609267659
postcentral	R	cortex	5.872214337834069
posteriorcingulate	R	cortex	5.871188620319317
precentral	R	cortex	5.828387832553951
precuneus	R	cortex	5.7543028041679465
rostralanteriorcingulate	R	cortex	5.9352950289968796
rostralmiddlefrontal	R	cortex	5.77519193025241
superiorfrontal	R	cortex	5.844732482639947
superiorparietal	R	cortex	5.780507813302763
superiortemporal	R	cortex	5.882689246141097
supramarginal	R	cortex	5.847821893936619
frontalpole	R	cortex	6.185451864186873
temporalpole	R	cortex	5.942957543903704
transversetemporal	R	cortex	5.86215137384259
insula	R	cortex	5.9162580696583795
thalamusproper	R	subcortex/brainstem	6.127454999894489
caudate	R	subcortex/brainstem	5.926023454531471
putamen	R	subcortex/brainstem	5.898304024065271
pallidum	R	subcortex/brainstem	6.23073321587296
accumbensarea	R	subcortex/brainstem	6.072987818687034
hippocampus	R	subcortex/brainstem	5.945647293687888
amygdala	R	subcortex/brainstem	5.9877511939935095
brainstem	B	subcortex/brainstem	6.149791744100047
