label	hemisphere	structure	weighted_avg
bankssts	L	cortex	6.928883618184983
caudalanteriorcingulate	L	cortex	7.057798921748319
caudalmiddlefrontal	L	cortex	6.952898381487968
cuneus	L	cortex	6.883407974374132
entorhinal	L	cortex	7.124561415033456
fusiform	L	cortex	6.9580001670681995
inferiorparietal	L	cortex	6.945243316418075
inferiortemporal	L	cortex	6.945182782138088
isthmuscingulate	L	cortex	6.96008923326883
lateraloccipital	L	cortex	6.951842589778112
lateralorbitofrontal	L	cortex	6.9254295437385744
lingual	L	cortex	6.93516775266483
medialorbitofrontal	L	cortex	6.9602861769782285
middletemporal	L	cortex	6.988355344464147
parahippocampal	L	cortex	6.934395379531134
paracentral	L	cortex	6.927033275113179
parsopercularis	L	cortex	6.971565405474209
parsorbitalis	L	cortex	6.899963474670842
parstriangularis	L	cortex	6.939786675112591
pericalcarine	L	cortex	6.8995107974083885
postcentral	L	cortex	6.988331785197541
posteriorcingulate	L	cortex	6.986505335844186
precentral	L	cortex	6.986425520698513
precuneus	L	cortex	6.9415957777011235
rostralanteriorcingulate	L	cortex	7.050035657869502
rostralmiddlefrontal	L	cortex	6.919936988302048
superiorfrontal	L	cortex	6.9568873134538265
superiorparietal	L	cortex	6.930222348597083
superiortemporal	L	cortex	6.967457618971613
supramarginal	L	cortex	7.017029520857559
frontalpole	L	cortex	6.776651739499174
temporalpole	L	cortex	6.974413084250877
transversetemporal	L	cortex	6.945564837549813
insula	L	cortex	6.980497414098262
thalamusproper	L	subcortex/brainstem	6.87471282278927
caudate	L	subcortex/brainstem	6.861718216848302
putamen	L	subcortex/brainstem	6.915204697382832
pallidum	L	subcortex/brainstem	6.930383987421981
accumbensarea	L	subcortex/brainstem	6.748363720836033
hippocampus	L	subcortex/brainstem	6.8207193095107685
amygdala	L	subcortex/brainstem	6.843445228140032
bankssts	R	cortex	6.923723054959258
caudalanteriorcingulate	R	cortex	7.063902619663504
caudalmiddlefrontal	R	cortex	6.959828870823434
cuneus	R	cortex	6.8815790621475506
entorhinal	R	cortex	7.153890434208811
fusiform	R	cortex	6.951108662003281
inferiorparietal	R	cortex	6.946596020592288
inferiortemporal	R	cortex	6.942673290913534
isthmuscingulate	R	cortex	6.9650815998887365
lateraloccipital	R	cortex	6.958482204857343
lateralorbitofrontal	R	cortex	6.924103458552164
lingual	R	cortex	6.935188815021322
medialorbitofrontal	R	cortex	6.976772015614381
middletemporal	R	cortex	6.983757899257551
parahippocampal	R	cortex	6.93426787557375
paracentral	R	cortex	6.924854833259923
parsopercularis	R	cortex	6.976469998850479
parsorbitalis	R	cortex	6.895105229000515
parstriangularis	R	cortex	6.974936275878881
pericalcarine	R	cortex	6.887827347520281
postcentral	R	cortex	6.9886883031311
posteriorcingulate	R	cortex	7.0052228293542145
precentral	R	cortex	6.984488410773991
precuneus	R	cortex	6.941934539704703
rostralanteriorcingulate	R	cortex	6.983235705311737
rostralmiddlefrontal	R	cortex	6.915147334620295
superiorfrontal	R	cortex	6.957417149579842
superiorparietal	R	cortex	6.933171767040587
superiortemporal	R	cortex	6.9649016552233665
supramarginal	R	cortex	6.9971526706334854
frontalpole	R	cortex	6.969767352329568
temporalpole	R	cortex	6.973275028166334
transversetemporal	R	cortex	6.950501791589338
insula	R	cortex	6.974258243377134
thalamusproper	R	subcortex/brainstem	6.895289060391634
caudate	R	subcortex/brainstem	6.844893384900681
putamen	R	subcortex/brainstem	6.87664644519515
pallidum	R	subcortex/brainstem	6.917455275302093
accumbensarea	R	subcortex/brainstem	6.798435583071676
hippocampus	R	subcortex/brainstem	6.815181790574838
amygdala	R	subcortex/brainstem	6.914448697114666
brainstem	B	subcortex/brainstem	6.841723936328623
