label	hemisphere	structure	weighted_avg
bankssts	L	cortex	5.659276709851346
caudalanteriorcingulate	L	cortex	6.0001994691884875
caudalmiddlefrontal	L	cortex	5.720718635603486
cuneus	L	cortex	5.583391293418482
entorhinal	L	cortex	6.216212702626361
fusiform	L	cortex	5.7583804744868194
inferiorparietal	L	cortex	5.674717780515279
inferiortemporal	L	cortex	5.710607345521122
isthmuscingulate	L	cortex	5.672474356775502
lateraloccipital	L	cortex	5.67716122962517
lateralorbitofrontal	L	cortex	5.764312185720784
lingual	L	cortex	5.630810384694126
medialorbitofrontal	L	cortex	5.804439570463441
middletemporal	L	cortex	5.779450827977696
parahippocampal	L	cortex	5.853614323026849
paracentral	L	cortex	5.578938857960792
parsopercularis	L	cortex	5.757874013605161
parsorbitalis	L	cortex	5.689824735514142
parstriangularis	L	cortex	5.707607387081194
pericalcarine	L	cortex	5.558963269973036
postcentral	L	cortex	5.746171658672371
posteriorcingulate	L	cortex	5.7227646405776875
precentral	L	cortex	5.695125247386212
precuneus	L	cortex	5.634895475058649
rostralanteriorcingulate	L	cortex	5.870961307525169
rostralmiddlefrontal	L	cortex	5.668087987511162
superiorfrontal	L	cortex	5.7234639463098125
superiorparietal	L	cortex	5.667363673825218
superiortemporal	L	cortex	5.810460589768832
supramarginal	L	cortex	5.7733040098345985
frontalpole	L	cortex	5.529344558651955
temporalpole	L	cortex	5.8365730070883695
transversetemporal	L	cortex	5.7488658080961725
insula	L	cortex	5.838698225853734
thalamusproper	L	subcortex/brainstem	6.025455427375172
caudate	L	subcortex/brainstem	5.932674145577674
putamen	L	subcortex/brainstem	5.875793411319245
pallidum	L	subcortex/brainstem	6.225529038246698
accumbensarea	L	subcortex/brainstem	5.993700314514091
hippocampus	L	subcortex/brainstem	5.991625083103057
amygdala	L	subcortex/brainstem	5.879516408223182
bankssts	R	cortex	5.603196632709591
caudalanteriorcingulate	R	cortex	6.00954420413034
caudalmiddlefrontal	R	cortex	5.725983888833936
cuneus	R	cortex	5.583257171769225
entorhinal	R	cortex	6.261213410714831
fusiform	R	cortex	5.750278344447166
inferiorparietal	R	cortex	5.683338054225803
inferiortemporal	R	cortex	5.710932241322145
isthmuscingulate	R	cortex	5.684475523724235
lateraloccipital	R	cortex	5.673365950525521
lateralorbitofrontal	R	cortex	5.764451146202073
lingual	R	cortex	5.634707186513213
medialorbitofrontal	R	cortex	5.831523909101171
middletemporal	R	cortex	5.7669703356197655
parahippocampal	R	cortex	5.85218964707702
paracentral	R	cortex	5.570436471308451
parsopercularis	R	cortex	5.775729026475346
parsorbitalis	R	cortex	5.661754421664137
parstriangularis	R	cortex	5.74363946821719
pericalcarine	R	cortex	5.529625149550889
postcentral	R	cortex	5.747465719681572
posteriorcingulate	R	cortex	5.74965659951319
precentral	R	cortex	5.690894186110949
precuneus	R	cortex	5.63281870703075
rostralanteriorcingulate	R	cortex	5.782277763567262
rostralmiddlefrontal	R	cortex	5.662422793851632
superiorfrontal	R	cortex	5.727402347142224
superiorparietal	R	cortex	5.671221720809828
superiortemporal	R	cortex	5.806353157579711
supramarginal	R	cortex	5.752397436271462
frontalpole	R	cortex	6.0229247268338595
temporalpole	R	cortex	5.8495533094605525
transversetemporal	R	cortex	5.7578560020698575
insula	R	cortex	5.829750976736958
thalamusproper	R	subcortex/brainstem	6.046808738939351
caudate	R	subcortex/brainstem	5.928963331512829
putamen	R	subcortex/brainstem	5.842846948879699
pallidum	R	subcortex/brainstem	6.202963522628282
accumbensarea	R	subcortex/brainstem	6.078482849558753
hippocampus	R	subcortex/brainstem	5.993422013328335
amygdala	R	subcortex/brainstem	5.999879559387879
brainstem	B	subcortex/brainstem	6.065927256451755
